analysis_set,initial_factors,factor,activity_threshold_percent,active_group_count,active_groups,activity_class,minimum_group_r2,maximum_group_r2,mean_group_r2,median_group_r2,r2_range,r2_DOG2,r2_TARGET_OS,r2_GSE21257,r2_GSE39055
four_cohort_detection_aware_variable_only_700,12,Factor1,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.881486177444458,12.973248958587646,8.241446316242218,9.055525064468384,11.091762781143188,12.973248958587646,7.9859137535095215,10.125136375427246,1.881486177444458
four_cohort_detection_aware_variable_only_700,12,Factor2,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.191835641860962,9.794062376022339,6.326070427894592,6.659191846847534,7.602226734161377,9.794062376022339,7.121729850769043,6.196653842926025,2.191835641860962
four_cohort_detection_aware_variable_only_700,12,Factor3,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.1687746047973633,5.279994010925293,4.33795303106308,4.9515217542648315,3.1112194061279297,5.279994010925293,5.033057928085327,2.1687746047973633,4.869985580444336
four_cohort_detection_aware_variable_only_700,12,Factor4,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.4562060832977295,4.445040225982666,3.3869773149490356,3.3233314752578735,1.9888341426849365,3.8974344730377197,2.7492284774780273,2.4562060832977295,4.445040225982666
four_cohort_detection_aware_variable_only_700,12,Factor5,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.4284799098968506,4.70314621925354,3.0384063720703125,3.5109996795654297,4.2746663093566895,2.8805792331695557,4.70314621925354,4.141420125961304,0.4284799098968506
four_cohort_detection_aware_variable_only_700,12,Factor6,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.2460291385650635,5.0531744956970215,2.7926698327064514,2.4357378482818604,3.807145357131958,5.0531744956970215,3.094184398651123,1.7772912979125977,1.2460291385650635
four_cohort_detection_aware_variable_only_700,12,Factor7,0.5,3,DOG2;TARGET_OS;GSE21257,partially_shared,0.25243163108825684,3.6652028560638428,2.415977418422699,2.873137593269348,3.412771224975586,2.7513504028320312,2.994924783706665,3.6652028560638428,0.25243163108825684
four_cohort_detection_aware_variable_only_700,12,Factor8,0.5,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,0.5453944206237793,3.0349314212799072,1.7245963215827942,1.6590297222137451,2.489537000656128,3.0349314212799072,1.6683876514434814,1.6496717929840088,0.5453944206237793
four_cohort_detection_aware_variable_only_700,12,Factor1,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,1.881486177444458,12.973248958587646,8.241446316242218,9.055525064468384,11.091762781143188,12.973248958587646,7.9859137535095215,10.125136375427246,1.881486177444458
four_cohort_detection_aware_variable_only_700,12,Factor2,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.191835641860962,9.794062376022339,6.326070427894592,6.659191846847534,7.602226734161377,9.794062376022339,7.121729850769043,6.196653842926025,2.191835641860962
four_cohort_detection_aware_variable_only_700,12,Factor3,1.0,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared,2.1687746047973633,5.279994010925293,4.33795303106308,4.9515217542648315,3.1112194061279297,5.279994010925293,5.033057928085327,2.1687746047973633,4.869985580444336
