factor,view,group,r2
Factor1,RNA,DOG2,12.879687547683716
Factor2,RNA,DOG2,7.326412200927734
Factor3,RNA,DOG2,6.6132426261901855
Factor4,RNA,DOG2,6.242901086807251
Factor5,RNA,DOG2,0.08399486541748047
Factor6,RNA,DOG2,4.916673898696899
Factor7,RNA,DOG2,2.1329522132873535
Factor8,RNA,DOG2,2.4594008922576904
Factor9,RNA,DOG2,3.682982921600342
Factor10,RNA,DOG2,3.135019540786743
Factor11,RNA,DOG2,1.8019437789916992
Factor1,RNA,GSE21257,9.647828340530396
Factor2,RNA,GSE21257,5.235660076141357
Factor3,RNA,GSE21257,2.977806329727173
Factor4,RNA,GSE21257,3.796154260635376
Factor5,RNA,GSE21257,10.920470952987671
Factor6,RNA,GSE21257,1.3740956783294678
Factor7,RNA,GSE21257,3.381049633026123
Factor8,RNA,GSE21257,1.9952595233917236
Factor9,RNA,GSE21257,1.123422384262085
Factor10,RNA,GSE21257,1.3028740882873535
Factor11,RNA,GSE21257,1.1251509189605713
Factor1,RNA,GSE39055,1.8832623958587646
Factor2,RNA,GSE39055,2.0022928714752197
Factor3,RNA,GSE39055,5.567669868469238
Factor4,RNA,GSE39055,1.331770420074463
Factor5,RNA,GSE39055,0.16039609909057617
Factor6,RNA,GSE39055,1.4088332653045654
Factor7,RNA,GSE39055,0.5017876625061035
Factor8,RNA,GSE39055,1.2397289276123047
Factor9,RNA,GSE39055,1.6585886478424072
Factor10,RNA,GSE39055,0.23652911186218262
Factor11,RNA,GSE39055,1.1137545108795166
Factor1,RNA,TARGET_OS,8.07422399520874
Factor2,RNA,TARGET_OS,8.214151859283447
Factor3,RNA,TARGET_OS,6.052106618881226
Factor4,RNA,TARGET_OS,2.296501398086548
Factor5,RNA,TARGET_OS,0.2815663814544678
Factor6,RNA,TARGET_OS,3.347724676132202
Factor7,RNA,TARGET_OS,3.4701108932495117
Factor8,RNA,TARGET_OS,2.5188684463500977
Factor9,RNA,TARGET_OS,1.4908254146575928
Factor10,RNA,TARGET_OS,1.5423119068145752
Factor11,RNA,TARGET_OS,1.9262611865997314
