factor,view,group,r2
Factor1,RNA,DOG2,12.973248958587646
Factor2,RNA,DOG2,9.794062376022339
Factor3,RNA,DOG2,5.279994010925293
Factor4,RNA,DOG2,3.8974344730377197
Factor5,RNA,DOG2,2.8805792331695557
Factor6,RNA,DOG2,5.0531744956970215
Factor7,RNA,DOG2,2.7513504028320312
Factor8,RNA,DOG2,3.0349314212799072
Factor1,RNA,GSE21257,10.125136375427246
Factor2,RNA,GSE21257,6.196653842926025
Factor3,RNA,GSE21257,2.1687746047973633
Factor4,RNA,GSE21257,2.4562060832977295
Factor5,RNA,GSE21257,4.141420125961304
Factor6,RNA,GSE21257,1.7772912979125977
Factor7,RNA,GSE21257,3.6652028560638428
Factor8,RNA,GSE21257,1.6496717929840088
Factor1,RNA,GSE39055,1.881486177444458
Factor2,RNA,GSE39055,2.191835641860962
Factor3,RNA,GSE39055,4.869985580444336
Factor4,RNA,GSE39055,4.445040225982666
Factor5,RNA,GSE39055,0.4284799098968506
Factor6,RNA,GSE39055,1.2460291385650635
Factor7,RNA,GSE39055,0.25243163108825684
Factor8,RNA,GSE39055,0.5453944206237793
Factor1,RNA,TARGET_OS,7.9859137535095215
Factor2,RNA,TARGET_OS,7.121729850769043
Factor3,RNA,TARGET_OS,5.033057928085327
Factor4,RNA,TARGET_OS,2.7492284774780273
Factor5,RNA,TARGET_OS,4.70314621925354
Factor6,RNA,TARGET_OS,3.094184398651123
Factor7,RNA,TARGET_OS,2.994924783706665
Factor8,RNA,TARGET_OS,1.6683876514434814
