factor,view,group,r2
Factor1,RNA,DOG2,11.84343695640564
Factor2,RNA,DOG2,8.797377347946167
Factor3,RNA,DOG2,6.411218643188477
Factor4,RNA,DOG2,5.965226888656616
Factor5,RNA,DOG2,3.2314538955688477
Factor6,RNA,DOG2,3.8924098014831543
Factor7,RNA,DOG2,3.537130355834961
Factor1,RNA,GSE21257,9.250563383102417
Factor2,RNA,GSE21257,5.501222610473633
Factor3,RNA,GSE21257,2.2634387016296387
Factor4,RNA,GSE21257,2.467244863510132
Factor5,RNA,GSE21257,2.5103092193603516
Factor6,RNA,GSE21257,1.154547929763794
Factor7,RNA,GSE21257,1.3376891613006592
Factor1,RNA,GSE39055,1.2253403663635254
Factor2,RNA,GSE39055,1.122349500656128
Factor3,RNA,GSE39055,1.6322970390319824
Factor4,RNA,GSE39055,0.5768954753875732
Factor5,RNA,GSE39055,0.2238631248474121
Factor6,RNA,GSE39055,0.828242301940918
Factor7,RNA,GSE39055,0.21268725395202637
Factor1,RNA,TARGET_OS,8.673489093780518
Factor2,RNA,TARGET_OS,6.530719995498657
Factor3,RNA,TARGET_OS,4.636973142623901
Factor4,RNA,TARGET_OS,3.877013921737671
Factor5,RNA,TARGET_OS,3.4890711307525635
Factor6,RNA,TARGET_OS,1.356196403503418
Factor7,RNA,TARGET_OS,1.931840181350708
