factor,view,group,r2
Factor1,RNA,DOG2,12.072962522506714
Factor2,RNA,DOG2,7.279777526855469
Factor3,RNA,DOG2,7.13157057762146
Factor4,RNA,DOG2,4.716849327087402
Factor5,RNA,DOG2,0.11522769927978516
Factor6,RNA,DOG2,4.700136184692383
Factor7,RNA,DOG2,3.130924701690674
Factor8,RNA,DOG2,0.9114623069763184
Factor9,RNA,DOG2,3.490281105041504
Factor10,RNA,DOG2,1.7963767051696777
Factor11,RNA,DOG2,2.216285467147827
Factor12,RNA,DOG2,1.8152594566345215
Factor13,RNA,DOG2,3.1118571758270264
Factor1,RNA,GSE21257,9.22783613204956
Factor2,RNA,GSE21257,5.228817462921143
Factor3,RNA,GSE21257,2.5797486305236816
Factor4,RNA,GSE21257,2.5472044944763184
Factor5,RNA,GSE21257,10.217589139938354
Factor6,RNA,GSE21257,2.735668420791626
Factor7,RNA,GSE21257,1.8594741821289062
Factor8,RNA,GSE21257,0.76027512550354
Factor9,RNA,GSE21257,1.3543248176574707
Factor10,RNA,GSE21257,2.2192835807800293
Factor11,RNA,GSE21257,1.19093656539917
Factor12,RNA,GSE21257,0.8397459983825684
Factor13,RNA,GSE21257,0.7536530494689941
Factor1,RNA,GSE39055,1.1510789394378662
Factor2,RNA,GSE39055,1.77079439163208
Factor3,RNA,GSE39055,1.3023197650909424
Factor4,RNA,GSE39055,0.7727146148681641
Factor5,RNA,GSE39055,0.1102745532989502
Factor6,RNA,GSE39055,0.19698143005371094
Factor7,RNA,GSE39055,0.4146575927734375
Factor8,RNA,GSE39055,5.251169204711914
Factor9,RNA,GSE39055,0.27763843536376953
Factor10,RNA,GSE39055,0.15202760696411133
Factor11,RNA,GSE39055,0.7859885692596436
Factor12,RNA,GSE39055,0.5220472812652588
Factor13,RNA,GSE39055,0.1383364200592041
Factor1,RNA,TARGET_OS,8.585071563720703
Factor2,RNA,TARGET_OS,6.6147685050964355
Factor3,RNA,TARGET_OS,4.992574453353882
Factor4,RNA,TARGET_OS,3.522545099258423
Factor5,RNA,TARGET_OS,0.316774845123291
Factor6,RNA,TARGET_OS,2.3015201091766357
Factor7,RNA,TARGET_OS,3.513944149017334
Factor8,RNA,TARGET_OS,0.7501304149627686
Factor9,RNA,TARGET_OS,2.392011880874634
Factor10,RNA,TARGET_OS,2.551048994064331
Factor11,RNA,TARGET_OS,1.5205860137939453
Factor12,RNA,TARGET_OS,1.5986144542694092
Factor13,RNA,TARGET_OS,0.7689595222473145
