,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ADAMTS1,-0.012683447,0.29618362,-0.004990928,0.12496179,0.0643945,-0.11715764,-0.07192145,0.06200665,0.05775586,0.18319206,-0.021791905,-0.20475179,0.018613929
BACE2,0.004647593,0.24099666,0.068743005,-0.09408822,0.06424778,0.072357945,-0.0038305272,-0.29253033,-0.04933796,0.09912851,0.045365162,-0.10901572,-0.12815027
CDK5R1,-0.04196861,0.008400423,0.18461405,0.0640671,-0.027157338,-0.007958725,0.05021234,-0.059721757,-0.027089257,-0.074481316,-0.08961852,0.012323948,-0.021711621
SEMA6A,0.025787385,0.20343484,0.11521341,0.04769674,0.05748549,-0.20504509,0.04259503,-0.108974956,0.119598486,0.04862325,0.086537205,0.07731441,-0.1905925
NEXN,-0.0032807342,0.18445972,-0.068512954,0.0055015357,0.057069093,-0.18809444,-0.028266108,0.20954163,0.12434901,-0.13534464,-0.016776629,0.022084981,0.044869706
HES4,-0.0021738708,-0.113589786,0.2378506,0.049054265,0.029844536,-0.11644939,0.16097787,-0.068829246,0.008205152,0.27219668,0.02636922,-0.24700788,0.014473391
OSR2,-0.10083009,0.11416803,-0.0017161225,0.023304371,-0.0997675,-0.12218737,-0.038337983,0.21799515,-0.06515645,0.020193845,0.017606927,-0.12112186,-0.124256045
LCP1,0.2921898,-0.046346795,-0.022774136,0.0031250904,-0.060477488,0.17043479,0.09861227,-0.09780699,0.0940526,-0.117196634,0.03479347,0.034899026,-0.104541294
BCL6B,0.097532004,-0.011742894,0.22154783,-0.0035496054,0.075078726,-0.2133652,0.011621737,-0.0065275123,0.25746,0.3970897,-0.005050654,-0.011067243,0.000321104
EPHX2,-0.03182661,0.0019072625,0.20829284,0.012916419,-0.05165509,-0.026525404,0.05827754,0.037530888,-0.18940963,-0.022954432,0.056066345,0.00922937,-0.04597425
MAF,0.1044925,0.273158,-0.007323143,0.015374793,-0.1141139,-0.103808045,-0.071217895,0.054041628,-0.06744922,0.03731219,-0.041908532,0.13454287,-0.059263505
ADAM12,0.0362293,0.1358252,0.013867282,0.117086194,0.010614858,0.09215447,-0.11296949,0.055981442,0.24767247,-0.0204521,-0.098017156,0.0642453,-0.00656292
HERC6,0.17630354,-0.092556804,0.054395556,0.051181007,-0.004938103,0.006058012,-0.060529392,-0.14355262,-0.12105169,0.01054017,-0.059468765,-0.0918417,0.3496769
VANGL2,-0.018109541,0.04193314,0.18876098,0.047291137,0.14392324,-0.0066799438,0.017385857,-0.008184119,-0.20912942,0.0411959,0.103228524,0.15543215,-0.19907017
MGLL,0.031133527,-0.11059268,0.28000578,-0.0830031,-0.1376983,-0.1143839,0.03134189,-0.08736606,-0.032344818,0.035349872,0.021642748,0.003634964,-0.02050662
RASD1,-0.005802474,0.21105896,0.0010470143,0.02040872,-0.09057424,0.025319712,0.080741316,0.23350623,-0.0043577985,0.053644184,-0.023068156,-0.2098554,0.10810452
PCDH12,0.10043504,-0.0604158,0.25966835,0.0019479485,-0.07888347,-0.1610596,-0.0036479835,-0.1374859,0.2390303,0.4204138,-0.044139106,0.0042028204,-0.07721859
PARVG,0.3166803,0.029345842,-0.004731628,0.0012190422,0.007263634,8.429528e-05,0.081945226,-0.015270096,-0.13510758,-0.01662105,-0.05550086,0.10080757,0.025678325
KIF20A,-0.04015933,-0.05990487,0.026230061,0.38484466,0.00057331735,-0.0040401774,-0.017591799,-0.06540511,-0.052197702,0.004071597,-0.02709946,-0.0070550516,0.10845088
RAB20,0.24594262,-0.006409811,-0.043995406,-0.0023256352,-0.004025849,-0.0020171918,0.13151823,0.060643703,-0.19831447,0.08363481,0.10371408,-0.034756534,-0.00029931247
TRIB3,-0.035603266,-0.091928944,-0.023595527,0.08727991,-0.11050915,0.041944966,0.05296769,0.02044972,-0.14184044,0.18118705,-0.09101387,-0.30534393,-0.07822435
CD86,0.29270774,0.032569,-0.07424619,0.00024521613,-0.016513567,-0.032888632,-0.096895374,0.031256314,-0.120923646,-0.072300926,-0.24531095,-0.066970624,-0.03162594
FOSB,1.0587483e-05,0.024264585,0.033423144,0.0055815442,-0.08789691,-0.043107886,-0.06533692,0.031506643,0.100363955,0.008598669,0.0711988,-0.41091523,0.047828287
ST8SIA1,0.00013880366,0.08125308,0.17056553,0.054832205,0.0025405914,-0.010413526,0.02994134,-0.037880074,0.013739511,-0.0017877913,-0.03614056,0.046946596,-0.0071845837
ARHGDIB,0.26072538,-0.024421228,0.008202417,-0.09559877,-0.07462029,-0.00011005533,0.045891862,-0.10637643,0.023652535,0.11236963,0.054413684,0.0026587562,0.031891756
CYBRD1,0.0022976073,0.11898674,0.17328766,-0.029709145,-0.09883744,0.030038392,-0.33369914,-0.04563563,-0.046353057,-0.08229707,-0.12366329,-0.090110086,0.23486927
KIT,-0.00055327185,0.015067739,0.21277389,0.0031812564,0.16189809,-0.07405163,-0.10941503,0.030758897,-0.052215476,0.12962997,-0.11585062,0.04662389,-0.15736431
PDLIM1,0.031883407,0.20931444,-0.057179824,-0.00979123,-0.039939567,-0.10097527,-0.026177835,0.12008693,0.15016404,-0.04543605,0.104204975,-0.25824797,0.12890154
BNC2,0.05862903,0.3669936,-0.09900091,0.07240708,0.050901316,0.06591556,-0.19231923,0.116108246,0.089868546,0.013778143,0.033014525,-0.00034749758,0.034957122
GJA1,-0.0067050387,0.107938945,0.07731132,0.09722335,0.30223677,0.1830085,-0.027361674,0.06509995,0.13539672,-0.025642527,-0.1339985,0.112319835,0.14943951
CDH23,-0.044106133,0.20729913,0.14692295,-0.019650007,-0.04043726,0.023078771,-0.05212434,-0.08722654,-0.103721775,-0.050991867,-0.01425688,-0.047337934,-0.07193181
TNFRSF12A,0.063017234,0.16193324,-0.20040576,0.00401547,0.060155872,0.18600264,-0.0060918117,0.013417407,0.01906216,0.090964675,-0.01490545,-0.42604354,0.001255693
FHL1,-0.0015090454,0.34224984,-0.013569398,0.0036238702,-0.027594946,-0.08253923,-0.09004911,0.22068603,-0.047978844,-0.010057484,0.017385308,0.017574314,0.13641383
ARL4D,-0.08461229,-0.10214204,0.064395726,0.16289312,-0.0019871332,-0.0013026592,0.26328307,0.15439975,-0.02238779,-0.008650148,-0.13110657,0.0002971595,0.06109457
SIX4,-0.034486722,0.3555081,-0.12779708,0.1418339,-0.016052095,-0.010146894,-0.07156285,0.008481401,0.054870658,-0.08379679,0.029731715,-0.00199775,-0.07934638
DUSP1,0.08258352,0.07556739,-0.07494311,-0.0019632224,-0.10598061,-0.01436459,-0.13705121,0.10561583,0.054565437,-0.0040743216,0.05713921,-0.37425074,0.15481399
TFRC,0.003354518,-0.0015766502,0.07256555,0.16258444,0.009659259,0.18085091,-0.08697611,-0.1381851,0.15134752,-0.22183742,0.07804558,-0.008168102,-0.11963748
PLCB1,-0.0035299235,0.25450188,0.021732695,0.08450135,0.3248282,-0.21118249,-0.04203776,0.06921085,0.06655433,0.0040427833,0.006127692,0.03266638,0.00056073593
EPHB3,-0.07825218,0.3726134,-0.008548578,0.07169874,-0.10559565,0.01164185,0.037301492,-0.03506874,-0.08635392,0.11201846,-0.20979089,0.037296884,0.0027340825
CCDC3,0.022632115,-0.020246657,0.22144637,-0.05632597,0.0043788236,-0.09934722,0.011601331,0.12993987,0.035989176,-0.216831,0.044699192,-0.15691613,0.15614337
ADAMTS2,0.012178946,0.17897843,0.1407942,-0.079543635,0.024818042,-0.005709772,-0.006649662,-0.030888798,0.13063443,-0.18562937,-0.24702671,0.014636557,0.13401753
NETO2,-0.017730242,-0.062107865,0.004210584,0.16859823,0.14714399,-0.04775746,-0.02692574,-0.061063502,-0.030049738,-0.012043936,0.047480837,0.13244614,-0.1569711
HEYL,0.069880925,0.0062185735,0.20277984,0.0069109774,0.09713381,-0.13707139,0.15056716,-0.09362805,0.18636271,0.26257235,0.005303308,-0.15883444,-0.039169826
LAMB3,0.053465504,-0.09241783,0.14359654,-0.0019961412,-0.090291016,0.1000162,0.0023857793,0.037212197,-0.017571788,0.03761621,0.0308758,-0.24250926,-0.0492162
SV2A,-0.058844775,0.030544901,0.17368522,0.072406635,0.030437332,0.040256582,-0.016914507,-0.032661166,-0.117683925,0.041990813,0.059465688,0.016810613,-0.16723475
SLC43A2,0.27878547,0.06180909,-0.04000726,0.00685416,-0.10791013,0.06453966,0.032475356,-0.100899704,0.052044064,-0.06635913,0.07831767,0.021901174,-0.012183717
LTBP2,0.07452357,0.03465696,0.2098677,-0.15912487,-0.016008968,0.08776767,-0.17280394,-0.04011345,-0.16521852,0.05563702,-0.0030868566,-0.15655671,-0.15940592
PTGER4,0.16670595,0.09861429,0.008462188,-0.022144616,0.16213165,-0.07500063,-0.19146319,0.009226142,0.0040329816,0.041310377,0.016638046,-0.24177572,0.12451333
SKP2,-0.089534745,-0.024184732,0.1391122,0.27737495,0.01107127,-0.013311215,-0.045587324,0.06383801,-0.1296244,-0.014766389,-0.0014295671,0.12831213,0.00372172
EPHB6,-0.00039447966,0.022511,0.22418214,-0.059773915,-0.036681674,0.010686474,0.0053888257,-0.03864325,-0.23643075,0.12638213,-0.014253105,0.002184643,-0.077245615
INPP5D,0.29395303,-0.03360964,0.062146347,0.0008604315,0.043968815,0.00042247193,0.06223546,-0.12535626,0.04125845,-0.09138161,-0.04195288,0.071547486,-0.15409318
A4GALT,0.10415568,0.214669,0.008456404,-0.08873133,-0.025987437,-0.15732644,0.029466264,0.031999674,-0.002317391,-0.072303124,0.020877505,-0.14621578,0.16591056
FAH,-0.012702525,-0.20120849,0.08958601,0.100409724,-0.018086001,-0.044356324,0.03975871,0.0048875078,-0.06924871,-0.10520812,-0.11035357,-0.05029725,0.05752695
JDP2,0.091995336,0.08855024,0.16450234,-0.0050356523,-7.3202054e-06,0.38139698,0.1490713,0.027892312,0.14445372,0.0653962,0.07949664,0.03575962,0.1579458
SOX18,0.077523135,0.053807963,0.07498371,-0.025835935,0.06317353,-0.21412098,0.30553374,-0.1906038,0.15735188,0.23441648,0.09202564,-0.14269403,0.19505945
PCSK5,-0.0056887227,0.17645478,0.14034125,-0.02887242,0.016848814,-0.0025786117,-0.098348364,0.071026534,0.103430405,-0.18953109,-0.03799242,-0.10273381,0.021175463
GM2A,0.08755059,-0.12192391,0.13163196,0.0029680883,-0.08689182,0.2026254,0.016079755,0.07868058,0.09239009,-0.04007412,-0.057994768,0.025147665,-0.13113588
HMOX1,0.2058781,0.012527388,-0.113584176,0.071661726,-0.027562495,0.03974205,0.026541583,0.23102313,0.049477786,0.036031887,-0.1179664,-0.123075016,-0.0005384151
DUSP2,0.15126683,-0.052724335,0.043212853,0.0005381449,-0.05480019,0.24231687,0.1869144,0.03825006,0.069163725,0.077769585,0.26598716,0.114812985,0.013371106
ERRFI1,0.026008504,0.010514013,-0.06464247,0.035447735,0.016942509,0.0338404,0.0068789413,0.22314887,0.18560189,-0.12195996,0.006639945,-0.37432605,0.023121782
AOC2,-0.04699253,-0.07786704,0.28600147,-0.0036600598,0.056556076,0.0010071915,0.124215275,0.0023137282,0.015083639,-0.13414326,-0.10055023,-0.13506304,0.1487828
MTSS1,0.081000835,-0.25649056,0.2196451,0.05742081,-0.0088070175,-0.09276457,0.1006129,-0.09428964,0.17427547,-0.018297128,0.00021689017,0.0020302685,-0.15619779
EYA2,-0.011193727,0.26205242,0.016737381,-0.01821469,-0.046925023,0.059952628,0.0074888775,0.0931192,0.048876595,0.07345418,0.018498711,0.19621387,0.07745838
ROR1,0.0007043136,0.32460156,0.010180832,0.0066327816,-0.019575488,-0.005069214,-0.16542238,0.06713632,-0.008897701,0.045742173,-0.076664865,0.05877272,-0.03232624
PRPH,-0.073678136,-0.06737303,0.0954579,0.04236526,0.022978602,-0.11645943,0.099121474,0.0368912,-0.23079583,0.03851449,0.085317194,-0.09583172,-0.0058178995
PLAG1,0.011913653,0.1132263,0.05771204,0.000531774,0.16602457,-0.051617134,0.09584157,0.15829228,-0.110839985,-0.0015312133,0.11135551,-0.036471475,-0.37604028
ABCA3,0.1915488,-0.04405253,0.08563525,0.004262332,0.004237647,-0.12254788,0.13697699,-0.13158917,-0.09702823,-0.2608839,0.09821863,-0.0065528303,-0.18642354
UNC5B,-0.024887659,-0.15178443,0.31636158,0.015982047,-0.00064103137,0.09628603,0.049372897,-0.08438632,-0.012075991,-0.009056535,-0.13239361,-0.17799553,-0.1508476
EPAS1,0.14659372,0.0040182713,0.2370394,-0.09596502,-0.009828768,-0.048613433,-0.25925827,-0.15355378,0.09665144,0.02957244,0.017059917,-0.072878994,0.073127545
SMPD3,-0.060911495,-0.12400434,0.21252985,0.050896462,0.09992458,-0.069043994,0.30199918,0.01468335,0.14027025,-0.19821982,-0.21168965,-0.020301221,-0.16507849
PTPRG,0.08510814,0.16409533,0.17899254,0.04939799,0.27795956,-0.117826514,-0.18946308,-0.029966956,0.21829909,0.025555974,0.054788403,-0.004808761,-0.21730822
IGF2BP3,0.011646306,0.05471404,0.01373487,0.164281,0.174283,-0.18647605,0.17367801,0.08275334,0.19746204,-0.03219196,0.06668868,-0.088114865,-0.18377483
GPRASP2,-0.004181899,0.0769708,0.16151318,0.03978937,-0.02631065,-0.08048378,-0.047888767,0.1506915,-0.08374246,-0.12449213,0.019413326,0.09836761,-0.12923203
SYK,0.25353017,-0.002318736,0.035108954,-0.0007475602,0.025030548,0.17279583,0.16176507,-0.01212595,0.04792751,-0.017370926,0.09480597,0.14304368,0.009607159
PYCARD,0.28941092,-0.006331803,-0.013024496,-0.042540364,-0.096797965,0.005536873,0.10983979,-0.053292956,-0.17588468,0.018087262,-0.039175116,0.015950818,0.071192294
CYGB,0.060413275,0.01004207,0.25606287,-0.0070650107,-0.0016091623,0.087726116,0.17374673,-0.14045714,0.13498764,0.10828608,0.114866324,-0.008190185,0.10765235
STEAP2,0.050202,0.15803725,-0.08304789,0.07274189,-0.11381229,-0.035670713,-0.0775092,0.22878543,0.08907153,-0.053564552,-0.047616407,-0.037480135,-0.18507229
ID1,-0.12354656,-0.02224981,0.04730375,0.07218313,-0.014142444,0.00051037216,0.3285675,0.056807805,-0.08424285,0.17776133,-0.08682035,-0.131036,0.2435909
PTGS1,0.1362073,0.20913187,0.022187946,-0.047535438,-0.08278624,0.09255723,0.11349247,-0.012429691,0.012617991,-0.05211739,-0.123388894,0.026189096,-0.22288077
CGNL1,0.019097935,0.2739545,0.10266985,-0.003973044,-0.034851193,-0.06301208,-0.18365891,-0.18100458,0.046982657,0.06165744,0.057129785,-0.02236991,-0.129023
LRRN1,-0.011519362,0.12525775,0.17014526,0.031283237,0.00044342555,-0.062193,0.0700706,0.07136597,-0.035060555,-0.058550358,0.006859898,0.17378241,0.015090577
CDH15,0.0018617763,-0.2108468,0.22915453,0.01797809,-0.000511824,0.010507069,0.26369098,0.0058454163,0.10351647,-0.0059349313,-0.22763751,-0.08914989,0.027518291
TNN,-0.10543349,0.2574479,0.0038915342,0.0040133265,0.0061922525,0.017368326,0.08599036,-0.009073205,0.0376105,0.011356459,-0.29477248,0.03295711,0.005545995
DAAM2,-0.06468124,0.013733774,0.21770301,0.0027694895,0.13072652,0.009316147,-0.07049203,0.192473,-0.13881762,0.095533326,-0.1694522,-0.01972689,-0.012878747
PTAFR,0.29355335,-0.05429939,-0.019967124,-0.03715065,0.065051705,-0.005999207,-0.083133966,0.10709998,-0.071511135,-0.06670854,-0.023736965,0.015128379,-0.010110646
BNIP3,-0.10309208,0.046056457,-0.10455359,0.05404585,0.07874035,0.04609317,-0.055564873,-0.011398311,-0.0105568115,-0.19618988,0.046742607,-0.25961915,0.03846115
CLIC6,0.05224297,0.07168863,0.09369421,0.005391131,-0.07516307,0.11200717,0.16310184,-0.004930926,0.09170846,-0.037656333,0.066691965,-0.08429352,-0.10665791
FSTL3,0.07081048,0.15367153,-0.026555018,-0.0027985198,0.01565637,0.23189032,0.23630007,-0.06819125,-0.017410673,0.006255423,0.2290496,-0.12568034,0.196658
IL1R1,0.058307257,0.048813798,0.17087133,-0.0667242,0.31949142,0.1278128,-0.25860468,0.00941428,0.059562948,-0.021132227,-0.09371032,-0.1020196,0.1046391
CD72,0.23457804,0.00029008574,-0.10817483,-0.0059360373,-0.10632425,-0.08167972,0.08679441,0.16521512,-0.065413885,-0.06934507,-0.108936325,-0.009541078,-0.037867617
LEF1,-0.054548252,0.02314096,0.23622228,0.034138843,0.0130075645,0.0155679835,-0.0050713485,-0.11195077,-0.04664723,0.11908128,-0.051335752,-0.039889034,-0.1682611
PLAU,0.14699161,0.11014301,-0.13611755,0.07488941,-0.03995587,0.097777896,-0.15649167,-0.015696136,0.11972929,0.19568697,-0.04104662,-0.36231613,-0.016313333
BCL11A,-0.022538316,0.09634505,-0.009167063,0.068855934,0.056719925,-0.020367177,0.08793326,0.08875096,-0.16105841,0.11067261,0.020107802,0.22581093,-0.29166797
SLC1A3,0.052685186,-0.045160677,0.07982374,0.07971782,-0.041372206,0.14952736,-0.05202716,0.026991349,-0.11776636,0.1943358,-0.19789472,0.16518843,-0.051679626
F3,0.03344795,-0.0013626677,-0.024839843,0.013107035,-0.045587484,0.008088111,-0.04346176,-0.0062462986,0.086293906,-0.13831314,-0.018965969,-0.26653972,-0.008854714
FGFRL1,-0.06459283,0.33160096,-0.03410234,-0.007226166,0.0031857977,-0.09735451,0.12945162,-0.024583157,-0.10213102,-0.007836364,0.08863821,0.016541386,0.007360913
PTPRE,0.26092643,-0.0011324745,0.05260587,-0.0018897697,-0.0698793,0.15120669,0.03961714,-0.008546006,0.19765392,-0.008856544,0.09792641,-0.00867629,-0.102579884
SETBP1,-0.05045244,0.11157363,0.28749418,-0.013507268,-0.056670636,0.027716946,-0.3051682,-0.008328026,-0.1673858,-0.0610108,-0.043435726,0.09338273,-0.09544031
BMP5,-0.0020515965,0.12803864,0.05860195,0.021770988,0.110285416,-0.12128816,0.17352682,0.14125323,0.009782062,-0.0114739705,0.01224287,0.1882888,-0.015011234
COL5A1,-0.04893804,0.35221833,0.048525304,-0.0034884484,0.053469464,0.15216234,-0.0029313338,-0.2109025,0.116903245,-0.02614689,-0.29459122,-0.024473637,0.00901308
SQLE,-0.07016784,-0.14022717,0.04195059,0.13894327,0.0018591876,0.01696265,-0.007089543,-0.087686665,-0.059354756,-0.0736006,-0.0050469646,-0.11466831,0.041963078
TBX3,-0.086308405,0.06598061,0.2397151,-0.020349503,-0.014791478,0.022555808,-0.042078935,0.14902024,-0.25030574,0.15883358,-0.02638836,-0.066736735,-0.023652464
CSPG4,-0.076504,0.10556094,0.21027038,-0.015228758,0.00011489346,0.09150978,0.0013335567,-0.045356404,0.027119821,-0.10766742,-0.13625781,-0.2967644,0.005411492
MET,0.09786008,0.093481064,0.028822817,0.07946922,0.31426758,0.13676177,-0.16851152,0.06223529,0.1659741,-0.0475046,0.31997278,0.16745092,-0.0012076668
ITGA4,0.07720754,-0.04512817,-0.0064762966,0.17552611,0.08589427,-0.120435104,0.09884472,0.18586403,-0.066959344,-0.020013107,-0.053789698,0.13609196,-0.06083331
ZNF521,-0.018036703,0.40567696,-0.0048902263,0.012674144,0.013907773,-0.07205976,-0.15031366,0.027132487,-0.07693882,0.021455688,-0.020943208,0.10648519,-0.05797725
EPHA3,-0.06209221,0.025811272,0.12843357,0.0024024763,0.1291951,0.12649834,-0.053087346,0.12653874,-0.15285523,0.18682797,-0.12920006,0.0096400315,-0.18534568
PRDM8,0.00471129,0.0034839937,0.16222726,-0.050746486,0.10351046,0.18281767,-0.18309742,0.05920467,-0.1469445,0.055589277,0.07633874,-0.022143507,-0.098280415
INSIG1,0.05476762,0.009539041,0.101859525,0.104273714,0.0034249711,0.33385143,0.09549309,0.037030272,0.110955544,-0.01696026,0.16270626,0.0008969961,0.1298605
TMEM100,0.042146463,0.2262935,0.12726401,-0.014429287,0.028335612,-0.018943876,0.035328776,0.086069174,-0.008499403,-0.08659939,0.034554575,-0.21161075,0.08819631
FOSL1,0.034365125,0.07831199,-0.1585017,0.07605527,-0.13341329,0.14684282,-0.18271475,-0.06921748,-0.0032158315,0.034606952,-0.017519228,-0.47939748,0.05166845
PPFIA4,-0.07437271,0.15816404,0.11487879,-0.0053445078,0.06207077,-0.016718017,0.017138092,-0.05334943,-0.07554202,-0.16750099,0.17210485,-0.002737429,0.12686902
IL10RA,0.29645866,-0.016806712,0.0012587609,-0.0019430898,-0.08281031,-0.06604993,0.017147893,-0.015442235,-0.065820575,-0.0063648387,-0.13756803,-0.021878656,-0.10464962
SLC11A1,0.25524583,-0.010485301,-0.14068465,0.047077965,-0.005810036,-0.011722247,0.03645644,0.16172242,-0.12101636,0.0122375805,-0.1142277,-0.1806877,-0.012003779
AMPH,-0.029153274,0.23587593,-0.0025267815,0.0017965378,-0.09368037,0.06700996,-0.16075099,0.16034544,-0.10707642,0.03115933,0.016889052,-0.06058129,-0.1624457
GTSE1,-0.050279785,-0.02419876,-0.0049213045,0.35991836,-0.059644565,0.007040273,0.03184779,-0.036509264,-0.09111045,0.062208954,0.006936831,-0.053719193,0.005887502
SAMSN1,0.2908881,-0.022367517,-0.07604092,0.0037795021,0.069431126,-0.077815846,-0.040916517,0.24542834,-0.2076089,-0.045684524,-0.12970397,-0.064001516,0.05963879
DACT1,0.0051897103,0.3489164,-0.005703835,0.032769736,0.07223191,-0.09456565,-0.15843494,0.077405505,-0.014520274,0.019022256,-0.0008525566,0.023304792,-0.091532506
SULF1,0.08793719,0.14805445,0.13729681,-0.054005902,-0.021353375,0.13280918,-0.18830149,0.044943575,0.11853936,0.027616156,-0.028291669,-0.14962755,0.038483866
CTHRC1,0.01779814,0.16218135,-0.032393817,0.006627644,0.20627779,0.1236613,0.08707842,0.0032306851,0.19690353,-0.09080528,-0.14215463,-0.15000908,-0.034475986
ST3GAL6,0.13545896,-0.1440154,0.14539361,-0.001134664,-0.026680093,0.041419223,0.06505107,0.0969612,0.1977416,0.02329716,0.12926239,0.0730434,-0.23453867
AGTR1,0.003902439,0.16271381,0.09185711,0.0056470963,-0.016708609,-0.0100249415,-0.17671163,0.22777136,-0.030717144,0.034264497,-0.025034769,-0.0043883678,0.13077702
HEY2,0.034168046,-0.10609643,0.28908318,-0.0020060334,0.0923213,0.06971293,-0.0053928304,-0.052920137,0.06305893,0.078764275,0.01354359,-0.027519867,0.14875577
PMP22,-0.012517088,0.2851466,-0.06523536,0.0033164767,-0.07702027,0.049696963,-0.0350529,-0.088327914,-0.044038802,-0.01128901,-0.08725691,-0.19946331,-0.021733433
FBLN5,0.010564525,0.25437564,0.15741646,-0.077087305,-0.012505124,0.0073989797,-0.16003644,-0.032082655,-0.08980839,0.055879466,-0.0074206307,-0.039083168,0.08633627
PTPRZ1,-0.02577214,-0.11002391,0.21853352,0.039577182,0.13163705,-0.073629536,0.19526364,0.18785869,0.1014387,-0.18040915,0.051055565,-0.054227095,-0.07596042
C5AR1,0.25923488,0.00050399883,-0.11781007,0.013050692,0.0014691781,-0.067798086,-0.01726345,0.21879937,-0.10551481,0.004673421,-0.14170577,-0.21843934,-0.0044579664
MFAP2,-0.052508317,0.2861707,0.068101384,-0.007981746,0.09175814,0.14953925,0.16136423,-0.08656771,-0.12855156,0.10564822,0.048201647,-0.014093631,-0.09469512
UBE2T,-0.08253668,-0.14061305,-0.027868066,0.29888642,0.11329476,-0.008601404,0.09622915,0.013313434,-0.09922096,0.05883641,0.091706045,-0.13656636,0.06814102
ALOX5,0.207069,-0.013262273,0.019209197,-0.12048784,-0.07842875,-0.012175503,-0.12509672,0.09102678,-0.103263915,-0.015068165,-0.09188592,-0.016745623,-0.054185137
PLTP,0.07151208,0.12065107,0.013688109,-0.0056644455,-0.12330881,0.009998896,0.23726961,-0.015190933,-0.13951682,0.09427864,-0.18055151,-0.0052602193,-0.31743333
IER5L,0.006507473,0.20949355,-0.08185891,-0.0033568165,-0.0012990282,-0.053304847,0.14632368,0.045193557,-0.07562171,0.22265494,0.1167436,-0.2268892,0.24708799
SLC16A3,-0.0327421,0.09524612,-0.09661429,1.5079985e-05,0.2525789,0.20550844,0.14939985,-0.01456023,-0.022736775,-0.084015064,-0.006238133,-0.41752836,-0.045457676
HRH1,0.0042532026,0.25553122,0.012848437,0.04798784,-0.084954835,-0.04866942,-0.120808534,0.11962158,0.009390653,0.18270496,-0.0814247,-0.055266805,-0.112861656
AMOT,-0.10378155,0.06787149,0.1874819,0.137926,0.0026342766,0.016620168,-0.0148321465,0.08701844,-0.07323822,-0.005691998,-0.15761049,0.18747497,-0.059747484
FLRT2,-0.07558806,0.283028,0.05236335,0.10364934,-0.042374425,0.012256568,-0.0038788018,-0.10056393,-0.06581256,0.07662248,-0.09482955,0.16049695,-0.123424135
PIK3AP1,0.2784156,-0.06475092,0.04599179,-7.272515e-05,0.36179823,0.115296036,-0.027304571,-0.08418442,-0.0077419756,-0.109368,-0.028132105,0.013883551,-0.040762488
NOTCH3,0.00094557076,0.040680874,0.27673772,-0.0015535472,0.011369078,0.07217204,-0.059811585,-0.08223998,-0.009217465,0.3099537,-0.07968201,-0.08458926,-0.0133465445
GZMB,0.21125685,-0.02033237,-0.076951556,0.01657116,-0.09922811,-0.08605532,0.053868487,-0.08078337,-0.119041,-0.0044461056,0.048948694,-0.0364927,0.011753046
B2M,0.24194059,-0.067071766,-0.007262111,-5.3995485e-05,0.24769905,-0.035161998,0.0031732765,-0.24948537,-0.10696239,-0.04936172,-0.0065898323,-0.07771695,0.20747979
MSR1,0.27126142,0.01955847,-0.11676155,0.012128217,0.0046857563,-0.02935438,-0.06932974,0.27642423,-0.12731688,-0.07039512,-0.29595152,-0.017201677,-0.0065021473
FJX1,0.013885997,-0.04276844,0.17157152,-0.037342362,-0.008208583,0.044253025,0.13943478,-0.051302183,0.079776764,0.14971453,0.07763487,-0.15043809,-0.18199663
PLEKHA4,0.030196568,0.19861346,0.0610043,-0.0099418415,0.009799527,-0.027254308,0.118555516,-0.017182214,-0.20662685,-0.0030227704,0.068444535,-0.14383826,0.12369533
EPDR1,0.07092979,0.0019451099,0.14719036,-0.012856471,0.01801461,0.20841244,0.024412932,-0.013966879,0.006850907,-0.034867384,-0.11648738,-0.025773188,0.21697797
SOX7,0.11189732,0.03670769,0.21322665,0.0013141958,-0.054920197,-0.27992266,0.024572277,-0.02601648,0.25888738,0.2885296,-0.002469938,0.0065510576,0.003690223
DUSP10,0.1408922,0.09786702,-0.031335972,0.029486842,-0.042536125,0.09803498,-0.102765195,0.03608512,0.010098243,0.123025484,0.120042205,-0.29918453,-0.0070233434
ENC1,0.02898747,0.019977326,0.08887399,0.081733584,0.08608287,-0.18882896,-0.0072614504,0.048304584,0.014623493,-0.027970057,-0.08498887,0.0016685657,-0.25146997
STK32B,0.02307415,0.28333575,0.009837371,-0.007952316,0.054370694,0.0018346794,-0.004973763,-0.0777887,0.06122252,0.044198856,-0.053810734,0.10347788,-0.06715587
CCDC68,-0.05469045,0.07792338,0.07163316,0.063850135,-0.008852761,-0.05682239,0.06963734,0.0318552,0.017836023,-0.046800945,-0.10097001,0.01924951,0.110022664
GABRE,-0.0039313613,0.2113899,0.046913106,-0.0005891958,0.001156706,-0.13860102,0.20258448,0.19597259,0.00981874,0.052046005,-0.06765215,-0.016000282,-0.057606544
EPHA2,-0.05568447,-0.107249446,0.110552475,0.1150222,-0.005721374,0.073244765,0.11345851,-0.049481664,0.040280927,0.008334555,-0.15270008,-0.21277544,-0.12046565
ALDOC,-0.059825692,-0.011328815,-0.100235924,0.010136978,-0.014034518,0.079283595,-0.11166934,-0.14876367,-0.10792016,-0.13491528,-0.083225936,-0.14812532,0.013757469
CENPF,-0.07951761,-0.050576363,0.050095845,0.36079946,-0.013873321,0.0064860154,-0.14083247,-0.11185995,-0.04413134,-0.03398803,0.017882738,0.010479485,-0.022621721
