,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::142_1710_tumor,-0.07222989,1.7139357,0.9686264,0.052497778,-0.08026506,0.11673823,0.8778038,1.5241781,DOG2
DOG2::143_1916_tumor,1.7466451,2.963451,-0.24085477,-2.9722295,-0.5208138,-1.2326406,1.498735,-0.7588504,DOG2
DOG2::14_0614__Tumor,7.1289244,-1.9231746,0.17562565,-2.778403,-1.3732705,-0.6739832,-0.47109014,-0.47424465,DOG2
DOG2::15_0615__Tumor,2.6239202,-0.19306593,0.40705884,0.87689364,0.08659281,-1.4027505,-0.38445932,0.89418554,DOG2
DOG2::16_0211_tumor,-2.4445908,1.7776201,-2.996561,-0.43392238,0.5221152,-1.744698,-0.62496775,-1.1742626,DOG2
DOG2::16_0616__Tumor,-0.28552932,2.7482233,0.22334836,-1.2068833,0.16827554,0.13890375,1.0089155,-0.32260153,DOG2
DOG2::17_0226_tumor,1.0432292,-2.4853702,2.449374,0.6717029,0.8329703,1.2745502,0.11077635,1.0368981,DOG2
DOG2::17_0620__Tumor,0.6721766,-0.9884391,0.37656763,-0.39749628,1.1956685,0.9099996,0.55094206,-0.6176307,DOG2
DOG2::18_0301_tumor,-2.1888344,-0.34670842,0.21491376,-5.7642884,-0.5436569,-1.2071794,-0.042679884,0.8790383,DOG2
DOG2::19_0303_tumor,-1.7052273,0.58917177,4.832281,-1.6775261,-2.523957,0.28468877,1.1572012,-1.2467619,DOG2
DOG2::19_0621__Tumor,-1.2704321,-0.91249275,1.9003228,2.4295604,-0.43536913,0.88024575,-0.48500884,-2.24024,DOG2
DOG2::1_0201_tumor,-0.61302626,1.4989676,2.3488677,2.756854,-2.805358,-1.1064553,-0.709861,-0.8108342,DOG2
DOG2::1_0202_tumor,-0.88176376,0.1464907,-2.9417496,2.4516232,0.73531383,-0.4473693,0.24099891,-1.7740164,DOG2
DOG2::20_0307_tumor,0.8335307,4.821363,-3.237721,-0.9861955,-1.7386371,-4.315187,-0.09436428,-1.2770187,DOG2
DOG2::21_0311_tumor,7.0003953,1.9852548,-2.1147137,-2.608451,-1.4483864,-1.116692,-1.0360014,-1.3241649,DOG2
DOG2::21_0631__Tumor,-1.7991399,-0.9102965,1.5894938,0.4838482,1.2712516,-1.0162421,-0.77955824,1.1116937,DOG2
DOG2::22_0317_tumor,4.967699,1.4983648,0.036977552,-0.5699272,-1.4404484,-0.1664471,0.48478866,-0.6019761,DOG2
DOG2::22_0640__Tumor,-0.47215733,-1.5155734,1.8729382,2.1377366,0.8998527,1.4184805,0.44460344,-1.7879094,DOG2
DOG2::23_0329_tumor,1.0318309,-0.2623803,1.4231681,-2.0845466,3.2596734,0.31072745,-1.1215017,-0.8604527,DOG2
DOG2::23_0642__Tumor,3.005562,-0.92396307,2.0224211,1.7209734,-1.0511928,-0.6159281,-0.30476776,-0.30322698,DOG2
DOG2::24_0405_tumor,-0.68202806,3.664898,0.8719865,-2.5891945,0.084540255,0.55554944,1.8248774,-0.8334181,DOG2
DOG2::24_0704__Tumor,-3.8855479,0.41973832,-0.39784232,1.2766519,0.30408037,-2.402674,-0.54706264,1.1901828,DOG2
DOG2::25_0505_tumor,-0.9038569,2.1203012,-0.09397277,-3.6525087,1.1667558,-1.0512397,0.4323363,0.7636258,DOG2
DOG2::25_0706__Tumor,3.0238445,-0.5326507,0.29032254,1.1133169,-0.6062929,-0.30401474,0.48334536,1.3381249,DOG2
DOG2::26_0509_tumor,2.3436992,0.5804895,0.56913203,0.13579257,1.5221732,0.41299593,-0.059115898,-1.1678624,DOG2
DOG2::26_0722__Tumor,-0.054730587,-0.16556202,1.2732273,0.42258492,-1.3708962,-0.04236393,-0.120507,-0.93717563,DOG2
DOG2::27_0511_tumor,0.816555,-0.6838351,-0.26678586,0.70667666,1.4020387,-0.6892262,-0.4462334,1.1395006,DOG2
DOG2::27_0723__Tumor,0.16667238,-1.1750683,-0.9054268,0.9261315,-0.11698008,-0.14234264,1.523868,3.8184936,DOG2
DOG2::28_0513_tumor,2.0213196,0.01152461,0.35171556,0.6533253,-0.9061862,0.7127208,0.9965148,-1.252646,DOG2
DOG2::28_0725__Tumor,-3.358769,0.33403912,2.9849834,0.7946562,1.4232929,0.39096594,0.6651188,-0.28270116,DOG2
DOG2::29_0515_tumor,0.1003075,1.6532861,-0.017782815,2.2342987,1.9477977,-1.0945885,-2.1668427,-1.1169311,DOG2
DOG2::29_0729__Tumor,-1.1299239,-4.6283746,-3.2451322,-0.32038388,2.8171337,0.6825206,1.1003442,4.22419,DOG2
DOG2::2_0203_Tumor,4.348273,-3.2261276,3.7042577,-0.7684834,-4.3672185,1.0448395,-2.8561592,-0.42457378,DOG2
DOG2::2_0209__Tumor,-2.9561021,-1.5540274,1.632432,1.3666443,1.6438891,0.5358304,-0.7889281,-0.6745421,DOG2
DOG2::30_0517_tumor,-0.8285894,-1.657621,1.2948171,0.9623278,0.16428892,1.2109697,-0.35294154,-1.1563088,DOG2
DOG2::30_0814_RNAla_Ter__tumor,-0.70173717,-1.9315529,0.8905937,0.6009424,1.2442619,0.7233721,-0.28025916,3.0652792,DOG2
DOG2::31_0519_tumor,1.465865,0.17031251,-3.268484,0.48186606,-0.26397368,-0.5506177,-0.9146581,2.3389382,DOG2
DOG2::32_0523_tumor,4.70594,2.5673127,-2.0471594,-1.5318342,-1.244153,-0.20743634,1.0537128,-0.36433148,DOG2
DOG2::32_0904__Tumor,-2.0567842,0.25278938,-0.45757207,1.6729991,1.5011939,0.17361781,1.2700875,-1.2380109,DOG2
DOG2::33_0524_tumor,1.8063724,0.54042137,-3.2887716,-0.24825922,3.049201,-2.0589883,0.70304465,-0.14608562,DOG2
DOG2::33_1002__Tumor,1.7742449,-4.2488136,2.0197089,0.17748596,-0.7223387,-0.008566042,-0.7283303,2.917842,DOG2
DOG2::34_0601_tumor,1.8976607,-2.050885,-4.574548,2.0448508,-0.030519266,-0.8710973,0.30266175,2.5084727,DOG2
DOG2::34_1004__Tumor,0.746864,0.33120352,-0.1621768,0.41725162,1.3446639,-1.1493554,0.56935066,1.2923282,DOG2
DOG2::35_0603_tumor,6.353721,-2.5877838,1.9144039,-3.9479792,-2.6632118,-1.0679947,-0.7973171,1.1118201,DOG2
DOG2::35_1007__Tumor,-1.4999331,-2.5242085,2.7456355,0.37785968,0.13365822,0.22200806,-0.7620241,-0.17268576,DOG2
DOG2::36_0607_tumor,-1.1002308,1.4312283,2.2250276,1.7264196,-0.30565828,-0.11769126,-1.0048305,-1.4679347,DOG2
DOG2::36_1014__Tumor,2.8976972,-2.8036263,1.4362166,-0.41239938,3.9607294,-0.7755623,-2.0128915,-0.7984302,DOG2
