,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11
CHST2,0.002831837,-0.029405013,0.113068,-0.0121398475,-0.0064203115,0.005135138,0.3857251,-0.16376497,0.0028856804,0.052039973,-0.012960376
CLEC12A,0.3096403,0.07677319,-0.015802527,-0.00037672385,-0.023049336,-0.105030045,-0.003447151,0.003270144,0.008270455,0.029736947,0.12438069
CLSPN,0.0010697206,-0.009721889,0.38736483,-0.0010935781,0.0093873,-0.00086729514,0.0057308823,0.004283715,-0.07701864,-0.122121975,0.020455644
CLTCL1,0.0020740458,0.122135736,0.1808467,0.020770311,-0.24300165,-0.0023065205,-0.0027558326,-0.19179587,-0.0046814396,0.09020002,-0.003261809
CSF1R,0.22490789,-0.0007449452,-0.0016203757,0.07007348,-0.016824597,0.3281894,-0.00016574647,-0.028501349,-0.005895837,-0.13471854,-0.02676937
CSF2RB,0.23419283,0.0666369,-0.008384072,-0.07826895,0.07265395,0.16701454,0.115217514,-0.011207097,-0.12647052,-0.07991913,0.01482902
CTSH,0.25830632,-0.011032974,-0.012084276,0.08285562,-0.03859703,-0.10349123,-0.0661827,0.1735727,0.08822877,0.008116117,-0.08998948
CXCL14,0.043992754,0.29806924,-0.1421269,0.0113586,0.0049173324,-0.0034272424,0.12023856,0.13641721,0.0028104095,-0.01005719,0.0040674102
CYP4V2,0.22454666,-0.0012305689,-0.070227906,0.011586485,-0.018719811,0.0028504527,-0.017505195,0.17082937,-0.0937762,-0.0057486054,0.012480675
CYSLTR2,0.20345393,-0.0009114271,-0.027815636,-0.022209931,0.11334387,-0.09189348,0.06913054,0.0025536022,-0.14392649,0.026569298,0.005495994
DAPP1,0.28586513,-0.0025666845,-0.0049094614,-0.06839536,0.014037794,-0.03805242,0.001265498,0.04700804,-0.112924725,0.14233686,0.0030598633
DENND1C,0.3272936,0.00035626593,-0.020563466,-0.013624789,-0.0052216593,0.055737566,0.0016282655,-0.057761725,0.03216069,0.028955946,0.001754976
DEPDC1,-0.04127361,-0.0005133248,0.37413102,-0.035427153,0.05454233,-0.0016826374,-0.009214285,0.005851148,-0.091041505,-0.042117637,-0.03858672
DNAJB1,-0.0061537516,0.003991431,0.13014588,0.031004407,-0.042843144,-0.0014816101,0.0062546707,0.23269312,0.23863044,0.28052956,-0.12766522
DNASE1L3,0.120800525,-0.0061802883,-0.06712341,0.094299704,0.03805174,0.00043917986,0.23495309,0.016970826,0.02551749,0.01017398,0.25016242
DOCK2,0.3422185,0.00400648,0.024454564,-0.001164441,-0.052541893,-0.07032917,-0.000627447,0.0075872918,-0.09499991,-0.03922257,-0.00081406574
DOK2,0.29401696,-0.0039825332,-0.005951868,-0.09587039,0.043646526,-0.065022215,0.009315573,-0.088156424,0.040682163,0.045487136,-0.06906757
DRD1,-0.011395235,0.0061711273,0.01328171,0.037936524,-0.012061674,-0.09375118,0.2323954,0.002807596,-0.027373523,0.01495434,-0.05452506
DTX3L,0.17440712,-0.0028908642,0.086164944,0.07571573,0.04760199,-0.018675571,-0.012382915,0.38478005,0.05628314,0.019773724,0.3939968
E2F1,-0.040554166,-0.07605894,0.29508117,-0.065776795,0.065665424,-0.0011379131,-0.002914248,-0.06897963,0.12949204,0.030451555,0.0016146668
E2F7,-0.00022122457,0.15288968,0.36302605,-0.062469292,-0.017723477,0.0002452281,0.0025806015,-0.004233078,-0.070429705,-0.054750394,-0.060151696
E2F8,0.0006031125,-0.015267325,0.3725523,0.0050233216,0.06443306,-0.00048359885,0.017189812,0.003653901,-0.04078063,-0.07031624,0.07489827
ECT2,-0.0013992178,0.0037120003,0.38822454,-0.087386966,0.06126089,0.0009274663,-0.00247694,0.07116423,-0.07734076,-0.09736975,-0.011656706
EGR1,0.017496191,-0.00031016854,-0.008714639,0.024644589,0.117026635,0.015987365,0.18763362,0.17050652,-0.057345983,0.13929373,-0.17880462
EHD3,0.02815271,-0.12790744,-0.050024245,0.1536131,0.060870603,0.119873315,0.120096035,0.1911916,-0.20151512,-0.021208977,0.01973028
ELOVL4,-0.01055841,0.093796276,0.16960989,0.1525686,0.11481402,0.0015087901,-0.07331974,-0.080613814,0.0912838,0.044302527,-0.10796733
ENPP5,0.13069566,-0.14675705,-0.06754503,0.07985746,-0.10855813,0.115827635,0.01594479,0.1419248,-0.1374877,0.099851,-0.0021661336
EPAS1,0.07160886,-0.0015177942,-0.10953265,0.15840493,-0.013284828,-4.1233863e-05,0.27347142,0.26930055,-0.16339642,-0.061843652,0.020891974
EPHA2,-0.00027513254,-0.00880579,0.14938997,0.1597188,0.23020682,0.0058298386,-0.0069632423,0.013338395,0.10162531,-0.07867353,-0.13791385
