,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
ABCC3,0.2740439,0.031528108,-0.0005255222,0.042736776,0.009403807,0.019431684,0.031046817,0.07476251
ADAMTS1,-0.009356178,0.26279548,0.15571232,0.04060013,-0.015979193,-0.16709174,-0.014529396,-0.045694906
ADAMTS4,0.0033742785,0.24352908,0.109329276,-0.0792809,0.09289653,-0.1157267,0.01478523,-0.05046471
ADCY7,0.17229371,0.21830747,0.0012527761,-0.056895033,-0.0061595803,-0.12664735,0.088289365,0.011894196
ALOX5,0.22185858,0.011880106,-0.1070135,0.008065265,-0.070858486,0.01794463,-0.04081739,0.06310244
ANGPT2,-0.005082036,-0.01252377,0.01569866,0.031720165,-0.05193504,-0.22526425,-0.009060514,-0.08751531
ANKRD22,0.27343634,-0.07026941,-0.0023595544,-0.044385333,0.0015444211,0.086254835,-0.046017136,0.08180688
ANXA3,0.08659353,-0.011782923,-0.025444992,-0.020282254,-0.0073332298,-0.18060033,-0.07212548,0.1000511
ARHGAP30,0.3282807,0.030069206,0.004640341,-0.024271846,-0.056289632,0.0050940095,0.04381102,-0.01077042
ARHGDIB,0.23321022,-0.010238966,-0.10241394,-0.001545531,0.059887357,-0.059484467,-0.1441435,0.005786376
ARL4D,-0.0041297935,-0.1267146,0.13819343,0.13758321,0.0006393758,0.18792899,0.15549627,-0.092096336
ARRB1,0.16788015,-0.07231356,-0.0009270087,0.088664696,0.22551551,-0.22330308,-0.031996615,-0.07809546
ATAD2,-0.0029536413,-0.08145258,0.34327787,0.0018819482,-0.026266364,-0.113888174,0.0802981,0.063579
ATF7IP2,0.10083998,-0.11569687,-0.0006029863,0.1302125,2.1540766e-06,-0.20480435,-0.11261417,-0.0023745662
ATP8A1,0.19451745,-0.110333934,-0.0017852399,0.09102521,-0.0106018605,-0.21421483,-2.6330825e-05,0.017028524
B2M,0.23840356,-0.050837032,-0.004497659,-0.06840789,-0.07818391,-0.08698984,0.03358619,0.12982425
BARX1,-0.070185825,0.07917967,0.031373467,0.10751545,-0.08134662,0.16260606,-0.012212706,-0.06301566
BATF2,0.21279033,-0.072580814,-0.005162536,0.07572278,-0.104047984,-0.14425029,-0.040289737,0.034674514
BLNK,0.30771345,0.002285568,-0.0029208933,0.047404055,-0.04304165,0.01807256,0.09386036,0.0019755545
BTK,0.27512786,-0.034657747,0.0013005625,-0.1148423,0.18733138,-0.005318447,0.10506079,-0.0503488
BUB1,4.6003166e-05,-0.08735999,0.3788943,-0.06891165,0.0010750295,-0.0015482659,0.09115245,-0.043420833
C1S,0.10257604,0.22663513,-0.08744692,0.077963516,-0.003108003,-0.089266784,-0.02882311,0.21731205
C3AR1,0.32538632,0.063069455,5.0209357e-05,0.0033046438,-0.145366,0.03209334,0.15117854,0.047558874
CAPG,0.11449007,-0.0009392859,0.0013128512,-0.20247653,0.2755579,0.06622024,0.024491023,0.18224938
CARD9,0.27919766,-0.0076420396,-0.030455833,0.026628533,0.11596033,0.11777763,-0.025327345,0.0049243877
CASP8,0.13036998,0.0044743964,0.06310571,-0.059184667,-0.03315993,-0.25822473,0.18861644,0.12457504
CBX7,0.12689716,0.0333845,-0.078596555,0.03897235,-0.062285427,-0.19613472,-0.15668362,0.19324903
CCNA2,0.00011180318,-0.00042214317,0.3838788,-0.08379784,-0.0030505927,-0.00053839723,0.060296733,-0.063765116
CCNB3,-0.0032582248,-0.062770955,0.32359684,-0.017336436,-0.012730335,0.0007342468,-0.07599749,-0.0031424945
CCR2,0.27128434,0.042922903,-0.00020686736,0.07077225,-0.14828648,-0.11048794,-0.0009172833,-0.0021526287
CD244,0.24792407,-0.055813663,-0.009032319,0.0034441075,-0.11973549,-0.06858823,-0.0047857286,-0.01441407
