,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,group
DOG2::100_0514_tumor,-0.8319918,0.39508963,1.8225315,-0.07184007,1.6326057,-2.8544574,DOG2
DOG2::101_0518_tumor,2.7315946,1.9298468,1.0613962,-2.379972,0.5759572,-2.1585066,DOG2
DOG2::102_0619_tumor,4.319689,1.7662754,-1.4863601,-2.137832,1.4440503,0.45643723,DOG2
DOG2::103_0639_tumor,1.2190081,-1.5927414,-1.3472586,1.253028,-0.92910355,0.35978308,DOG2
DOG2::104_0702_tumor,0.09936711,0.44286647,1.1040609,0.5185274,-0.7709538,-3.0010202,DOG2
DOG2::105_0710_tumor,0.30254605,-0.14904238,-1.5382671,0.042350136,1.3139548,-0.3878087,DOG2
DOG2::106_0716_tumor,-2.723696,2.1114,-0.1869827,1.0481037,0.6990265,0.74771994,DOG2
DOG2::107_0719_tumor,-4.604572,-1.5695474,1.7459139,-0.09053662,1.0453262,-1.3620539,DOG2
DOG2::108_0720_tumor,-2.042188,-3.326838,0.44741377,-1.267307,-1.3931831,-0.8400084,DOG2
DOG2::109_0721_tumor,1.3774757,-1.8425586,0.50462055,0.83975405,-2.315549,-1.3396187,DOG2
DOG2::10_0512__Tumor,-2.248682,1.2919294,0.9938928,0.3819819,-0.8673555,-2.5134504,DOG2
DOG2::110_0522_tumor,3.2684035,-1.3293227,1.503736,-1.2587018,1.9235387,-0.7835493,DOG2
DOG2::111_1708_tumor,-1.2725829,3.1382291,0.41615325,-0.029017413,1.5548352,2.6716642,DOG2
DOG2::112_0502_tumor,0.5665373,-1.6952201,-3.3334348,0.23660485,1.3782794,-2.0001984,DOG2
DOG2::113_1010_tumor,0.44941178,-2.310666,1.2871484,-3.9025004,-2.2581446,1.1922699,DOG2
DOG2::114_1704_tumor,1.678971,4.1730633,-0.648598,-0.47583264,0.57836264,0.6512949,DOG2
DOG2::115_2318_tumor,-1.2016126,-2.4024122,0.7548503,1.0219074,-3.1728683,0.0044227447,DOG2
DOG2::116_0506_tumor,-0.47850186,1.9555374,-0.63404953,-0.9120316,-0.49218196,-0.7857324,DOG2
DOG2::117_1011_tumor,-5.1566095,-2.5517898,3.8823056,-0.32469305,2.809813,-0.9382336,DOG2
DOG2::118_2304_tumor,-2.0676975,0.122666374,-2.681161,0.9650868,2.7226295,-1.6558405,DOG2
DOG2::119_0516_tumor,-3.2436862,0.19796301,-0.023699345,1.4439404,1.8577682,1.3639654,DOG2
DOG2::11_0602__Tumor,-1.5471092,-1.1025442,1.5680295,-1.0039835,0.57183886,1.1376903,DOG2
DOG2::120_2306_tumor,1.5587473,0.09780191,-0.23620348,-1.3763772,1.7284305,1.3637066,DOG2
DOG2::121_2322_tumor,-1.9695877,-2.465134,-0.6742397,2.4964216,-1.4239659,0.20536388,DOG2
DOG2::122_0504_tumor,-3.1493022,-1.5736713,2.7174718,-1.4482621,1.6750133,-2.8219645,DOG2
DOG2::123_2316_tumor,3.280192,-1.6111557,2.3039129,-0.41944718,-0.44741592,0.39142895,DOG2
DOG2::125_2004_tumor,-0.5204485,1.612372,-0.14242102,1.1276277,0.38651183,2.0665076,DOG2
DOG2::126_0228_tumor,-2.9774768,2.4077141,0.8930013,-1.1624331,-0.4001115,1.3949984,DOG2
DOG2::127_2010_tumor,-2.361366,-1.1287318,0.793508,-0.81683314,0.107509926,2.5105958,DOG2
DOG2::128_1023_tumor,3.48855,2.1018298,-1.8532971,-5.354861,0.5461758,-0.05324598,DOG2
DOG2::129_1414_tumor,0.2917377,-0.9517425,1.8883737,0.26207897,-0.5941734,-0.8998351,DOG2
DOG2::12_0608__Tumor,-4.7760406,0.38760048,4.00076,0.25107363,1.5574307,-1.1476858,DOG2
DOG2::131_2012_tumor,-0.3456044,-0.96225923,-5.214473,2.187128,0.08770338,0.8729286,DOG2
DOG2::132_1025_tumor,-6.874442,3.7107282,0.70490634,-1.0803342,1.0666503,0.95819986,DOG2
DOG2::133_0907_tumor,1.3190916,3.177697,-2.8539999,0.4689997,0.23461145,1.6698995,DOG2
DOG2::134_2208_tumor,-0.4437543,-1.1672171,0.02082966,-0.8619896,1.4875491,0.93156993,DOG2
DOG2::135_0102_tumor,-2.8434176,-3.821638,1.6158015,0.4578081,-0.11903355,-3.0007915,DOG2
DOG2::136_0105_tumor,0.94240415,-3.5547683,0.7057172,0.80374557,-0.8190529,0.4403289,DOG2
DOG2::137_0106_tumor,3.252214,-1.0483468,-4.879007,0.17646892,-0.30998835,-0.16660894,DOG2
DOG2::138_0314_tumor,-2.4685395,2.2618647,-4.454129,-0.20663778,-0.53708595,1.0066671,DOG2
DOG2::139_0733_tumor,-2.3380852,-0.6056652,-4.1807637,-4.1029468,0.29634634,-0.6496094,DOG2
DOG2::13_0613__Tumor,-5.1605835,-2.5765018,4.1336074,-1.0112476,0.04534775,0.81428766,DOG2
DOG2::140_0905_tumor,1.2920402,4.6169763,-3.491256,-2.1372755,0.06875829,0.993783,DOG2
DOG2::141_1707_tumor,1.8899912,-0.9436667,-4.3014317,1.6047454,1.5216296,-2.6925738,DOG2
DOG2::142_1710_tumor,-0.08446281,1.7515166,1.161328,0.50824094,-1.1373512,0.13608691,DOG2
DOG2::143_1916_tumor,1.8857985,3.206482,-0.3689675,-2.5579598,-0.42130482,-0.28913283,DOG2
DOG2::14_0614__Tumor,7.065047,-2.1658142,-0.052013386,-2.6559088,-0.47445884,1.2958626,DOG2
DOG2::15_0615__Tumor,2.6693745,-0.052692853,0.3660137,1.3700184,-1.1131839,0.4103062,DOG2
DOG2::16_0211_tumor,-2.3701553,2.037638,-3.3968248,-0.53813034,0.16604581,-1.1310463,DOG2
DOG2::16_0616__Tumor,-0.1845751,2.834313,0.26721388,-1.083136,0.085910015,-0.5989668,DOG2
DOG2::17_0226_tumor,0.9847925,-2.7690797,2.7373235,0.88632715,-0.2037338,-0.42728478,DOG2
DOG2::17_0620__Tumor,0.6841554,-1.1086292,0.5141129,-0.3257929,0.8214736,-1.3794945,DOG2
DOG2::18_0301_tumor,-2.1762843,-0.35364392,-0.32457492,-4.862707,-2.5020423,-0.9674296,DOG2
DOG2::19_0303_tumor,-1.6734155,0.9628495,4.714599,-2.248508,0.910896,2.009085,DOG2
DOG2::19_0621__Tumor,-1.2398251,-0.68080926,1.9498858,1.3791224,2.7397614,0.8441674,DOG2
DOG2::1_0201_tumor,-0.5877905,1.9889884,2.1346073,1.8104892,0.8650592,3.5276284,DOG2
DOG2::1_0202_tumor,-0.7565118,0.5391097,-2.8636482,2.1528845,1.9672755,-0.37807018,DOG2
DOG2::20_0307_tumor,1.067094,5.7225847,-3.9004211,-0.7214413,-0.69485325,1.248476,DOG2
DOG2::21_0311_tumor,7.0375566,1.8683164,-2.3840735,-2.9150867,-0.09251549,1.1638938,DOG2
DOG2::21_0631__Tumor,-1.7968236,-0.90177083,1.4287963,0.8714652,-1.3121684,-1.2940435,DOG2
DOG2::22_0317_tumor,4.996565,1.4717735,0.10508993,-0.7472991,0.33716154,1.6726937,DOG2
DOG2::22_0640__Tumor,-0.4318301,-1.3603407,2.1212406,1.6148986,2.5854475,-0.53582823,DOG2
DOG2::23_0329_tumor,1.1019434,-0.6761128,1.2822943,-2.0565307,0.13185218,-4.159258,DOG2
DOG2::23_0642__Tumor,3.030518,-0.7214298,2.016677,1.5340897,0.47064936,1.811811,DOG2
DOG2::24_0405_tumor,-0.6052399,3.7821174,0.9292079,-2.542537,0.4177607,-1.055762,DOG2
DOG2::24_0704__Tumor,-3.8486676,0.75411433,-0.73954695,1.7320315,-1.6766936,-0.22358584,DOG2
DOG2::25_0505_tumor,-0.78935486,2.0917783,-0.3253153,-2.7432895,-1.8708119,-2.2914014,DOG2
DOG2::25_0706__Tumor,2.9867213,-0.5711075,0.461159,1.5296427,-0.86675644,1.3444535,DOG2
DOG2::26_0509_tumor,2.4034498,0.45866534,0.62800276,-0.037815437,1.0743471,-1.6045742,DOG2
DOG2::26_0722__Tumor,-0.08127567,-0.043971796,1.178916,-0.1082775,0.9068252,1.4874499,DOG2
DOG2::27_0511_tumor,0.8176372,-0.8454442,-0.27209428,1.2542111,-1.0840089,-1.1551521,DOG2
DOG2::27_0723__Tumor,0.09558984,-1.2453866,-0.56483495,2.3065615,-2.7927074,0.8892356,DOG2
DOG2::28_0513_tumor,2.093392,0.20296156,0.56526524,0.38359118,1.6437359,1.2585503,DOG2
DOG2::28_0725__Tumor,-3.236543,0.5429253,3.1082242,0.83112866,0.5874075,-1.5868276,DOG2
DOG2::29_0515_tumor,0.15597273,1.5892214,-0.33839333,1.6739295,0.7523943,-1.8071711,DOG2
DOG2::29_0729__Tumor,-1.2009624,-5.0783796,-2.808448,1.6311917,-3.177694,-2.5093904,DOG2
DOG2::2_0203_Tumor,4.054212,-3.7257335,3.4587247,-2.3421407,0.16153887,4.911843,DOG2
DOG2::2_0209__Tumor,-2.9223413,-1.5505011,1.6156523,1.0095255,0.94367725,-1.6702446,DOG2
DOG2::30_0517_tumor,-0.8515037,-1.7114842,1.402293,0.30960286,1.5956218,-0.033318702,DOG2
DOG2::30_0814_RNAla_Ter__tumor,-0.8457396,-2.3186185,1.1416861,1.349486,-2.2195857,-0.8665409,DOG2
DOG2::31_0519_tumor,1.2928796,-0.2611818,-3.2772083,0.8675999,-2.167393,0.7122446,DOG2
DOG2::32_0523_tumor,4.7505627,2.5203516,-1.9246446,-1.4266111,-0.06259458,1.229049,DOG2
DOG2::32_0904__Tumor,-1.8662807,0.628239,-0.27186263,1.7834066,1.6906519,-1.3989718,DOG2
DOG2::33_0524_tumor,2.035901,0.73689747,-3.366797,0.9748589,-0.58400244,-3.2645414,DOG2
DOG2::33_1002__Tumor,1.6211151,-4.5198784,2.143227,0.83499044,-2.4279854,1.4224757,DOG2
DOG2::34_0601_tumor,1.8304834,-2.0288625,-4.3813853,3.082046,-1.7900968,1.1210703,DOG2
DOG2::34_1004__Tumor,0.83114433,0.4559892,-0.15125996,1.3554891,-1.3241287,-1.1901414,DOG2
DOG2::35_0603_tumor,6.184414,-2.9970891,1.589174,-3.715897,-2.3142238,2.4374073,DOG2
DOG2::35_1007__Tumor,-1.523609,-2.5594096,2.637495,0.19931887,0.28556505,-0.09641478,DOG2
DOG2::36_0607_tumor,-1.0674622,1.6606715,2.076642,0.867612,1.4965099,0.43408382,DOG2
DOG2::36_1014__Tumor,2.9897525,-3.0921752,1.1713097,-0.058213912,0.041616216,-4.2687364,DOG2
DOG2::37_0625_tumor,6.372038,0.41877422,-2.0766437,-3.008919,-0.6351677,0.8533353,DOG2
DOG2::37_1015__Tumor,2.397108,-0.25090182,2.2648222,-0.2163087,-0.34563646,0.96688336,DOG2
DOG2::38_0630_tumor,-1.3127276,3.2490852,0.17913336,0.13698088,-0.6636326,2.6379654,DOG2
DOG2::38_1016__Tumor,-3.135739,0.8691791,1.5015211,0.4907103,2.0850906,-0.54867995,DOG2
DOG2::39_0701_tumor,-1.3026674,-2.7129247,-1.0752697,2.7992895,-3.6393847,-0.8370829,DOG2
DOG2::39_1103__Tumor,-4.216122,0.75511837,-0.49011278,0.19831212,1.6107895,2.0820878,DOG2
DOG2::3_0207_Tumor,4.201309,-2.9924858,-1.384601,1.9328407,-3.0105784,1.5768337,DOG2
DOG2::3_0212__Tumor,-0.051047303,0.6678598,0.5977215,2.3492985,0.9259675,-1.3486773,DOG2
DOG2::40_1101_tumor,1.6270782,1.0359927,-1.523901,-0.48568997,-0.7626887,-3.754412,DOG2
DOG2::40_1107__Tumor,2.9570792,-2.3315215,-2.1741595,3.6187725,-2.9700656,1.0570776,DOG2
DOG2::41_1407__Tumor,-1.3493776,5.477306,-2.2877445,-0.2902561,0.1352237,1.8425826,DOG2
DOG2::41_2007_tumor,-4.753162,2.9877083,-0.073547594,0.04033207,1.1261396,2.3682575,DOG2
DOG2::42_0715_tumor,1.2617167,-3.1423612,0.6918635,-2.6303167,-0.69221747,1.9335511,DOG2
DOG2::42_1409__Tumor,-3.6614523,1.6956797,1.4285831,-1.087642,0.071921855,0.056393843,DOG2
DOG2::43_1401_tumor,2.6140656,-0.8898284,0.557126,0.06716752,-1.114477,-1.1794273,DOG2
DOG2::43_1410__Tumor,-5.7009263,1.4920025,-2.6838834,-0.33774433,2.1533413,1.897144,DOG2
DOG2::44_0713_tumor,2.8457875,0.25177488,-1.6966895,2.039301,-2.6847932,0.39458737,DOG2
DOG2::44_1412__Tumor,-3.7668674,2.3535502,4.3133535,-0.4578714,1.0629436,1.9007641,DOG2
DOG2::45_1024_tumor,-2.946746,1.5910894,-1.4470553,1.7155714,-1.3450252,-0.7528841,DOG2
DOG2::46_1405_tumor,4.914865,-2.4804134,0.00017739499,-1.6737697,0.33685827,-1.9864497,DOG2
DOG2::46_1703__Tumor,-0.64162296,-1.4267972,3.1461885,0.5189255,1.2854556,2.0056038,DOG2
DOG2::47_1709__Tumor,8.147626,-3.57346,-6.102538,-5.705252,-0.83587337,2.5988355,DOG2
DOG2::47_2321_tumor,2.2930992,2.5672011,1.9193091,-1.1666783,-0.17388621,1.2014495,DOG2
DOG2::48_0705_tumor,0.7185677,3.35418,-0.74283254,1.287083,1.8948706,-1.1791043,DOG2
DOG2::48_1712__Tumor,2.2068872,-0.4601081,-0.8731387,2.3755255,-2.042434,-1.5592239,DOG2
DOG2::49_1803__Tumor,2.2937849,2.890015,-1.2716835,0.7180556,-0.67822117,2.053089,DOG2
DOG2::49_1903_tumor,-3.2361827,3.6066103,-3.6678348,0.59298426,0.77072686,-0.38086644,DOG2
DOG2::4_0214__Tumor,-1.2703583,-1.4961883,1.7016308,-2.4430304,-0.07468863,-0.14650011,DOG2
DOG2::4_0215_Tumor,-4.463096,0.36809167,2.3725939,-2.469358,2.396898,1.8788251,DOG2
DOG2::50_0703_tumor,-0.5445317,0.75576466,0.5519795,2.1925356,1.529623,-1.7870182,DOG2
DOG2::50_1805__Tumor,-0.8881146,0.80042964,2.656317,1.3605856,1.5577728,-0.61698586,DOG2
DOG2::51_0803_tumor,3.253088,1.6514486,-1.9222604,0.927166,1.1063086,-0.120485544,DOG2
DOG2::51_1902__Tumor,0.93012476,-1.2963331,-4.623197,0.5729409,1.1196667,-2.1180997,DOG2
DOG2::52_2006__Tumor,1.8294652,2.6119728,-1.0428909,0.8704497,1.3038044,0.76814556,DOG2
DOG2::52_2317_tumor,0.19028257,0.6471478,-2.8743956,-1.0395114,-2.9880848,-4.5089617,DOG2
DOG2::53_0717_tumor,-1.1934568,-0.9808659,-0.3382696,1.818373,-1.7588341,1.9635087,DOG2
DOG2::53_2011__Tumor,-2.8175812,-0.881257,1.681918,2.0907466,0.28447154,-0.42745388,DOG2
DOG2::54_1013_tumor,-0.8369769,-3.775918,-2.6517012,1.8698276,-2.3039954,-4.3308654,DOG2
DOG2::54_2303__Tumor,-0.33609006,4.974939,-3.5733144,1.4093173,0.49243835,1.1465652,DOG2
DOG2::55_2307_tumor,3.101603,2.3028002,-0.40827465,0.7109139,2.300045,0.9069301,DOG2
DOG2::55_2308__Tumor,0.015801111,3.0720289,-4.8319798,0.02199069,0.9959358,1.0389625,DOG2
DOG2::56_1001_tumor,0.95645565,-3.5497906,4.2203426,-1.700818,0.5995597,3.4209902,DOG2
DOG2::57_0709_tumor,-2.2263215,-4.6078486,1.6162795,0.09236902,-0.46466026,-0.009858878,DOG2
DOG2::58_1104_tumor,-4.0452275,0.7970467,4.30558,0.4068656,3.245437,0.7820558,DOG2
DOG2::59_1003_tumor,-2.8088775,2.6454418,1.3069184,-2.1318588,0.027551364,0.9576575,DOG2
DOG2::5_0220__Tumor,1.6074653,-0.84987324,-0.10645477,-2.9525385,1.9556531,-3.4439228,DOG2
DOG2::5_0817_Tumor,-2.8143785,1.935043,1.3995985,0.660379,0.92523,3.351131,DOG2
DOG2::60_1415_tumor,-0.3732891,-0.34054556,3.3695266,0.19605161,0.71665287,-0.45108354,DOG2
DOG2::61_1005_tumor,-3.5443904,-2.1169019,0.5515747,0.55485475,-4.473232,2.5945456,DOG2
DOG2::62_2003_tumor,-0.36859867,-3.0339797,2.3517354,0.90910494,1.2957846,-0.44800955,DOG2
DOG2::63_1411_tumor,-6.831739,-1.6595066,2.742518,0.014959629,1.6405692,1.4647837,DOG2
DOG2::64_1009_tumor,-5.870843,-2.1595826,2.4191124,-2.1967082,0.36570346,3.1100452,DOG2
DOG2::65_2009_tumor,-3.0877132,-1.4433306,2.5920074,-1.6464664,0.7356993,3.1884868,DOG2
DOG2::66_0206_tumor,4.8030596,-0.2747924,-3.6527486,1.9770992,-1.1919796,-2.6800754,DOG2
DOG2::67_1909_tumor,5.354075,0.7848975,-0.6738083,-0.43515587,-0.30275834,-0.62699336,DOG2
DOG2::68_0210_tumor,3.0923977,4.632641,-2.2287292,-1.1842881,-0.31383094,-0.45764622,DOG2
DOG2::69_0222_tumor,-0.6640279,-0.63894254,-1.3749948,0.4211558,0.048723053,-4.5017676,DOG2
DOG2::6_0305__Tumor,-4.6638255,1.2768984,1.004958,0.97577256,2.4274075,2.5480864,DOG2
DOG2::6_1012_Tumor,-5.1080174,-0.39832827,-4.944706,2.953102,-3.1765947,0.87890494,DOG2
DOG2::70_0225_tumor,3.256133,-0.21393423,1.0288943,-0.55339533,1.1123135,-1.8207321,DOG2
DOG2::71_0643_tumor,1.131694,0.0034571267,1.3224702,0.8296274,1.112191,-3.6978033,DOG2
DOG2::72_0732_tumor,4.0888734,-1.3874593,-3.3184898,2.7535825,-2.632827,2.649356,DOG2
DOG2::73_0813_tumor,-1.0117826,-1.1104448,1.0089601,2.158927,-0.6111987,-0.18656453,DOG2
DOG2::74_0815_tumor,1.3549085,-1.0593277,0.42730105,0.006255553,-0.015981963,-2.033074,DOG2
DOG2::75_0819_tumor,0.6026102,-0.035760473,-2.3845437,-0.43157926,-2.5914884,-0.72586036,DOG2
DOG2::76_1106_tumor,3.8887565,3.6248085,0.44663534,-1.447197,0.4538611,1.5050914,DOG2
DOG2::77_1417_tumor,3.4758608,-4.301532,-0.03825209,-0.17662571,-3.0198495,-2.0587537,DOG2
DOG2::78_1419_tumor,0.7494682,-2.0544207,-2.2269316,3.6103365,-3.1243422,1.8779575,DOG2
DOG2::79_1713_tumor,2.6181235,-0.92686814,-3.2613075,1.118749,-2.664109,-2.0642385,DOG2
DOG2::7_0309__Tumor,0.26535475,-0.2967695,2.2806838,-0.637361,2.5222037,-2.065973,DOG2
DOG2::7_1022_Tumor,-7.663538,-1.3569248,2.6046739,-1.3231101,0.49814686,1.1562079,DOG2
DOG2::80_1806_tumor,3.478782,1.3269203,0.53980935,-1.2223998,1.6574259,-3.339773,DOG2
