factor,view,group,r2
Factor1,RNA,DOG2,14.835506677627563
Factor2,RNA,DOG2,8.736735582351685
Factor3,RNA,DOG2,7.556694746017456
Factor4,RNA,DOG2,6.074291467666626
Factor5,RNA,DOG2,5.719196796417236
Factor6,RNA,DOG2,3.81089448928833
Factor1,RNA,GSE21257,10.843431949615479
Factor2,RNA,GSE21257,7.671153545379639
Factor3,RNA,GSE21257,3.343367576599121
Factor4,RNA,GSE21257,3.1541645526885986
Factor5,RNA,GSE21257,1.821434497833252
Factor6,RNA,GSE21257,2.6898860931396484
Factor1,RNA,GSE39055,1.7082929611206055
Factor2,RNA,GSE39055,2.7898848056793213
Factor3,RNA,GSE39055,0.7977426052093506
Factor4,RNA,GSE39055,2.7510344982147217
Factor5,RNA,GSE39055,0.19521713256835938
Factor6,RNA,GSE39055,0.3550589084625244
Factor1,RNA,TARGET_OS,11.057806015014648
Factor2,RNA,TARGET_OS,8.722537755966187
Factor3,RNA,TARGET_OS,4.455065727233887
Factor4,RNA,TARGET_OS,4.097205400466919
Factor5,RNA,TARGET_OS,1.927870512008667
Factor6,RNA,TARGET_OS,2.6087403297424316
