,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,group
DOG2::100_0514_tumor,-1.3365028,0.8114223,1.9480603,-0.29073855,0.06320501,2.1992788,-0.12718421,-1.538292,0.18919261,0.14852487,0.23494197,DOG2
DOG2::101_0518_tumor,2.181947,1.0476683,0.9706471,-3.0470388,0.446169,1.348376,0.24648778,-0.38653812,-0.81976867,-1.1629989,-0.45526758,DOG2
DOG2::102_0619_tumor,4.0095816,0.93176097,-1.6613979,-2.5606627,0.43528575,-0.55048114,0.40120623,-1.5681609,-0.73627985,-1.6051348,-0.6469317,DOG2
DOG2::103_0639_tumor,1.6658632,-0.2576767,-1.5256134,1.2250949,1.3853762,0.34921914,-1.5504744,1.2398263,1.0960208,-0.3725562,0.6863489,DOG2
DOG2::104_0702_tumor,-0.22951601,0.30654293,0.92090946,0.67465067,-1.6639605,2.427568,-0.09955703,0.41349745,-0.9470187,-0.7025884,-1.1498605,DOG2
DOG2::105_0710_tumor,0.4214068,0.529494,-1.3558702,0.5814093,-0.81135297,0.34662646,-0.05787257,-1.492902,2.2972753,0.09299997,0.79531693,DOG2
DOG2::106_0716_tumor,-2.3716059,2.565502,-0.25973678,1.0695153,0.042219162,-1.1123191,-2.3913012,0.09002926,-0.16963066,0.7365537,-0.4563239,DOG2
DOG2::107_0719_tumor,-4.6261187,-1.0551076,1.9637454,0.86314327,0.1535797,0.49356285,0.5470118,-1.2718872,1.0004209,-0.863412,-1.1785127,DOG2
DOG2::108_0720_tumor,-1.8270645,-3.2327104,0.44464287,0.096060246,-0.19209848,0.519584,0.055368133,0.9687566,0.84986913,-0.8074727,-2.1215105,DOG2
DOG2::109_0721_tumor,1.4545699,-1.523928,0.2250904,1.2121019,-0.86438286,1.7142639,0.65031517,2.0852263,1.0895233,0.51006883,-0.6393078,DOG2
DOG2::10_0512__Tumor,-2.8849938,-0.037976783,1.1284016,-0.18292534,-1.0857259,1.5546907,3.910494,0.73876524,1.1657733,1.0020034,0.058167767,DOG2
DOG2::110_0522_tumor,3.1727448,-0.6026596,1.5196829,-1.1210971,0.93442446,1.1570662,-0.24161102,-1.6680163,1.297064,0.97764796,-0.69218683,DOG2
DOG2::111_1708_tumor,-0.9862854,2.8486793,0.58126676,-0.48929942,0.4870182,-2.7714121,-0.73507977,-0.58995783,0.46869183,1.2792467,0.8521034,DOG2
DOG2::112_0502_tumor,0.4093672,-0.6159063,-3.22898,0.5510055,0.0059769168,1.9729025,0.015264959,-1.8113364,2.0567558,-0.5589675,0.6290446,DOG2
DOG2::113_1010_tumor,1.1794533,-2.2307596,1.1756234,-2.524177,0.6455075,-1.2378548,-3.0208614,2.6189413,1.6354313,-0.46684915,-1.9178661,DOG2
DOG2::114_1704_tumor,1.2703285,2.6556816,-0.91919744,-1.8405653,0.6258931,-1.1567117,1.0747752,-0.2605782,-1.7808478,-1.0716264,-0.4409605,DOG2
DOG2::115_2318_tumor,-1.0485173,-2.5491974,0.7495253,1.409748,-0.9966935,0.40353376,0.8694781,2.4899144,-0.9970971,-0.10053405,0.8300153,DOG2
DOG2::116_0506_tumor,-0.5613159,1.445616,-0.73964435,-1.3927563,0.20629798,0.18815799,-0.5548981,1.0084544,1.5049734,0.6600849,-0.36940253,DOG2
DOG2::117_1011_tumor,-5.46877,-1.865758,4.361266,0.66946554,-0.32053217,0.58020145,0.6165614,-3.3392591,0.1840928,2.3256643,-0.04592764,DOG2
DOG2::118_2304_tumor,-2.1606658,1.1277972,-2.5619636,1.1373712,-0.1463078,1.2190121,-0.33220518,-2.607891,2.3213842,1.1943387,-0.29881617,DOG2
DOG2::119_0516_tumor,-3.1140559,0.8173981,0.2919256,1.1379458,0.89545196,-1.1949793,0.5311439,-1.272812,1.4645195,2.369142,1.3549589,DOG2
DOG2::11_0602__Tumor,-1.0026923,-0.3631358,1.5530664,-0.030861141,0.79753983,-1.3040113,-1.079158,-0.1444979,2.6069064,-0.92769307,-0.6734519,DOG2
DOG2::120_2306_tumor,1.9120213,0.64847547,-0.18475378,-1.0664803,0.9421358,-1.227617,-0.6562117,-1.2965956,3.1469738,-0.38812277,0.8409465,DOG2
DOG2::121_2322_tumor,-1.7298486,-1.6729562,-0.7323926,2.8115685,0.016791107,0.25353262,0.5519983,1.03034,-0.1377032,-0.81743634,0.6263397,DOG2
DOG2::122_0504_tumor,-3.2678869,-0.7714802,2.7082927,-0.6402355,1.1067843,1.6926763,-0.60545,-1.4550289,2.3305013,-1.0339857,-1.563631,DOG2
DOG2::123_2316_tumor,3.449872,-1.1105393,2.3985493,-0.1793156,0.4710153,0.28116962,0.14811304,0.5619651,0.51871336,-0.6241012,0.86579114,DOG2
DOG2::125_2004_tumor,-0.5842781,0.7387875,0.06407542,0.40734345,0.1459486,-1.8756903,3.156531,-0.24114692,0.4917082,0.7017776,1.195386,DOG2
DOG2::126_0228_tumor,-2.7032075,2.093561,0.8615051,-0.9499833,-0.5834198,-1.9868816,-3.263327,0.75438434,-1.5586495,-0.2405157,0.08647988,DOG2
DOG2::127_2010_tumor,-1.9172747,-1.1756817,1.0993775,0.03879102,0.06349728,-2.3927197,0.16145444,0.0029972205,1.549724,0.036477365,0.1949048,DOG2
DOG2::128_1023_tumor,2.9493186,-0.056655597,-1.7825714,-5.8269925,0.63640594,-0.75885904,0.72734076,-0.806129,-1.2165548,-1.0253042,-1.0084804,DOG2
DOG2::129_1414_tumor,0.3055346,-0.7210789,1.9449593,0.10179232,0.7313785,0.9018691,0.9885708,1.0228089,1.3135629,0.20697586,0.25115135,DOG2
DOG2::12_0608__Tumor,-4.9450955,0.73384696,4.074889,0.8142535,-0.74625194,0.18027829,-0.37552226,-1.7987719,-0.03294244,-0.9273111,0.34390134,DOG2
DOG2::131_2012_tumor,-0.0052787573,-0.04987071,-5.049861,2.684385,-1.4675899,-0.1522481,-2.2093143,-0.5732141,-1.6325197,0.4048328,0.6268957,DOG2
DOG2::132_1025_tumor,-6.674024,2.6073768,0.83629704,-0.9082894,-0.016988093,-2.6270542,-0.9312961,-0.2445522,-0.2822743,0.92871714,-2.3186681,DOG2
DOG2::133_0907_tumor,0.6731566,1.1461728,-2.8497922,-1.2737858,0.0050180443,-1.4634857,3.3456888,-0.46470276,-1.8163728,1.2876326,0.71717376,DOG2
DOG2::134_2208_tumor,-0.072355375,-0.33100736,0.29466593,-0.48058748,1.392586,-0.8338789,0.4491683,-1.04503,3.690971,0.43590996,0.962703,DOG2
DOG2::135_0102_tumor,-2.7570224,-2.0727208,1.6995921,1.1607484,1.1048863,2.7669778,-0.8129608,0.20397519,2.5021255,0.26265177,0.4271522,DOG2
DOG2::136_0105_tumor,1.4077678,-2.3498056,0.6477456,1.9122409,-0.5361882,0.3837883,-0.7488399,0.38007542,0.79393923,-0.5667222,0.08129882,DOG2
DOG2::137_0106_tumor,3.232312,-0.84069544,-5.0456505,-0.044204094,0.036973882,0.81289834,-0.2514156,-0.16948433,-0.24186231,0.2922519,-0.4360127,DOG2
DOG2::138_0314_tumor,-2.023024,2.4671807,-4.357553,-0.47296235,0.44026324,-1.4584578,-2.861862,1.0890601,0.8330856,0.040034816,1.3301717,DOG2
DOG2::139_0733_tumor,-2.323918,-1.4524719,-3.9280055,-3.250267,0.45960563,-0.5578323,-0.9578982,-0.5406951,0.7471825,-1.1593643,-2.2922714,DOG2
DOG2::13_0613__Tumor,-4.656432,-1.9181513,3.932083,0.46635425,1.4122176,-1.4307315,-1.1544855,0.14746146,0.49353093,-1.4778265,-2.8943975,DOG2
DOG2::140_0905_tumor,0.63105273,1.9149773,-3.528772,-3.4763258,-0.40521652,-1.7184769,1.9180654,-0.31296828,-1.2049495,-0.5969303,0.1425371,DOG2
DOG2::141_1707_tumor,1.3232027,0.12356255,-4.240052,1.0703965,-0.1576396,2.9878795,-0.16756934,-2.4120822,-1.2254366,-0.76641303,1.7058531,DOG2
DOG2::142_1710_tumor,0.072281346,1.4484202,0.9827288,0.015502328,0.15536955,-0.41941026,-0.40466768,1.7510102,0.6352141,-0.621295,0.2322352,DOG2
DOG2::143_1916_tumor,1.4439425,1.7625443,-0.35204628,-4.059268,1.7722183,-0.42483842,1.0379325,1.1091133,0.28205305,-0.9313316,1.2506963,DOG2
