factor,view,group,r2
Factor1,RNA,DOG2,13.130992650985718
Factor2,RNA,DOG2,7.284450531005859
Factor3,RNA,DOG2,8.105283975601196
Factor4,RNA,DOG2,7.794320583343506
Factor5,RNA,DOG2,0.9561479091644287
Factor6,RNA,DOG2,5.0322771072387695
Factor7,RNA,DOG2,3.964078426361084
Factor8,RNA,DOG2,4.5493245124816895
Factor9,RNA,DOG2,2.4408042430877686
Factor10,RNA,DOG2,1.6579091548919678
Factor11,RNA,DOG2,1.747220754623413
Factor1,RNA,GSE21257,10.090023279190063
Factor2,RNA,GSE21257,5.636638402938843
Factor3,RNA,GSE21257,3.5419881343841553
Factor4,RNA,GSE21257,3.5973012447357178
Factor5,RNA,GSE21257,4.670268297195435
Factor6,RNA,GSE21257,2.8248190879821777
Factor7,RNA,GSE21257,1.9320130348205566
Factor8,RNA,GSE21257,1.6965508460998535
Factor9,RNA,GSE21257,1.704627275466919
Factor10,RNA,GSE21257,1.5501797199249268
Factor11,RNA,GSE21257,1.2125372886657715
Factor1,RNA,GSE39055,1.6322314739227295
Factor2,RNA,GSE39055,3.617990016937256
Factor3,RNA,GSE39055,0.7232785224914551
Factor4,RNA,GSE39055,1.383882761001587
Factor5,RNA,GSE39055,1.4586210250854492
Factor6,RNA,GSE39055,0.4984259605407715
Factor7,RNA,GSE39055,0.9273886680603027
Factor8,RNA,GSE39055,0.3668665885925293
Factor9,RNA,GSE39055,0.3203153610229492
Factor10,RNA,GSE39055,0.3109753131866455
Factor11,RNA,GSE39055,0.16416311264038086
Factor1,RNA,TARGET_OS,10.075753927230835
Factor2,RNA,TARGET_OS,6.910383701324463
Factor3,RNA,TARGET_OS,4.16904091835022
Factor4,RNA,TARGET_OS,3.346526622772217
Factor5,RNA,TARGET_OS,4.815936088562012
Factor6,RNA,TARGET_OS,3.0455410480499268
Factor7,RNA,TARGET_OS,3.0256271362304688
Factor8,RNA,TARGET_OS,2.7975082397460938
Factor9,RNA,TARGET_OS,1.897585391998291
Factor10,RNA,TARGET_OS,1.9577741622924805
Factor11,RNA,TARGET_OS,1.2951552867889404
