,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
ESPL1,-0.008911291,-0.06621392,0.37085262,-0.008153548,-0.099906236,-0.014760489
EVI2A,0.18863967,0.12691548,-0.06546129,-0.133681,0.002557245,-0.073947914
EXO1,-0.00786383,-0.08575097,0.30957147,-0.0010137174,-0.120766886,-0.007526956
F5,0.1322997,-0.0070995577,-0.0798132,0.09508576,-0.07741882,-0.19378062
FAM107A,0.016636778,0.02117453,-0.088932514,0.1902408,-0.18922733,0.054972906
FANCA,-0.041086957,-0.074120544,0.27082866,-0.032814983,0.097672045,0.0013688549
FANCD2,-0.000104460734,0.022780819,0.3658233,-0.03778002,0.061690114,-0.007807698
FANCM,0.015794564,0.053661663,0.37353614,-0.095676005,0.0034690625,0.009730358
FCER1G,0.30169225,-0.0054312777,-0.0014371075,-0.07590799,0.037855484,0.0010681496
FGR,0.2847723,0.026854191,-0.0182161,-0.0055311793,-0.0009999777,0.11731131
FN1,0.054820325,0.17867045,-0.0028430568,0.13735653,-0.25707057,-0.10863171
GAB2,0.17207074,0.002847231,-0.06778084,0.12240701,-0.20406526,-0.038477562
GABRA2,0.00076292927,0.030067949,0.07152163,0.046645004,0.22937946,0.034372266
GAS6,0.07225181,0.16618699,-0.124301866,0.15675715,-0.17786604,0.04432016
GBP1,0.21871188,8.4999694e-05,0.0020652984,-0.02957443,-0.21076138,0.12595762
GIMAP6,0.31882113,-0.0023335998,-0.028446563,0.0077601485,0.07125726,0.08146312
GLUL,0.16587368,-0.009659891,-0.009870696,0.03625928,-0.1867422,-0.012712768
GMFG,0.22682178,-0.07597412,-0.12061821,-0.015696852,0.039127223,0.0048639746
GPRC5C,-0.06047943,-0.06089066,0.021780303,0.2811485,0.23376511,4.859147e-05
GPSM3,0.28395534,-0.07916921,-0.004018334,0.009080985,-0.023327963,-0.0021585224
GTSE1,4.233301e-05,-0.013957834,0.37977478,-0.049291205,-0.0017499445,-0.0007518973
HCLS1,0.30036345,0.005706918,-0.016269607,-0.019337494,-0.04353167,9.927998e-05
HELLS,-0.0025250693,-0.01666075,0.3482836,-0.0131869055,0.013098531,-0.010184061
HHIP,0.0028860075,0.0854049,0.08848526,0.057811894,0.21534131,-0.0108464
HNMT,0.18231504,0.021579474,-0.016887458,0.027159238,-0.17044604,-0.0062816483
HSP90AA1,-0.0038331253,0.012584436,0.272078,0.0005403305,0.010466826,0.008010768
HSPH1,0.0022251443,-0.0011636303,0.21954665,-0.0010411971,0.004414442,-0.06838384
IFI30,0.20945205,-0.13722666,-0.029035991,0.073236674,0.003619981,-0.22690614
IFI35,0.16655856,-0.07000814,0.00016121312,0.027580133,-0.29563096,0.084064804
IFITM5,-0.0062265554,-0.20166789,0.0036917434,0.28999949,0.37304437,0.02361682
IGFBP3,-0.01882847,0.17973466,0.05453327,0.0016469056,-0.04560765,-0.00038742946
IL18,0.29762328,-0.008275815,0.00013322524,-0.0035921976,0.0073633036,0.09278231
IL1RN,0.2339949,-0.030652955,0.023702951,-0.07103993,-0.112470455,0.038770776
INPP5D,0.3011225,-0.049878996,0.0016704561,0.07747954,0.056889,-0.006403442
IRF5,0.28989536,-0.0631533,-0.0028266013,0.0034153603,-0.055060495,0.013825524
ITGBL1,0.054480087,0.21610492,-0.109933205,0.109918825,-0.12675272,0.0025124557
KCNQ1,0.2804818,0.007889133,-0.00031527015,0.06583042,-0.0023605265,0.08212624
KIAA0040,0.13423984,-0.1199971,-0.049554523,0.17483068,-0.049396455,-0.33963603
KIF15,-0.0034325595,0.048823755,0.39771488,-0.03575975,0.01786649,0.0024978176
KIF22,0.0001731246,-0.0275517,0.37179357,-0.048067816,0.01480449,0.0059267893
KIF23,-0.005297697,0.0020518533,0.37877488,-0.09894764,-0.0075912285,-3.3369463e-06
KIF4A,-0.002381663,-0.020152876,0.3927935,-0.07359986,-0.06573606,-0.0054022134
LAMA3,0.015839403,0.034972154,-0.008740886,0.18771876,-0.25538865,0.011665108
LAPTM5,0.28594682,-0.07934567,0.0003883349,0.0017912831,0.0018313556,-0.19083014
LCP1,0.2907404,-0.08210043,0.00093712314,-0.030947188,0.018068118,-0.17258492
LGR4,-0.090917245,-0.0049260235,0.11162083,0.19445609,0.16290635,0.07454006
LHX2,-0.08343226,0.04176499,0.19598465,0.095171124,0.05298203,0.010473042
LIMS2,0.101891264,0.16816366,-0.14109391,0.08616819,0.0016006656,0.110549115
LY96,0.22471265,0.07484887,-0.07038089,-0.043697637,-0.07343746,-0.045953836
MAP1LC3C,0.042332485,0.099879675,-0.12112652,0.054283544,-0.04317975,-0.08179302
MCAM,0.028726218,0.0092595555,0.034431167,0.13637555,0.1643358,0.03046641
MCM2,-0.050022576,0.0006586894,0.36177197,0.014764295,-0.067767024,0.0021688202
MCM5,-0.00036832265,-0.066153124,0.33291528,-0.018768452,-0.0017694887,0.0013927438
MCTP1,0.22915646,0.07911794,-0.048820384,-0.010539353,0.028014306,0.04987874
MOSPD2,0.12518743,-0.026657077,0.010164523,0.10032561,-0.37038204,0.0020504645
MS4A7,0.28889677,0.062807575,-0.0042391955,-0.026031902,0.067802735,0.15579867
MSI1,-0.06793798,-0.070461005,0.09488489,0.1707211,0.065903716,0.111433744
MXRA5,0.028713526,0.28080404,0.0018328776,0.06659062,-0.20360702,-0.02472645
MYBL2,0.0004441566,-0.0574967,0.31884181,-0.11626994,0.11179416,-0.0033326128
MYO1G,0.29545027,-0.012058693,-0.0011652595,0.00035076035,0.0023688565,0.020810079
NCF4,0.29186192,-0.10006383,-0.0026201312,0.031890243,0.025958119,-0.115882464
NDUFB9,-0.0124319345,-0.15997586,0.10758495,-0.02467948,0.10152641,0.011834023
NETO1,-0.007610663,0.013425726,0.118104115,0.014819918,0.3399274,0.0019634387
NFAM1,0.3089018,-0.057323135,0.0044163633,0.0064931368,0.027242973,-0.052493893
NR2F1,-0.00084345334,0.17437968,0.11217099,0.010584067,0.13485906,-0.023964632
OAS1,0.17433892,-0.04848941,0.04848787,0.020159092,-0.27415392,0.11469169
OAS2,0.1744707,-0.00970553,0.013563343,0.023314018,-0.2986326,0.09579487
OSBPL3,0.15181096,0.11539104,0.09697834,0.0758141,-0.18098897,-0.015409263
OSR2,-0.07625491,0.11785161,0.069899,0.008645289,0.083755046,0.08637665
PAG1,0.19051205,0.09527502,0.071405984,-0.0070409933,0.0029891315,0.05704258
PAPPA,0.043747596,0.070536934,-0.014459249,0.1346781,-0.22465259,-0.047954284
PARP12,0.20511043,-0.047159646,1.9259252e-05,0.0112509625,-0.30710962,0.057878245
PARP14,0.19596486,-0.006709404,0.07633969,0.07945616,-0.26993233,0.14331816
PARP15,0.20350704,-0.045229394,-0.011398684,0.059336964,-0.2725612,0.06827095
PARP9,0.18179816,-0.004243505,0.04835259,0.092912555,-0.35956097,0.116120405
PARVG,0.32568458,-0.006776541,0.00051397964,0.014328744,0.025722526,0.023466175
