module_label,cohort,endpoint,effect_type,effect,ci_low,ci_high,primary_p,endpoint_q,global_q,discrimination_type,discrimination,outcome_support_class,direction_concordant,statistically_supported
M34,TARGET_OS,overall_survival,hazard_ratio_per_sd,1.4673526696093713,1.006753384555201,2.138680524983813,0.0460449626795332,0.1841798507181331,0.084162315657057,fixed_direction_c_index,0.6407766990291263,nominal_directional_support,True,True
M34,GSE21257,metastasis_within_5y,odds_ratio_per_sd,3.55188189673107,1.9632218631947027,11.42803810507778,0.0008709092010055,0.003483636804022,0.0069672736080441,auc,0.7786377708978328,global_fdr_directional_support,True,True
M34,GSE39055,recurrence_free_survival,hazard_ratio_per_sd,0.8064440624284793,0.5090348336254141,1.277617920947089,0.359483695206541,0.5204923846692838,,fixed_direction_c_index,0.4702970297029702,direction_discordant,False,False
M11,TARGET_OS,overall_survival,hazard_ratio_per_sd,1.1843931528098284,0.7771118142123961,1.805129087947958,0.4312225236881939,0.4312225236881939,0.4312225236881939,fixed_direction_c_index,0.5315533980582524,directional_without_nominal_support,True,False
M11,GSE21257,metastasis_within_5y,odds_ratio_per_sd,2.164056041799948,1.165039773224917,5.081215591232054,0.0266650807633984,0.0409534452948109,0.0819068905896218,auc,0.6857585139318886,endpoint_fdr_directional_support,True,True
M11,GSE39055,recurrence_free_survival,hazard_ratio_per_sd,1.2131747420362171,0.787093286474147,1.8699091708781648,0.3813516794449209,0.5204923846692838,,fixed_direction_c_index,0.5717821782178217,directional_without_nominal_support,True,False
M24,TARGET_OS,overall_survival,hazard_ratio_per_sd,0.8360308932203917,0.5767025238321625,1.2119725951161269,0.3445295979336989,0.4312225236881939,0.4312225236881939,fixed_direction_c_index,0.4089805825242718,direction_discordant,False,False
M24,GSE21257,metastasis_within_5y,odds_ratio_per_sd,2.6382609587541563,1.4516081180547022,7.467488108976286,0.0307150839711081,0.0409534452948109,0.0819068905896218,auc,0.6811145510835914,endpoint_fdr_directional_support,True,True
M24,GSE39055,recurrence_free_survival,hazard_ratio_per_sd,0.88617265418597,0.5585244107375134,1.4060298134329368,0.607888962456079,0.607888962456079,,fixed_direction_c_index,0.4356435643564356,direction_discordant,False,False
M40,TARGET_OS,overall_survival,hazard_ratio_per_sd,1.184486091591679,0.7906861811853468,1.7744173789288076,0.4116158015361447,0.4312225236881939,0.4312225236881939,fixed_direction_c_index,0.5625,directional_without_nominal_support,True,False
M40,GSE21257,metastasis_within_5y,odds_ratio_per_sd,2.045291842891739,1.1203146074674424,4.523557958009966,0.0526014472856606,0.0526014472856606,0.084162315657057,auc,0.6625386996904026,directional_without_nominal_support,True,False
M40,GSE39055,recurrence_free_survival,hazard_ratio_per_sd,0.7834323625032519,0.448881882533127,1.3673224304661735,0.3903692885019628,0.5204923846692838,,fixed_direction_c_index,0.4554455445544554,direction_discordant,False,False
