canine_gene,human_gene_symbol,available_DOG2,available_TARGET_OS,available_GSE21257,available_GSE39055,gse39055_best_detected_fraction_p_lt_0_01,is_primary_frozen_gene,DOG2_robust_variability,DOG2_variability_percentile,TARGET_OS_robust_variability,TARGET_OS_variability_percentile,GSE21257_robust_variability,GSE21257_variability_percentile,GSE39055_robust_variability,GSE39055_variability_percentile,minimum_four_cohort_variability_percentile,median_four_cohort_variability_percentile,minimum_three_cohort_variability_percentile,median_three_cohort_variability_percentile
A2ML1_3,A2ML1,True,True,True,True,0.0,False,0.12984989221174165,0.009141846063108227,0.06774259161049287,0.046367395156526874,0.04055153700000069,0.10718232044198896,0.07619860500000009,0.269092100950508,0.009141846063108227,0.07677485779925791,0.009141846063108227,0.046367395156526874
A4GALT_3,A4GALT,True,True,True,True,0.8918918918918919,False,0.9208436587907338,0.8584488351518726,0.5853787147053253,0.5186060248080331,0.2781294249999995,0.5591160220994476,0.6283136860000003,0.7066535562110783,0.5186060248080331,0.6328847891552629,0.5186060248080331,0.5591160220994476
AADAT_3,AADAT,True,True,True,True,0.5135135135135135,False,0.6045763553938226,0.4712474196402241,0.6197301024075557,0.5688127584170112,0.5646942690000003,0.8699815837937385,0.9791572599999991,0.8561127499180596,0.4712474196402241,0.7124627541675355,0.4712474196402241,0.5688127584170112
AARS2_3,AARS2,True,True,False,True,0.7837837837837838,False,0.41706329542409426,0.0878796815098791,0.5156779531574129,0.40460720614294154,,,0.5692012700000006,0.6705998033431662,0.0878796815098791,0.40460720614294154,0.0878796815098791,0.24624344382641034
AASS_3,AASS,True,True,True,True,0.3243243243243243,False,0.5683815664112251,0.38602182247124744,0.650324918600452,0.6163614884819847,0.17426729200000057,0.4139963167587477,0.23575378299999894,0.4385447394296952,0.38602182247124744,0.42627052809422145,0.38602182247124744,0.4139963167587477
ABCA1_3,ABCA1,True,True,True,True,0.918918918918919,False,0.5585550043025691,0.3615452668829254,0.6186409984826657,0.5670407560543415,0.39547999999999917,0.7156537753222836,0.5193559499999996,0.6361848574237955,0.3615452668829254,0.6016128067390685,0.3615452668829254,0.5670407560543415
ABCA3_3,ABCA3,True,True,True,True,0.6486486486486487,False,0.6211914492703452,0.5137127690946623,0.653391816049714,0.6199054932073242,0.27200047000000005,0.551012891344383,0.9474624029999994,0.8469354310062275,0.5137127690946623,0.5854591922758536,0.5137127690946623,0.551012891344383
ABCA5_3,ABCA5,True,True,True,True,0.4864864864864865,False,0.4765691987893703,0.16012975523444412,0.5066489715966656,0.39072652096869465,0.176524766,0.4162062615101289,0.7936635169999988,0.7885939036381514,0.16012975523444412,0.40346639123941175,0.16012975523444412,0.39072652096869465
ABCA6_3,ABCA6,True,True,True,True,0.1891891891891892,False,0.9485850466093215,0.8743733411972869,0.19926074536596383,0.13024217365623153,0.20794200799999984,0.46556169429097605,0.4796855149999999,0.6122582759750901,0.13024217365623153,0.538909985133033,0.13024217365623153,0.46556169429097605
ABCA8_3,ABCA8,True,True,True,True,0.8648648648648649,False,1.026070081293816,0.9112356237098201,0.43539199156876673,0.27909037212049614,0.41217210100000035,0.7355432780847145,1.3792062000000005,0.9534578826614225,0.27909037212049614,0.8233894508972673,0.27909037212049614,0.7355432780847145
ABCB1_3,ABCB1,True,True,True,True,0.081081081081081,False,0.9149267541484483,0.8552049542907697,0.4922973217608588,0.3659184878913172,0.2589199259999999,0.5314917127071823,0.016971037000000244,0.01245493280891511,0.01245493280891511,0.44870510029924976,0.3659184878913172,0.5314917127071823
ABCB4_3,ABCB4,True,True,True,True,0.1351351351351351,False,0.9015158184541698,0.8475375995281628,0.8447318068114065,0.8056704075605434,0.3485882689999995,0.6633517495395949,0.027257753999999856,0.08751229105211406,0.08751229105211406,0.7345110785500691,0.6633517495395949,0.8056704075605434
ABCC1_3,ABCC1,True,True,True,True,0.4324324324324324,False,0.5906418303984791,0.44293718667059867,0.4415431427219316,0.28795038393384526,0.11875217299999985,0.33259668508287293,0.18546621299999977,0.3913470993117011,0.28795038393384526,0.361971892197287,0.28795038393384526,0.33259668508287293
ABCC3_3,ABCC3,True,True,True,True,0.6216216216216216,True,0.6377595091898365,0.549985255086995,0.47076055924094273,0.32722976963969286,0.35748543599999927,0.6725598526703499,0.5505143419999996,0.6548672566371682,0.32722976963969286,0.6024262558620816,0.32722976963969286,0.549985255086995
ABCC4_3,ABCC4,True,True,True,True,0.3243243243243243,False,0.5944556812929425,0.4517841344736066,0.7317210281469169,0.7176609568812758,0.2641993340000006,0.5384898710865562,0.1979563620000011,0.4057686004588659,0.4057686004588659,0.49513700278008144,0.4517841344736066,0.5384898710865562
ABCC5_3,ABCC5,True,True,True,True,0.6216216216216216,False,0.5197681541872359,0.25715128280743144,0.4701974908626234,0.3260484347312463,0.2583901520000005,0.5307550644567219,0.035964993000000334,0.13995411340544084,0.13995411340544084,0.29159985876933886,0.25715128280743144,0.3260484347312463
ABCC9_3,ABCC9,True,True,True,True,0.6756756756756757,False,0.8131692501019563,0.78885284576821,0.6790728528318166,0.6515062020082694,0.12115409799999988,0.3370165745856354,1.53022438,0.9701737135365454,0.3370165745856354,0.7201795238882397,0.3370165745856354,0.6515062020082694
ABCD2_3,ABCD2,True,True,True,True,0.1621621621621621,False,0.9594000198837602,0.8802713063992923,0.39755421778032507,0.23803898405197874,0.024258781999999535,0.01583793738489871,0.04921906499999995,0.20026220911176662,0.01583793738489871,0.2191505965818727,0.01583793738489871,0.23803898405197874
ABCG1_3,ABCG1,True,True,True,True,0.5675675675675675,False,0.5423197914652422,0.3181952226481864,0.46168448777094007,0.31334908446544596,0.2865078289999996,0.5720073664825046,0.030849271000000122,0.11045558833169453,0.11045558833169453,0.3157721535568162,0.31334908446544596,0.3181952226481864
ABCG4_3,ABCG4,True,True,True,True,0.5675675675675675,False,0.5217919099298989,0.2618696549690357,0.19897743282314695,0.12965150620200827,0.024085494999999568,0.015469613259668509,0.7860705960000001,0.7853162897410685,0.015469613259668509,0.19576058058552198,0.015469613259668509,0.12965150620200827
ABHD12B_3,ABHD12B,True,True,False,True,0.1081081081081081,False,0.49350121119155566,0.19227366558537304,0.30824610312677614,0.18074424099232134,,,0.2019465700000005,0.4087184529662406,0.18074424099232134,0.19227366558537304,0.18074424099232134,0.1865089532888472
ABHD2_3,ABHD2,True,True,True,True,0.4864864864864865,False,0.4678798034092444,0.14450014744913006,0.613201388314565,0.5602480803307738,0.25348463999999904,0.5248618784530387,0.4732573200000001,0.6063585709603408,0.14450014744913006,0.5425549793919062,0.14450014744913006,0.5248618784530387
ABHD3_3,ABHD3,True,True,True,True,0.2162162162162162,False,0.47130809072948,0.15069301091123563,0.4348511589876798,0.2779090372120496,0.2528599109999998,0.5222836095764273,0.021787003000000027,0.04424778761061947,0.04424778761061947,0.21430102406164264,0.15069301091123563,0.2779090372120496
ABI3BP_3,ABI3BP,True,True,True,True,0.6216216216216216,False,1.6262321330532123,0.989973459156591,0.9088307436369958,0.8493797991730656,0.717412393,0.9425414364640884,0.7841760310000012,0.7840052441822354,0.7840052441822354,0.895960617818577,0.8493797991730656,0.9425414364640884
ABLIM1_3,ABLIM1,True,True,True,True,0.4594594594594595,False,0.5599600483675895,0.3650840460041286,0.7584944045783357,0.7436503248670998,0.4948022010000006,0.8139963167587477,1.0654533199999996,0.8846279908226811,0.3650840460041286,0.7788233208129238,0.3650840460041286,0.7436503248670998
ABLIM2_3,ABLIM2,True,True,True,True,0.1351351351351351,False,1.4426825700151065,0.9799469183131819,0.5601666057115537,0.4746012994683993,0.20492988800000056,0.45930018416206264,0.24102879699999935,0.44378892166502787,0.44378892166502787,0.466950741815231,0.45930018416206264,0.4746012994683993
ABLIM3_3,ABLIM3,True,True,True,True,0.4864864864864865,False,0.6447797118960525,0.5641403715718077,0.6209740607630203,0.5720614294152392,0.18366424400000003,0.430939226519337,0.47837960600000073,0.610947230416257,0.430939226519337,0.5681009004935235,0.430939226519337,0.5641403715718077
ABRA_3,ABRA,True,True,True,True,0.1621621621621621,False,0.12851562288306662,0.008846947803007963,0.12332307362552405,0.08653278204370939,0.020724197999999916,0.0033149171270718232,0.129362533000001,0.33759423139954114,0.0033149171270718232,0.04768986492335867,0.0033149171270718232,0.008846947803007963
