cohort,endpoint,module_label,score_name,analysis_tier,n,events,n_covariates,covariates,score_coef,score_hr_per_sd,score_ci_low,score_ci_high,score_p,model_c_index,fixed_score_c_index,fixed_score_c_index_ci_low,fixed_score_c_index_ci_high,bootstrap_valid,ph_test_p,error,q_within_gse_os_sensitivity
GSE21257,overall_survival_sensitivity,M34,M34__strict__signed_mean_z,primary_module_os_sensitivity,53,23,0,,0.29299412959825644,1.3404349215170843,0.8778401747833692,2.046802858237734,0.1748860406262582,0.585956416464891,0.585956416464891,0.4725716845878136,0.692706457944715,3000,0.72230534273498,,0.3795510817670576
GSE21257,overall_survival_sensitivity,M11,M11__strict__signed_mean_z,primary_module_os_sensitivity,53,23,0,,0.5706708623947616,1.7694537133013437,1.1332475647303772,2.7628265358424438,0.012066979031298197,0.6803874092009685,0.6803874092009685,0.5457435132423037,0.7976189947278006,3000,0.2088710404111928,,0.08446885321908738
GSE21257,overall_survival_sensitivity,M24,M24__strict__signed_mean_z,primary_module_os_sensitivity,53,23,0,,0.1913536021326012,1.21088754880848,0.9007818003369918,1.6277511993591238,0.2049021915316545,0.5690072639225182,0.5690072639225182,0.4582602474339486,0.6879352210009906,3000,0.5723609415133676,,0.3795510817670576
GSE21257,overall_survival_sensitivity,M40,M40__strict__signed_mean_z,primary_module_os_sensitivity,53,23,0,,0.1545145517365368,1.167091261138474,0.7694393506444376,1.7702526010464328,0.46727130400202177,0.5435835351089588,0.5435835351089588,0.41970462434911976,0.6677438101366103,3000,0.6678416614950099,,0.531384214006515
GSE21257,overall_survival_sensitivity,M28,M28__strict__signed_mean_z,secondary_module_os_sensitivity,53,23,0,,0.12775489251959576,1.1362744591921663,0.7616222406201899,1.695223140491656,0.531384214006515,0.5302663438256658,0.5302663438256658,0.3990188326112439,0.6662900733874083,3000,0.526402671874756,,0.531384214006515
GSE21257,overall_survival_sensitivity,M38,M38__strict__signed_mean_z,secondary_module_os_sensitivity,53,23,0,,-0.25831348816038907,0.7723530706082541,0.5125737069965819,1.163792167907623,0.21688633243831862,0.5472154963680388,0.45278450363196127,0.3208573087017969,0.5931342057280921,3000,0.917253862740666,,0.3795510817670576
GSE21257,overall_survival_sensitivity,M25,M25__strict__signed_mean_z,secondary_module_os_sensitivity,53,23,0,,0.22770997202728555,1.2557210783753237,0.8161393702390276,1.9320663653491787,0.30029792428922975,0.589588377723971,0.589588377723971,0.4394307503356088,0.727388428514377,3000,0.029897306356328243,,0.42041709400492167
