cohort,module_label,mapping,n_frozen_genes,n_available_genes,coverage_fraction,minimum_rule_passed,available_genes,missing_genes,validation_tier,score
GSE39055,M20,broad,3,3,1.0,True,RRAD;SMTNL2;VGLL2,,exploratory,
GSE39055,M23,broad,2,2,1.0,False,RBM44;SYCE2,,exploratory,
GSE39055,M24,broad,7,7,1.0,True,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2,,primary_clean_non_proliferation,
GSE39055,M25,broad,4,3,0.75,True,ENC1;KCTD12;STK39,SERTM1,secondary_sensitivity,
GSE39055,M27,broad,7,7,1.0,True,CA14;DLG2;HK2;LEPR;PPA1;TTC19;ZNF608,,exploratory,
GSE39055,M28,broad,8,5,0.625,True,ATP8B4;SCRN2;STX3;TTC39B;ZBED2,LURAP1L;MPIG6B;SUGCT,secondary_sensitivity,
GSE39055,M30,broad,7,6,0.8571428571428571,True,ATAD1;FAS;MINPP1;PAPSS2;PTEN;SGMS1,RNLS,exploratory,
GSE39055,M34,broad,197,180,0.9137055837563451,True,ABCC3;ADCY7;ALOX5;ANKRD22;ANXA3;APOBEC3H;ARHGAP30;ARHGDIB;ARRB1;ASAH1;ATF7IP2;ATP8A1;B2M;BATF2;BLNK;BTK;C3AR1;CAPG;CARD9;CASP12;CASP8;CBLN3;CBX7;CCR2;CD244;CD48;CD74;CD80;CD86;CLEC12A;CSF1R;CSF2RB;CSRP2;CTSH;CYP4V2;CYSLTR2;CYTH4;DAPP1;DENND1C;DHX58;DNASE1L3;DOCK2;DOK2;DRAM1;DTX3L;EGR1;EHD3;ENPP5;EPAS1;EPHB3;EVI2A;EVI2B;F5;FAM107A;FCER1G;FERMT3;FGR;FMO5;GAB2;GBP1;GIMAP6;GLIPR1;GLUL;GMFG;GPR183;GPSM3;GYPC;HCLS1;HLA-DMB;HLA-DOA;HLA-DRA;HNMT;IFI30;IFI35;IFI44;IFIT3;IGSF6;IL18;IL1RN;IL34;INPP5D;IRF5;KBTBD12;KCNQ1;KIAA0040;LAMA3;LAPTM5;LCP1;LGALS9;LIPA;LMO2;LPAR5;LY96;MCTP1;MEST;MOSPD2;MS4A7;MYO1G;NCF4;NCKAP1L;NFAM1;OAS1;OAS2;OSBPL3;P2RX7;PAG1;PAPPA;PARP12;PARP14;PARP15;PARP4;PARP9;PARVG;PID1;PIK3AP1;PIK3CG;PIK3IP1;PLD4;PRDM1;PRKAR2B;PRKX;PTAFR;PTK2B;PTPN6;PTPRC;PTPRJ;PTPRO;PYCARD;RASSF5;RETSAT;RGS18;RNASEL;RNF213;RTP4;SAMD9L;SAMSN1;SASH3;SCTR;SELPLG;SERPINB8;SERPINB9;SERPING1;SH3TC1;SLC43A2;SLC6A6;SLC8A1;SLCO2B1;SLCO3A1;SP100;SRM;SUSD1;SYK;SYTL1;TAGAP;TAP1;TAPBPL;TBC1D9;TDRD7;TIMD4;TLR1;TLR3;TLR7;TLR8;TMEM123;TMEM140;TMEM144;TMEM86A;TNFAIP8;TNFAIP8L2;TNFRSF14;TNFSF8;TRIM14;TRIM22;TYROBP;UPP1;VAV1;VWA5A;XCR1;ZBP1;ZMAT1,ACOD1;ADGRE3;ADGRF1;ADGRG6;FAXDC2;FCMR;FYB1;GSAP;HACD4;JAML;JCHAIN;MARCHF1;MILR1;RAB29;SELENOP;SIRPB2;TRANK1,primary_clean_non_proliferation,
GSE39055,M38,broad,7,5,0.7142857142857143,True,ACSS3;JAZF1;MAOB;STON1;TMCC3,LDLRAD4;MTURN,secondary_sensitivity,
GSE39055,M39,broad,5,4,0.8,True,CLCN5;FAM81A;PGAP1;SPSB4,PRRT4,exploratory,
GSE39055,M40,broad,131,116,0.8854961832061069,True,ARL4D;ATAD2;AURKA;AURKB;BARX1;BUB1;C1S;CCNA2;CCNB2;CCNB3;CDC20;CDC6;CDCA2;CDCA7;CDCA8;CDT1;CENPI;CENPK;CENPT;CEP72;CLSPN;CLTCL1;CSRP1;CXCL14;DBF4B;DEPDC1;DLGAP5;DNA2;DNAJB1;DSCC1;DSN1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCA;FANCD2;FANCM;FN1;GAS6;GPRC5C;GPSM2;GTSE1;HELLS;HSP90AA1;HSPA1B;HSPH1;IFITM5;ITGBL1;KIF15;KIF18B;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;MAP1LC3C;MCM2;MCM4;MCM5;MEX3A;MSI1;MXRA5;MYBL2;MYOF;NCAPG;NCAPH;NDUFB9;NMRAL1;NSMCE2;PBK;PHGDH;PLK4;POLE;POLE2;POLQ;PTTG1;RAB30;RCOR2;RECQL4;RELN;RRM2;SCML2;SERF1A;SFRP4;SH3D19;SHCBP1;SIM2;SIVA1;SLC13A5;SLC5A6;SMO;SPAG5;SPC25;ST6GALNAC3;ST8SIA5;STMN1;SULT1C4;TK1;TOP2A;TRIB3;TRIP13;TSPAN33;TYMS;UBE2C;UBE2S;UBE2T;UHRF1,CALHM5;CENPW;CRYBG1;DNPH1;GAREM2;MACROH2A2;MIS18A;MTFR2;NIBAN1;ORC1;ORC6;REXO5;SKA3;STUM;TONSL,primary_proliferation_deviation_axis,
GSE39055,,,111,97,0.8738738738738738,True,,,,strict_human_meta_proliferation_pc1
GSE39055,,,52,46,0.8846153846153846,True,,,,M40_disjoint_strict_human_meta_proliferation_pc1
