cohort,module_label,n_samples,n_genes_available,pc1_variance_explained,frozen_loading_sign_concordance,frozen_loading_spearman,mean_signed_pairwise_correlation,median_signed_pairwise_correlation,mean_absolute_pairwise_correlation,signed_mean_vs_canine_weighted_correlation,signed_mean_vs_human_pc1_correlation,subset_method,n_subset_iterations,subset_reliability_mean,subset_reliability_median,subset_reliability_q05,subset_reliability_min,n_random_valid,signed_corr_random_mean,signed_corr_random_q95,signed_corr_random_percentile,signed_corr_empirical_p,pc1_variance_random_mean,pc1_variance_random_q95,pc1_variance_random_percentile,pc1_variance_empirical_p,error,signed_corr_empirical_q,pc1_variance_empirical_q
CANINE_DOG2,M34,186,162,0.5237456602164126,1.0,0.9985858662839191,0.497165322079809,0.48905947473935607,0.4973458555884938,0.9981892227455048,0.9981595684550956,random_gene_subsets,500,0.9992754657478852,0.9993214066391316,0.9988548271156332,0.9983234372325354,500,0.028726146038190792,0.034966570070649024,1.0,0.001996007984031936,0.1358139303366325,0.15408108128506026,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496
CANINE_DOG2,M11,186,7,0.511470833637157,1.0,0.9642857142857145,0.4255755890761076,0.4173873312040719,0.4255755890761076,0.9989658496734675,0.9991828486949184,leave_one_gene_out,7,0.986931962413761,0.9872066310647266,0.9844981573363067,0.9840771994558547,500,0.03280054971518426,0.12291918552000036,1.0,0.001996007984031936,0.2769715684730799,0.34524248770136945,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496
CANINE_DOG2,M24,186,7,0.4433167275165083,1.0,1.0,0.34773056437444533,0.3415016301032776,0.34773056437444533,0.9990442788735612,0.9990442788735611,leave_one_gene_out,7,0.982927092888428,0.9830866299119204,0.9811752729767499,0.9809998459786449,500,0.03954242747017072,0.1329872285564942,1.0,0.001996007984031936,0.26300955598280146,0.33945557455132047,0.994,0.007984031936127744,,0.0035484586382789974,0.015968063872255488
CANINE_DOG2,M40,186,111,0.497097098645849,1.0,0.9994910494910494,0.4595220055003923,0.4263043541508226,0.459591699956252,0.9959959628695015,0.9961075412114426,random_gene_subsets,500,0.9987495904117311,0.9988054605452125,0.9981706488154656,0.9968395437882985,500,0.015961770304302795,0.024842473061455022,1.0,0.001996007984031936,0.14390766498207244,0.1651171331108043,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496
TARGET_OS,M34,88,162,0.34767289674654855,0.9814814814814815,0.713681673137528,0.2878638844154066,0.2706544271582266,0.3032733132816025,0.9982584812584407,0.9908241887235602,random_gene_subsets,500,0.9982762862151993,0.9983308774978877,0.9974523375415246,0.9957719411547569,500,0.06743042098648881,0.07760239622366467,1.0,0.001996007984031936,0.11574809929156732,0.12953984030805113,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496
TARGET_OS,M11,88,7,0.3196396434213003,0.8571428571428571,0.25,0.16250184105166907,0.16108394587598546,0.21934716197108797,0.9969912608829271,0.8257670976412211,leave_one_gene_out,7,0.9672168643308163,0.9673667551567419,0.9637242364770967,0.963180332559464,500,0.03412426362548828,0.107367265018573,0.994,0.007984031936127744,0.25958570288784794,0.3324162644738867,0.938,0.06387225548902195,,0.011613137361640354,0.11355067642492792
TARGET_OS,M24,88,7,0.2754424254996384,1.0,-0.1785714285714286,0.14676251477698726,0.09006192595743887,0.1522716442112496,0.9978856446908333,0.9770364143832633,leave_one_gene_out,7,0.9644086943355827,0.9648794247179765,0.9623608949684573,0.9620636069985343,500,0.07149432887992992,0.1491115824094026,0.946,0.05588822355289421,0.26035173568143666,0.3322963810354854,0.704,0.29740518962075846,,0.06843455945252352,0.4325893667211032
TARGET_OS,M40,88,111,0.28423399606321703,0.8828828828828829,0.7769480519480518,0.18804894998945917,0.1697353764359361,0.24786308724051845,0.9928418603417868,0.9545476871062935,random_gene_subsets,500,0.9958054637172166,0.9960122903483495,0.9937961372436223,0.9889778991481804,500,0.0370301245846195,0.05034434468943458,1.0,0.001996007984031936,0.1425887636226924,0.16508357476830185,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496
GSE21257,M34,53,131,0.3582764476935138,0.9236641221374046,0.5142902898628089,0.255363473410163,0.2584246648907657,0.31512708803949496,0.9993506743658903,0.9880409793766797,random_gene_subsets,500,0.9976617369821852,0.9978223967905728,0.9961981442235374,0.9940757572029981,500,0.001556979799785426,0.008887466875319347,1.0,0.001996007984031936,0.20971778009410105,0.24339962109080931,1.0,0.001996007984031936,,0.0035484586382789974,0.005322687957418496
GSE21257,M11,53,7,0.2980897463149336,1.0,0.6071428571428572,0.12307418594562816,0.10582917867416772,0.16928187093108346,0.9973006689044606,0.905312223932615,leave_one_gene_out,7,0.9621368819534762,0.9610120287245073,0.9580475492813683,0.9580338778613172,500,0.010828746761623627,0.13283684398486562,0.942,0.059880239520958084,0.3174035679492172,0.4380361511289403,0.438,0.562874251497006,,0.06843455945252352,0.7173345616459389
