analysis_set,initial_factors,factor,view,group,r2
four_cohort_variable_only_1500,16,Factor13,RNA,DOG2,3.1118571758270264
four_cohort_variable_only_1500,16,Factor1,RNA,GSE21257,9.22783613204956
four_cohort_variable_only_1500,16,Factor2,RNA,GSE21257,5.228817462921143
four_cohort_variable_only_1500,16,Factor3,RNA,GSE21257,2.5797486305236816
four_cohort_variable_only_1500,16,Factor4,RNA,GSE21257,2.5472044944763184
four_cohort_variable_only_1500,16,Factor5,RNA,GSE21257,10.217589139938354
four_cohort_variable_only_1500,16,Factor6,RNA,GSE21257,2.735668420791626
four_cohort_variable_only_1500,16,Factor7,RNA,GSE21257,1.8594741821289062
four_cohort_variable_only_1500,16,Factor8,RNA,GSE21257,0.76027512550354
four_cohort_variable_only_1500,16,Factor9,RNA,GSE21257,1.3543248176574707
four_cohort_variable_only_1500,16,Factor10,RNA,GSE21257,2.2192835807800293
four_cohort_variable_only_1500,16,Factor11,RNA,GSE21257,1.19093656539917
four_cohort_variable_only_1500,16,Factor12,RNA,GSE21257,0.8397459983825684
four_cohort_variable_only_1500,16,Factor13,RNA,GSE21257,0.7536530494689941
four_cohort_variable_only_1500,16,Factor1,RNA,GSE39055,1.1510789394378662
four_cohort_variable_only_1500,16,Factor2,RNA,GSE39055,1.77079439163208
four_cohort_variable_only_1500,16,Factor3,RNA,GSE39055,1.3023197650909424
four_cohort_variable_only_1500,16,Factor4,RNA,GSE39055,0.7727146148681641
four_cohort_variable_only_1500,16,Factor5,RNA,GSE39055,0.1102745532989502
four_cohort_variable_only_1500,16,Factor6,RNA,GSE39055,0.19698143005371094
four_cohort_variable_only_1500,16,Factor7,RNA,GSE39055,0.4146575927734375
four_cohort_variable_only_1500,16,Factor8,RNA,GSE39055,5.251169204711914
four_cohort_variable_only_1500,16,Factor9,RNA,GSE39055,0.27763843536376953
four_cohort_variable_only_1500,16,Factor10,RNA,GSE39055,0.15202760696411133
four_cohort_variable_only_1500,16,Factor11,RNA,GSE39055,0.7859885692596436
four_cohort_variable_only_1500,16,Factor12,RNA,GSE39055,0.5220472812652588
four_cohort_variable_only_1500,16,Factor13,RNA,GSE39055,0.1383364200592041
four_cohort_variable_only_1500,16,Factor1,RNA,TARGET_OS,8.585071563720703
four_cohort_variable_only_1500,16,Factor2,RNA,TARGET_OS,6.6147685050964355
four_cohort_variable_only_1500,16,Factor3,RNA,TARGET_OS,4.992574453353882
four_cohort_variable_only_1500,16,Factor4,RNA,TARGET_OS,3.522545099258423
four_cohort_variable_only_1500,16,Factor5,RNA,TARGET_OS,0.316774845123291
four_cohort_variable_only_1500,16,Factor6,RNA,TARGET_OS,2.3015201091766357
four_cohort_variable_only_1500,16,Factor7,RNA,TARGET_OS,3.513944149017334
four_cohort_variable_only_1500,16,Factor8,RNA,TARGET_OS,0.7501304149627686
four_cohort_variable_only_1500,16,Factor9,RNA,TARGET_OS,2.392011880874634
four_cohort_variable_only_1500,16,Factor10,RNA,TARGET_OS,2.551048994064331
four_cohort_variable_only_1500,16,Factor11,RNA,TARGET_OS,1.5205860137939453
four_cohort_variable_only_1500,16,Factor12,RNA,TARGET_OS,1.5986144542694092
four_cohort_variable_only_1500,16,Factor13,RNA,TARGET_OS,0.7689595222473145
four_cohort_detection_aware_variable_only_700,8,Factor1,RNA,DOG2,12.597745656967163
four_cohort_detection_aware_variable_only_700,8,Factor2,RNA,DOG2,10.013127326965332
four_cohort_detection_aware_variable_only_700,8,Factor3,RNA,DOG2,6.248807907104492
four_cohort_detection_aware_variable_only_700,8,Factor4,RNA,DOG2,4.83514666557312
four_cohort_detection_aware_variable_only_700,8,Factor5,RNA,DOG2,3.3007442951202393
four_cohort_detection_aware_variable_only_700,8,Factor6,RNA,DOG2,3.706502914428711
four_cohort_detection_aware_variable_only_700,8,Factor1,RNA,GSE21257,10.094982385635376
four_cohort_detection_aware_variable_only_700,8,Factor2,RNA,GSE21257,6.053966283798218
four_cohort_detection_aware_variable_only_700,8,Factor3,RNA,GSE21257,3.3594489097595215
four_cohort_detection_aware_variable_only_700,8,Factor4,RNA,GSE21257,1.9212067127227783
four_cohort_detection_aware_variable_only_700,8,Factor5,RNA,GSE21257,3.0262291431427
four_cohort_detection_aware_variable_only_700,8,Factor6,RNA,GSE21257,1.6391217708587646
four_cohort_detection_aware_variable_only_700,8,Factor1,RNA,GSE39055,1.9658446311950684
four_cohort_detection_aware_variable_only_700,8,Factor2,RNA,GSE39055,2.5779306888580322
four_cohort_detection_aware_variable_only_700,8,Factor3,RNA,GSE39055,6.1384499073028564
four_cohort_detection_aware_variable_only_700,8,Factor4,RNA,GSE39055,1.565331220626831
four_cohort_detection_aware_variable_only_700,8,Factor5,RNA,GSE39055,0.42260289192199707
four_cohort_detection_aware_variable_only_700,8,Factor6,RNA,GSE39055,0.5301475524902344
four_cohort_detection_aware_variable_only_700,8,Factor1,RNA,TARGET_OS,8.121681213378906
four_cohort_detection_aware_variable_only_700,8,Factor2,RNA,TARGET_OS,6.598818302154541
four_cohort_detection_aware_variable_only_700,8,Factor3,RNA,TARGET_OS,6.016403436660767
four_cohort_detection_aware_variable_only_700,8,Factor4,RNA,TARGET_OS,3.7560760974884033
four_cohort_detection_aware_variable_only_700,8,Factor5,RNA,TARGET_OS,5.2049338817596436
four_cohort_detection_aware_variable_only_700,8,Factor6,RNA,TARGET_OS,1.2968182563781738
four_cohort_detection_aware_variable_only_700,12,Factor1,RNA,DOG2,12.973248958587646
four_cohort_detection_aware_variable_only_700,12,Factor2,RNA,DOG2,9.794062376022339
four_cohort_detection_aware_variable_only_700,12,Factor3,RNA,DOG2,5.279994010925293
four_cohort_detection_aware_variable_only_700,12,Factor4,RNA,DOG2,3.8974344730377197
four_cohort_detection_aware_variable_only_700,12,Factor5,RNA,DOG2,2.8805792331695557
four_cohort_detection_aware_variable_only_700,12,Factor6,RNA,DOG2,5.0531744956970215
four_cohort_detection_aware_variable_only_700,12,Factor7,RNA,DOG2,2.7513504028320312
four_cohort_detection_aware_variable_only_700,12,Factor8,RNA,DOG2,3.0349314212799072
four_cohort_detection_aware_variable_only_700,12,Factor1,RNA,GSE21257,10.125136375427246
four_cohort_detection_aware_variable_only_700,12,Factor2,RNA,GSE21257,6.196653842926025
four_cohort_detection_aware_variable_only_700,12,Factor3,RNA,GSE21257,2.1687746047973633
four_cohort_detection_aware_variable_only_700,12,Factor4,RNA,GSE21257,2.4562060832977295
four_cohort_detection_aware_variable_only_700,12,Factor5,RNA,GSE21257,4.141420125961304
four_cohort_detection_aware_variable_only_700,12,Factor6,RNA,GSE21257,1.7772912979125977
