cohort,endpoint,module_label,observed_c_index,n_module_genes_available,n_random_valid,random_mean,random_median,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_bh
GSE39055,recurrence_free_survival,M34,0.47029702970297027,147,2000,0.5190185643564357,0.5198019801980198,0.6188118811881188,0.2145,0.7996001999000499,0.7996001999000499
GSE39055,recurrence_free_survival,M11,0.5717821782178217,7,2000,0.5336732673267327,0.5297029702970297,0.6584158415841584,0.6885,0.32233883058470764,0.7996001999000499
GSE39055,recurrence_free_survival,M24,0.43564356435643564,7,2000,0.4547066831683168,0.452970297029703,0.5717821782178217,0.414,0.6036981509245377,0.7996001999000499
GSE39055,recurrence_free_survival,M40,0.45544554455445546,97,2000,0.5225136138613862,0.5247524752475248,0.6485148514851485,0.2085,0.7986006996501749,0.7996001999000499
