module_label,score_variant,primary_immune_subtype,n,mean,sd,median,q25,q75,min,max
M34,strict_signed_mean_z,ID,99,0.540391537933878,0.7938268782915543,0.4865421211171056,-0.028435362090692015,1.0305276014868432,-1.4211584153533536,2.3955012127745863
M34,strict_signed_mean_z,IE,9,-1.8757155438349298,0.6642394232508319,-1.7123435406476488,-2.3614025227673436,-1.4927934252629305,-3.213809388130541,-1.0152636244219386
M34,strict_signed_mean_z,IE-ECM,78,-0.46945285078127624,0.7381033509867914,-0.5325177863199496,-0.9662689912981667,0.09116373323070391,-2.3406982201696067,1.1349000343126494
M11,strict_signed_mean_z,ID,99,-0.25312373511317493,0.8855243500434098,-0.14483968141392067,-0.8289430490321461,0.33471042412390206,-3.589807204910056,1.5679635028578316
M11,strict_signed_mean_z,IE,9,-0.26803968829094643,1.4287296087392538,-0.5883713930251028,-0.9820982982405226,-0.1600803211287996,-2.338647328003328,2.0701863189184233
M11,strict_signed_mean_z,IE-ECM,78,0.35220008936952346,0.9879640756306416,0.32637491095929094,-0.33522998730918885,1.0552031333150467,-2.5540138563113604,2.4217300355001816
M24,strict_signed_mean_z,ID,99,0.03796943704781274,1.0126557264975997,0.05973391553240399,-0.747321013583166,0.5615075719020004,-1.8477186016736191,2.7736629941698574
M24,strict_signed_mean_z,IE,9,-0.13784979699224545,1.0302777925982252,-0.054989642833800756,-0.9662633431972008,0.284835508105714,-1.2522734133553028,2.021440335021988
M24,strict_signed_mean_z,IE-ECM,78,-0.032286231984657,0.9909784359802801,-0.10299115953150295,-0.7190119154374593,0.7621704917855506,-1.9103214543833331,2.00322604879555
M40,strict_signed_mean_z,ID,99,0.3911400668619791,0.9129450748619289,0.5708709131894683,-0.10758018868142714,0.999221180787611,-2.169721325736111,2.1227416067364917
M40,strict_signed_mean_z,IE,9,-0.5861120937196983,1.0424661615304724,-0.35754114345408966,-1.2361574139227376,-0.24582915735280478,-2.2868361729314453,1.4950455074496785
M40,strict_signed_mean_z,IE-ECM,78,-0.4288186894340851,0.8976542533754881,-0.3140572238008527,-1.2212660084805806,0.3104487798177093,-2.229016397548406,1.3544583675391937
M34,strict_canine_weighted_z,ID,99,0.5415115178544175,0.7751958592782414,0.4541047076982622,-0.03185894418009243,1.0227709154715279,-1.3968037609062238,2.355391178228877
M34,strict_canine_weighted_z,IE,9,-1.9513508059427034,0.671973623330244,-1.759092856018069,-2.415417205184662,-1.5575731681360057,-3.328397711711839,-1.078337726928911
M34,strict_canine_weighted_z,IE-ECM,78,-0.4621472181295256,0.7432570951737373,-0.5337697530850443,-0.9246357307731586,0.10716744494238772,-2.4144089412641905,1.1690880013898108
M11,strict_canine_weighted_z,ID,99,-0.252075489953595,0.8840120498674823,-0.15895474792277486,-0.8111813435151625,0.3542122866418984,-3.600845340446338,1.5697723545268312
M11,strict_canine_weighted_z,IE,9,-0.26837289754940113,1.4629277934475957,-0.5752447801735149,-1.0485585789015806,-0.20182367902573237,-2.338682726067848,2.091374015651255
M11,strict_canine_weighted_z,IE-ECM,78,0.3509080715814168,0.9852841768193273,0.34595922818913605,-0.26451396333748406,1.0581407375264127,-2.570535024867851,2.3495045166496684
M24,strict_canine_weighted_z,ID,99,0.049158056165694,1.017086812257213,0.07753205555739336,-0.7758587147850731,0.551560382521477,-1.8332132343825926,2.7833103827468135
M24,strict_canine_weighted_z,IE,9,-0.1348583948578105,1.0317152488058758,-0.07338833988817899,-0.91879885214696,0.288043033270006,-1.2617787381342642,2.0330773806322404
M24,strict_canine_weighted_z,IE-ECM,78,-0.04683233341901808,0.9838493911782281,-0.14591813605487375,-0.7238136157307826,0.6969235784799571,-1.8650093237625458,2.0188723478850785
M40,strict_canine_weighted_z,ID,99,0.3643928417300074,0.9306351723536274,0.5159140014411341,-0.07716912174293229,0.9511014334410555,-2.4590587771643517,1.9960438936023581
M40,strict_canine_weighted_z,IE,9,-0.530092362798301,1.0496919405681084,-0.3053031128303271,-1.1056958278436306,-0.209048128277836,-2.3867308761967183,1.512940870272293
M40,strict_canine_weighted_z,IE-ECM,78,-0.4013341034113592,0.9050461394580723,-0.21410002755942262,-1.1353042388676293,0.3270436290374385,-2.2085596511767847,1.4118479667624821
