module_label,adjustment,covariates,n,events,hr_per_sd,ci_low,ci_high,p,c_index,ph_test_p,error
M34,unadjusted,,86,29,1.4673526696093713,1.006753384555201,2.1386805249838132,0.046044962679533286,0.6407766990291263,0.4537213040117867,
M34,age,age_z,86,29,1.464452213070213,1.0049991978479966,2.1339522349455766,0.04704175335800939,0.6322815533980582,0.45687089075739074,
M34,proliferation,proliferation,86,29,1.4633120663369241,1.0027676884967645,2.1353721585277703,0.04834795840624808,0.6468446601941747,0.4559998775737618,
M34,age_plus_proliferation,age_z;proliferation,86,29,1.461097057346607,1.0014051220457787,2.1318091589402948,0.04915454276848621,0.6328883495145631,0.46241889374036915,
M11,unadjusted,,86,29,1.1843931528098284,0.7771118142123961,1.805129087947958,0.4312225236881939,0.5315533980582524,0.19505800022003406,
M11,age,age_z,86,29,1.1817976745106606,0.7754892301074932,1.800986640762518,0.4371062596217997,0.5230582524271845,0.20448410972599407,
M11,proliferation,proliferation,86,29,1.1746752667709508,0.763159690738954,1.8080907562443564,0.4643932513481338,0.5321601941747572,0.17684218286338022,
M11,age_plus_proliferation,age_z;proliferation,86,29,1.1735472886626428,0.7632530287762948,1.8043993103250346,0.4659424313976954,0.5279126213592233,0.18345921430533313,
M24,unadjusted,,86,29,0.8360308932203917,0.5767025238321625,1.2119725951161269,0.34452959793369897,0.5910194174757282,0.09839838541774759,
M24,age,age_z,86,29,0.8286969763407961,0.5673267520957079,1.2104817480571148,0.3310909349673437,0.5673543689320388,0.10510534978998158,
M24,proliferation,proliferation,86,29,0.8044836726105844,0.5460346756685371,1.1852616845342696,0.2711868962733843,0.5807038834951457,0.08738509836666,
M24,age_plus_proliferation,age_z;proliferation,86,29,0.8012789814463789,0.5417893496502502,1.1850509917225538,0.2671708843624504,0.5776699029126213,0.08992139446677608,
M40,unadjusted,,86,29,1.184486091591679,0.7906861811853468,1.7744173789288076,0.41161580153614474,0.5625,0.2117368712765824,
M40,age,age_z,86,29,1.1857459880819374,0.7897802966897757,1.7802337613959014,0.4112380834772843,0.5576456310679612,0.21087584439058615,
M40,m40_residual_unadjusted,,86,29,1.1977392180443316,0.8200556715631224,1.7493681029081483,0.35053425831884655,0.6152912621359223,0.0038738439207798873,
M40,m40_residual_age,age_z,86,29,1.2306476040851544,0.8307535434384627,1.8230358900090753,0.3006027879262924,0.5952669902912622,0.005380050021691998,
