module_label,n_loo_fits,hr_min,hr_max,hr_median,fraction_hr_above_1,c_index_min,c_index_max,c_index_median,fraction_p_below_0_05
M34,86,1.3647164010025032,1.596752746439991,1.463189679986214,1.0,0.6227621483375959,0.6560102301790282,0.6402473133657108,0.6162790697674418
M11,86,1.0764453726750667,1.3803764038336994,1.180804543315928,1.0,0.5086261980830671,0.559462915601023,0.5315370483772198,0.0
M24,86,0.7590329448088379,0.8851189339051208,0.8367563081323268,0.0,0.5728900255754475,0.6128826530612245,0.5904220866253522,0.0
M40,86,1.1154302512920506,1.278715516776172,1.1819292812497664,1.0,0.5443522654754308,0.5779467680608364,0.562009613275882,0.0
