module_label,targeted_mofa_representation_class,variable_only_representation_class,core_natural_coverage_fraction,core_ubiquitous_median_capture,core_non_ffpe_median_capture,detection_aware_ubiquitous_median_capture,no_ffpe_ubiquitous_median_capture,core_median_max_absolute_factor_cosine,core_fraction_ranks_best_factor_global_q_lt_0_05
M34,strong_shared_latent_representation,independent_ubiquitous_latent_recurrence,0.6172839506172839,0.3021036331174319,0.0376939068574605,0.2757167611611261,0.3130890026819735,0.5341508505776682,1.0
M11,limited_shared_latent_capture,limited_or_no_independent_latent_recurrence,0.8571428571428571,0.0039772414602082,0.0287764949346375,0.0157033818470182,0.0349423991494767,0.1148799074667978,1.0
M24,limited_shared_latent_capture,not_interpretable_low_natural_coverage,0.4285714285714285,,,,,,
M40,shared_non_ffpe_representation_attenuated_by_gse39055,independent_non_ffpe_recurrence_with_detection_aware_restoration,0.5765765765765766,0.0172345893203117,0.3136872143356677,0.2804550785411177,0.3264793322359663,0.548216312531256,1.0
