module_label,adjustment,n,positives,negatives,auc,average_precision,permutation_auc_p_two_sided,coef,or_per_sd,or_ci_low,or_ci_high,bootstrap_probability_coef_positive,bootstrap_valid,bootstrap_auc_median,permutation_auc_q_bh
M34,unadjusted,53,34,19,0.7786377708978328,0.8772848407004674,0.0011998800119988001,1.2674775747829563,3.55188189673107,1.9632218631947027,11.42803810507778,1.0,5000,0.7863777089783281,0.0047995200479952005
M11,unadjusted,53,34,19,0.6857585139318886,0.7705028496522314,0.024197580241975804,0.7719842579686593,2.164056041799948,1.165039773224917,5.081215591232054,0.9924,5000,0.6888544891640868,0.0325300803253008
M24,unadjusted,53,34,19,0.6811145510835914,0.8425040506146054,0.024397560243975602,0.9701199723571403,2.6382609587541563,1.4516081180547022,7.467488108976286,0.999,5000,0.6842105263157895,0.0325300803253008
M40,unadjusted,53,34,19,0.6625386996904026,0.776095357392547,0.046795320467953205,0.7155404897731039,2.045291842891739,1.1203146074674424,4.523557958009966,0.99,5000,0.6640866873065016,0.046795320467953205
