module_label,strategy,score_column,score_correlation_with_locked,n,events,hr_per_sd,ci_low,ci_high,p,fixed_direction_c_index,direction_concordant_with_canine,error
M11,best_detected_p01_ge50,M11__best_detected_p01_ge50,0.7118881995143005,36,18,1.715835237475254,1.054442597654179,2.7920823463614677,0.029752881893015785,0.6831683168316832,True,
M11,best_detected_unfiltered,M11__best_detected_unfiltered,0.9459791357724745,36,18,1.38922054866223,0.8626212746882079,2.237289746329241,0.17633109512247047,0.6311881188118812,True,
M11,max_variance_p01_ge50,M11__max_variance_p01_ge50,0.6772477684664935,36,18,1.4911478083638174,0.9524905726657138,2.334429179876601,0.08061659824684414,0.6782178217821783,True,
M11,max_variance_unfiltered,M11__max_variance_unfiltered,1.0,36,18,1.2131747420362173,0.7870932864741471,1.869909170878165,0.38135167944492077,0.5717821782178217,True,
M24,best_detected_unfiltered,M24__best_detected_unfiltered,1.0,36,18,0.88617265418597,0.5585244107375134,1.4060298134329368,0.6078889624560793,0.43564356435643564,False,
M24,max_variance_unfiltered,M24__max_variance_unfiltered,1.0,36,18,0.88617265418597,0.5585244107375134,1.4060298134329368,0.6078889624560793,0.43564356435643564,False,
M34,best_detected_p01_ge50,M34__best_detected_p01_ge50,0.6895321626355317,36,18,0.6592711830939155,0.37429280102419477,1.161225894991113,0.14917804611442106,0.349009900990099,False,
M34,best_detected_p01_ge80,M34__best_detected_p01_ge80,0.6312140794452568,36,18,0.6008425876291253,0.31192581847793105,1.1573643274239096,0.12775110269960863,0.3935643564356436,False,
M34,best_detected_unfiltered,M34__best_detected_unfiltered,0.9429388834286399,36,18,0.7186489429116808,0.44250610633579895,1.1671167826917164,0.1817610141707296,0.42326732673267325,False,
M34,max_variance_p01_ge50,M34__max_variance_p01_ge50,0.7099453728171538,36,18,0.7351269972926181,0.44405025006461035,1.2170057376835837,0.23154623467259827,0.3688118811881188,False,
M34,max_variance_unfiltered,M34__max_variance_unfiltered,1.0,36,18,0.8064440624284792,0.5090348336254141,1.2776179209470888,0.3594836952065409,0.47029702970297027,False,
M40,best_detected_p01_ge50,M40__best_detected_p01_ge50,0.6748174445772976,36,18,1.0219966235889295,0.6570626303394601,1.5896157388947243,0.9230912529360478,0.5297029702970297,True,
M40,best_detected_p01_ge80,M40__best_detected_p01_ge80,0.2588139729078906,36,18,1.2587405895674935,0.8099683585176458,1.956160206954804,0.3063091464987589,0.5915841584158416,True,
M40,best_detected_unfiltered,M40__best_detected_unfiltered,0.9809757640891227,36,18,0.7059480403481209,0.39608049817306207,1.258235732307121,0.2376317646445712,0.42574257425742573,False,
M40,max_variance_p01_ge50,M40__max_variance_p01_ge50,0.6928754996763874,36,18,1.03087470500485,0.6600896700855665,1.6099368094657196,0.8936465788488048,0.5173267326732673,True,
M40,max_variance_unfiltered,M40__max_variance_unfiltered,1.0,36,18,0.7834323625032519,0.448881882533127,1.3673224304661737,0.39036928850196295,0.45544554455445546,False,
