analysis_set,cohort,n_samples,n_genes,effective_rank,component,variance_explained,cumulative_variance_explained
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,1,0.18498498506777092,0.18498498506777092
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,2,0.11197278836199138,0.2969577734297623
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,3,0.0732083262723425,0.3701660997021048
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,4,0.04798743854890862,0.4181535382510134
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,5,0.039456249920887865,0.4576097881719013
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,6,0.030896945825502713,0.488506733997404
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,7,0.027758304727979483,0.5162650387253835
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,8,0.021656601721437387,0.5379216404468209
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,9,0.018756565633380164,0.556678206080201
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,10,0.01787552465958365,0.5745537307397847
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,11,0.015254219580521523,0.5898079503203062
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,12,0.014096225138794787,0.603904175459101
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,13,0.012694578370843847,0.6165987538299449
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,14,0.01138910924080224,0.6279878630707472
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,15,0.01105818899674324,0.6390460520674904
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,16,0.010599975457005199,0.6496460275244956
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,17,0.009013368373655736,0.6586593958981514
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,18,0.008684098967574974,0.6673434948657263
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,19,0.008335899849834932,0.6756793947155613
four_cohort_core_plus_frozen,DOG2,186,722,45.807270309640586,20,0.00781952714758385,0.6834989218631451
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,1,0.1344607789715569,0.1344607789715569
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,2,0.11812006597750868,0.2525808449490656
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,3,0.07499779179610205,0.32757863674516763
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,4,0.046757915543134625,0.37433655228830226
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,5,0.04005767232769801,0.4143942246160003
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,6,0.03330432453007117,0.44769854914607143
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,7,0.030046188807729236,0.4777447379538007
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,8,0.024496650273009322,0.50224138822681
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,9,0.02371684773089013,0.5259582359577001
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,10,0.020006831625216433,0.5459650675829165
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,11,0.01819221397339935,0.5641572815563158
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,12,0.017994867285818596,0.5821521488421344
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,13,0.01669949675529182,0.5988516455974262
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,14,0.015433739715711632,0.6142853853131378
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,15,0.014821471098331556,0.6291068564114694
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,16,0.013371590784561639,0.642478447196031
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,17,0.013108794740318624,0.6555872419363497
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,18,0.012364315822197932,0.6679515577585475
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,19,0.01203056799408399,0.6799821257526315
four_cohort_core_plus_frozen,TARGET_OS,88,722,40.20138408730157,20,0.011438503121028848,0.6914206288736604
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,1,0.18652872344049154,0.18652872344049154
