endpoint,n_modules_tested,n_modules_nominal_before_proliferation,n_modules_nominal_after_proliferation,n_modules_fdr10_before_proliferation,n_modules_fdr10_after_proliferation,median_module_abs_coef_ratio_after_proliferation,n_candidates_tested,n_candidates_nominal_before_proliferation,n_candidates_nominal_after_proliferation,n_candidates_fdr10_before_proliferation,n_candidates_fdr10_after_proliferation,median_candidate_abs_coef_ratio_after_proliferation
DFI,13,13,13,13,13,0.8111505572444735,26,26,24,26,24,0.7946796942302435
OS,13,13,11,13,12,0.8554339064837079,26,24,22,25,23,0.8688929858707668
