module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M34,DAPP1_3,DAPP1,DAPP1,strict_symbol_concordant_one_to_one,0.08121246426322894,-0.08121246426322894,0.08121246426322894,True,True,1,-0.007851512494678197
M34,DENND1C_3,DENND1C,DENND1C,strict_symbol_concordant_one_to_one,0.08461528699783312,-0.08461528699783312,0.08461528699783312,True,True,1,-0.00818049284837517
M34,DHX58_3,DHX58,DHX58,strict_symbol_concordant_one_to_one,0.05806736958885461,-0.05806736958885461,0.05806736958885461,True,True,1,-0.005613875677780867
M34,DNASE1L3_3,DNASE1L3,DNASE1L3,strict_symbol_concordant_one_to_one,0.05115203327787668,-0.05115203327787668,0.05115203327787668,True,True,1,-0.004945310206419731
M34,DOCK2_3,DOCK2,DOCK2,strict_symbol_concordant_one_to_one,0.08206482764898658,-0.08206482764898658,0.08206482764898658,True,True,1,-0.007933917847526388
M34,DOK2_3,DOK2,DOK2,strict_symbol_concordant_one_to_one,0.06798909445580148,-0.06798909445580148,0.06798909445580148,True,True,1,-0.0065730947763307955
M34,DRAM1_3,DRAM1,DRAM1,strict_symbol_concordant_one_to_one,0.06144316621599011,-0.06144316621599011,0.06144316621599011,True,True,1,-0.005940243183531432
M34,DTX3L_3,DTX3L,DTX3L,strict_symbol_concordant_one_to_one,0.05259691023729839,-0.05259691023729839,0.05259691023729839,True,True,1,-0.005084998979603636
M34,EGR1_3,EGR1,EGR1,strict_symbol_concordant_one_to_one,0.02617100573022489,-0.02617100573022489,0.02617100573022489,True,True,1,-0.002530177853280494
M34,EHD3_3,EHD3,EHD3,strict_symbol_concordant_one_to_one,0.04622951308051073,-0.04622951308051073,0.04622951308051073,True,True,1,-0.004469407533282598
M34,ENPP5_3,ENPP5,ENPP5,strict_symbol_concordant_one_to_one,0.06633575837321569,-0.06633575837321569,0.06633575837321569,True,True,1,-0.006413252453750243
M34,EPAS1_3,EPAS1,EPAS1,strict_symbol_concordant_one_to_one,0.04840180029552532,-0.04840180029552532,0.04840180029552532,True,True,1,-0.00467942135770535
M34,EPHB3_3,EPHB3,EPHB3,strict_symbol_concordant_one_to_one,-0.03620680534393059,0.03620680534393059,0.03620680534393059,True,True,1,0.003500425545872356
M34,EVI2A_3,EVI2A,EVI2A,strict_symbol_concordant_one_to_one,0.05506713612398868,-0.05506713612398868,0.05506713612398868,True,True,1,-0.005323817116572889
M34,F5_3,F5,F5,strict_symbol_concordant_one_to_one,0.04980937330869649,-0.04980937330869649,0.04980937330869649,True,True,1,-0.004815503635226993
M34,FAM107A_3,FAM107A,FAM107A,strict_symbol_concordant_one_to_one,0.016718241583231763,-0.016718241583231763,0.016718241583231763,True,True,1,-0.001616297250312915
M34,FAXDC2_3,FAXDC2,FAXDC2,strict_symbol_concordant_one_to_one,0.03511696185101632,-0.03511696185101632,0.03511696185101632,True,True,1,-0.003395060933685179
M34,FCER1G_2,FCER1G,FCER1G,strict_symbol_concordant_one_to_one,0.07533306026342833,-0.07533306026342833,0.07533306026342833,True,True,1,-0.007283099574512733
M34,FERMT3_3,FERMT3,FERMT3,strict_symbol_concordant_one_to_one,0.0773587299216817,-0.0773587299216817,0.0773587299216817,True,True,1,-0.007478938609519926
M34,FGR_3,FGR,FGR,strict_symbol_concordant_one_to_one,0.07663696036365743,-0.07663696036365743,0.07663696036365743,True,True,1,-0.007409158893382536
M34,FYB1_3,FYB1,FYB1,strict_symbol_concordant_one_to_one,0.0777085855516639,-0.0777085855516639,0.0777085855516639,True,True,1,-0.007512762184202199
M34,GAB2_3,GAB2,GAB2,strict_symbol_concordant_one_to_one,0.06528553947802766,-0.06528553947802766,0.06528553947802766,True,True,1,-0.006311718694708166
M34,GBP1_3,GBP1,GBP1,strict_symbol_concordant_one_to_one,0.07215030367766354,-0.07215030367766354,0.07215030367766354,True,True,1,-0.006975394921940502
M34,GIMAP6_3,GIMAP6,GIMAP6,strict_symbol_concordant_one_to_one,0.08083497107327303,-0.08083497107327303,0.08083497107327303,True,True,1,-0.007815016957638612
M34,GLUL_3,GLUL,GLUL,strict_symbol_concordant_one_to_one,0.06154256888123197,-0.06154256888123197,0.06154256888123197,True,True,1,-0.005949853300343318
M34,GMFG_3,GMFG,GMFG,strict_symbol_concordant_one_to_one,0.07310149392423945,-0.07310149392423945,0.07310149392423945,True,True,1,-0.0070673547235985375
M34,GPR183_3,GPR183,GPR183,strict_symbol_concordant_one_to_one,0.05246619293324977,-0.05246619293324977,0.05246619293324977,True,True,1,-0.005072361405367719
M34,GPSM3_3,GPSM3,GPSM3,strict_symbol_concordant_one_to_one,0.07497845541839615,-0.07497845541839615,0.07497845541839615,True,True,1,-0.007248816852067329
M34,GSAP_3,GSAP,GSAP,strict_symbol_concordant_one_to_one,0.04698088820183557,-0.04698088820183557,0.04698088820183557,True,True,1,-0.004542049475708466
M34,HACD4_3,HACD4,HACD4,strict_symbol_concordant_one_to_one,0.0664152283253819,-0.0664152283253819,0.0664152283253819,True,True,1,-0.006420935502504459
M34,HCLS1_3,HCLS1,HCLS1,strict_symbol_concordant_one_to_one,0.08279251864467113,-0.08279251864467113,0.08279251864467113,True,True,1,-0.008004270040342053
M34,HNMT_3,HNMT,HNMT,strict_symbol_concordant_one_to_one,0.06216854283049268,-0.06216854283049268,0.06216854283049268,True,True,1,-0.006010371625067875
