endpoint,method,gene,selected_in_folds,mean_gene_rank,n_method_folds,selection_frequency,gene_symbol_clean
DFI,conditional_cox_mb_plus_clinical,LOC119868251_3,1,6.0,5,0.2,LOC119868251
DFI,conditional_cox_mb_plus_clinical,LOC119868838_2,1,6.0,5,0.2,LOC119868838
DFI,conditional_cox_mb_plus_clinical,HSPH1_3,1,7.0,5,0.2,HSPH1
DFI,conditional_cox_mb_plus_clinical,IGF2_3,1,7.0,5,0.2,IGF2
DFI,conditional_cox_mb_plus_clinical,STX3_3,1,7.0,5,0.2,STX3
DFI,elastic_net_cox,ADAMTS4_3,4,14.75,5,0.8,ADAMTS4
DFI,elastic_net_cox,CYP4V2_3,2,2.5,5,0.4,CYP4V2
DFI,elastic_net_cox,PIANP_3,2,3.5,5,0.4,PIANP
DFI,elastic_net_cox,PTTG1_3,2,3.5,5,0.4,PTTG1
DFI,elastic_net_cox,APOBEC3Z3_4,2,4.5,5,0.4,APOBEC3Z3
DFI,elastic_net_cox,ALOX5_3,2,5.0,5,0.4,ALOX5
DFI,elastic_net_cox,LOC119876408,2,5.0,5,0.4,LOC119876408
DFI,elastic_net_cox,CSRP1_3,2,9.0,5,0.4,CSRP1
DFI,elastic_net_cox,HHIP_3,2,10.0,5,0.4,HHIP
DFI,elastic_net_cox,PLCXD2_3,2,10.5,5,0.4,PLCXD2
DFI,elastic_net_cox,ADORA2B_3,2,12.5,5,0.4,ADORA2B
DFI,elastic_net_cox,PRRT4_3,2,15.0,5,0.4,PRRT4
DFI,elastic_net_cox,CD8B_3,2,17.5,5,0.4,CD8B
DFI,elastic_net_cox,EGR1_3,2,20.0,5,0.4,EGR1
DFI,elastic_net_cox,PAPSS2_3,2,23.0,5,0.4,PAPSS2
DFI,elastic_net_cox,CDH10_3,1,1.0,5,0.2,CDH10
DFI,elastic_net_cox,LAG3_3,1,1.0,5,0.2,LAG3
DFI,elastic_net_cox,LOC119868251_3,1,1.0,5,0.2,LOC119868251
DFI,elastic_net_cox,TRIP13_3,1,1.0,5,0.2,TRIP13
DFI,elastic_net_cox,TMEM59L_3,1,2.0,5,0.2,TMEM59L
DFI,elastic_net_cox,JCHAIN_3,1,3.0,5,0.2,JCHAIN
DFI,elastic_net_cox,KLHL9_3,1,3.0,5,0.2,KLHL9
DFI,elastic_net_cox,PTPRZ1_3,1,3.0,5,0.2,PTPRZ1
DFI,elastic_net_cox,LOC119868838_2,1,4.0,5,0.2,LOC119868838
DFI,elastic_net_cox,POLE2_3,1,4.0,5,0.2,POLE2
DFI,elastic_net_cox,TSPAN15_3,1,4.0,5,0.2,TSPAN15
DFI,elastic_net_cox,LRRTM3_3,1,5.0,5,0.2,LRRTM3
DFI,elastic_net_cox,MCM10_3,1,5.0,5,0.2,MCM10
DFI,elastic_net_cox,SYCE2_3,1,5.0,5,0.2,SYCE2
DFI,elastic_net_cox,GPR34_3,1,6.0,5,0.2,GPR34
DFI,elastic_net_cox,LOC119879073,1,6.0,5,0.2,LOC119879073
DFI,elastic_net_cox,MAOB_3,1,6.0,5,0.2,MAOB
DFI,elastic_net_cox,KIT_3,1,7.0,5,0.2,KIT
DFI,elastic_net_cox,MRI1_3,1,7.0,5,0.2,MRI1
DFI,elastic_net_cox,SPC25_3,1,7.0,5,0.2,SPC25
DFI,elastic_net_cox,ANGPT2_3,1,8.0,5,0.2,ANGPT2
DFI,elastic_net_cox,APELA_3,1,8.0,5,0.2,APELA
DFI,elastic_net_cox,CBX7_3,1,8.0,5,0.2,CBX7
DFI,elastic_net_cox,RBPMS2_3,1,8.0,5,0.2,RBPMS2
DFI,elastic_net_cox,ATAD1_3,1,9.0,5,0.2,ATAD1
DFI,elastic_net_cox,LOC111097086_3,1,9.0,5,0.2,LOC111097086
DFI,elastic_net_cox,MYBL2_3,1,9.0,5,0.2,MYBL2
DFI,elastic_net_cox,ADGRF1_3,1,10.0,5,0.2,ADGRF1
DFI,elastic_net_cox,CA11_3,1,10.0,5,0.2,CA11
DFI,elastic_net_cox,DNA2_3,1,10.0,5,0.2,DNA2
DFI,elastic_net_cox,RELN_3,1,10.0,5,0.2,RELN
DFI,elastic_net_cox,UBE2S_3,1,10.0,5,0.2,UBE2S
DFI,elastic_net_cox,CYSLTR2_3,1,11.0,5,0.2,CYSLTR2
DFI,elastic_net_cox,TMEM117_3,1,11.0,5,0.2,TMEM117
DFI,elastic_net_cox,DRD1_3,1,12.0,5,0.2,DRD1
DFI,elastic_net_cox,LOC119877688,1,12.0,5,0.2,LOC119877688
DFI,elastic_net_cox,DMTN_3,1,13.0,5,0.2,DMTN
