endpoint,module_label,score_type,score_column,module_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,module_transfer_qc_tier,transfer_priority_score,n_module_genes,fraction_strict_symbol_concordant,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,module_proliferation_correlation,module_only_p,module_plus_proliferation_p,module_plus_proliferation_q,module_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
DFI,M11,original,module_M11__original,0.10123328410559211,0.10123328410559211,186,143,0.33438776327833714,1.397084776728134,1.680461601153752e-05,0.07769957422221506,0.6192987668994205,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.1012332841055921,1.680461601153752e-05,5.317860197526649e-05,0.0003456609128392,0.6427722478086466,0.9864614236964035,2.9625078940792195e-05
DFI,M11,residual_after_proliferation,module_M11__residual_after_proliferation,0.10123328410559211,1.6803375507840205e-17,186,143,0.30818954802702536,1.3609589315704609,6.341907242088772e-05,0.0770528958620013,0.6103847868073095,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.1012332841055921,1.680461601153752e-05,5.317860197526649e-05,0.0003456609128392,0.6427722478086466,0.9864614236964035,0.00027806286803307487
DFI,M11,residual_after_proliferation_and_weight,module_M11__residual_after_proliferation_and_weight,0.10123328410559211,-1.3730084624536581e-16,185,142,0.2730582378805597,1.3139767658184534,0.0003023433851540811,0.07557065754197936,0.5981343564281953,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.1012332841055921,1.680461601153752e-05,5.317860197526649e-05,0.0003456609128392,0.6427722478086466,0.9864614236964035,0.001310154669001018
OS,M11,original,module_M11__original,0.10123328410559211,0.10123328410559211,186,124,0.2251368741891306,1.2524941385795554,0.007405928761241284,0.08406847637006143,0.5759174862077237,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.1012332841055921,0.0074059287612412,0.0165786128574739,0.0195929061042873,0.6058207403853841,0.9342749381627036,0.008023089491344724
OS,M11,residual_after_proliferation,module_M11__residual_after_proliferation,0.10123328410559211,1.6803375507840205e-17,186,124,0.20447629839215986,1.226882376416194,0.01451478668259422,0.08365555798103427,0.5689613816262893,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.1012332841055921,0.0074059287612412,0.0165786128574739,0.0195929061042873,0.6058207403853841,0.9342749381627036,0.01715383880670226
OS,M11,residual_after_proliferation_and_weight,module_M11__residual_after_proliferation_and_weight,0.10123328410559211,-1.3730084624536581e-16,185,123,0.1871390739639798,1.20579496807544,0.02435556405058471,0.0831184887240553,0.5593742400907838,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.1012332841055921,0.0074059287612412,0.0165786128574739,0.0195929061042873,0.6058207403853841,0.9342749381627036,0.02878384842341829
DFI,M17,original,module_M17__original,0.25964049457441846,0.25964049457441846,186,143,0.31883396117130114,1.3755229157303919,0.00015469585881257314,0.08427164264609763,0.5990194621898678,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,P4HA1;CIRBP,0.2596404945744184,0.0001546958588125,0.0038327683632092,0.0045296353383381,0.6360867627395632,0.7899542739245184,0.00016758718038028758
DFI,M17,residual_after_proliferation,module_M17__residual_after_proliferation,0.25964049457441846,1.1522314633947566e-16,186,143,0.2436463502244792,1.2758930314091026,0.004956926491252362,0.08671245085356606,0.5754716981132075,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,P4HA1;CIRBP,0.2596404945744184,0.0001546958588125,0.0038327683632092,0.0045296353383381,0.6360867627395632,0.7899542739245184,0.00644400443862807
DFI,M17,residual_after_proliferation_and_weight,module_M17__residual_after_proliferation_and_weight,0.25964049457441846,2.1197323630863498e-16,185,142,0.24769089372929323,1.2810638861066386,0.0044509160557614814,0.08708326118563987,0.5772963213721508,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,P4HA1;CIRBP,0.2596404945744184,0.0001546958588125,0.0038327683632092,0.0045296353383381,0.6360867627395632,0.7899542739245184,0.008265986960699894
OS,M17,original,module_M17__original,0.25964049457441846,0.25964049457441846,186,124,0.3527516491489177,1.4229777018233372,9.636421703937366e-05,0.09045914609484576,0.6148556808187415,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,P4HA1;CIRBP,0.2596404945744184,9.636421703937366e-05,0.0007175681824741,0.0031938744118788,0.6375629647397457,0.8834212873688214,0.0003380676664643618
