analysis_set,comparison_type,initial_factors_a,initial_factors_b,n_common_genes,n_factors_a,n_factors_b,subspace_similarity,shared_covariance_rv
four_cohort_variable_only_1500,shared_two_or_more_groups,8,12,1500,7,9,0.9953310525278481,0.8843669988409624
four_cohort_variable_only_1500,ubiquitous_all_groups,8,12,1500,3,4,0.9506044302495233,0.8345425261396365
four_cohort_variable_only_1500,shared_two_or_more_groups,8,16,1500,7,10,0.9745887338276473,0.8265132064684365
four_cohort_variable_only_1500,ubiquitous_all_groups,8,16,1500,3,3,0.9262056297384128,0.8941787086283928
four_cohort_variable_only_1500,shared_two_or_more_groups,12,16,1500,9,10,0.963504459585036,0.8828897618509841
four_cohort_variable_only_1500,ubiquitous_all_groups,12,16,1500,4,3,0.9138119018208027,0.7717079995570026
four_cohort_detection_aware_variable_only_700,shared_two_or_more_groups,8,12,700,6,8,0.9973253954469689,0.9054836165867854
four_cohort_detection_aware_variable_only_700,ubiquitous_all_groups,8,12,700,4,5,0.9616816445181966,0.8702454280498585
four_cohort_detection_aware_variable_only_700,shared_two_or_more_groups,8,16,700,6,10,0.995407340916349,0.8465917133037137
four_cohort_detection_aware_variable_only_700,ubiquitous_all_groups,8,16,700,4,8,0.9863451502099234,0.7785024157525159
four_cohort_detection_aware_variable_only_700,shared_two_or_more_groups,12,16,700,8,10,0.9744550080091975,0.8952219578091516
four_cohort_detection_aware_variable_only_700,ubiquitous_all_groups,12,16,700,5,8,0.8874603039393042,0.7637063196537691
three_cohort_no_ffpe_variable_only_1500,shared_two_or_more_groups,8,12,1500,7,9,0.9955387890625503,0.8702922296699213
three_cohort_no_ffpe_variable_only_1500,ubiquitous_all_groups,8,12,1500,7,8,0.8634931497489681,0.7900860493855566
three_cohort_no_ffpe_variable_only_1500,shared_two_or_more_groups,8,16,1500,7,11,0.9909360753808191,0.8008082289505284
three_cohort_no_ffpe_variable_only_1500,ubiquitous_all_groups,8,16,1500,7,9,0.9844113123382382,0.8783166863825155
three_cohort_no_ffpe_variable_only_1500,shared_two_or_more_groups,12,16,1500,9,11,0.9923748988216057,0.8769697001625023
three_cohort_no_ffpe_variable_only_1500,ubiquitous_all_groups,12,16,1500,8,9,0.9863749527918504,0.8815781827816844
