initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
8,M40,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.018795843137791562,0.31121751653813584,-0.2924216734003443
8,M40,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.2804550785411177,0.31121751653813584,-0.030762437997018166
8,M40,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.2849395928839058,0.008928959147090843,0.27601063373681495
8,M40,shared_non_ffpe_only,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.2849395928839058,0.008928959147090843,0.27601063373681495
8,M40,shared_non_ffpe_only,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.2849395928839058,0.31121751653813584,-0.02627792365423004
8,M40,shared_non_ffpe_only,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.008928959147090843,0.31121751653813584,-0.302288557391045
8,M40,gse39055_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.018795843137791562,0.2804550785411177,-0.26165923540332614
12,M34,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.34936906620993274,0.33291216590144845,0.01645690030848429
12,M34,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.34936906620993274,0.3184396209291741,0.03092944528075864
12,M34,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.33291216590144845,0.3184396209291741,0.014472544972274348
12,M34,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.34845991604156484,0.33291216590144845,0.01554775014011639
12,M34,shared_two_or_more,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.34845991604156484,0.31593501695071474,0.0325248990908501
12,M34,shared_two_or_more,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.33291216590144845,0.31593501695071474,0.01697714895073371
12,M34,ubiquitous_all_groups,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.30891951079163515,0.2757167611611261,0.033202749630509065
12,M34,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.30891951079163515,0.3130890026819735,-0.004169491890338328
12,M34,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.2757167611611261,0.3130890026819735,-0.037372241520847393
12,M34,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.03769390685746054,0.035274156816787285,0.0024197500406732547
12,M34,partially_shared,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.03769390685746054,0.009825916801059107,0.027867990056401434
12,M34,partially_shared,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.035274156816787285,0.009825916801059107,0.02544824001572818
12,M34,shared_non_ffpe_only,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.03769390685746054,0.035274156816787285,0.0024197500406732547
