module_label,score_variant,n,n_ID,n_IE,n_IE_ECM,kruskal_h,kruskal_p,permutation_kruskal_p,epsilon_squared,kruskal_q_bh,permutation_kruskal_q_bh
M34,strict_signed_mean_z,186,99,9,78,72.85823321255441,1.510204212316634e-16,9.999000099990002e-05,0.387203460177893,6.040816849266536e-16,0.00019998000199980003
M11,strict_signed_mean_z,186,99,9,78,16.59463533036069,0.00024918432727582765,0.00029997000299970003,0.07975210563038627,0.00033224576970110353,0.00039996000399960006
M24,strict_signed_mean_z,186,99,9,78,0.5104338859730433,0.7747484034958253,0.7754224577542246,0.0,0.7747484034958253,0.7754224577542246
M40,strict_signed_mean_z,186,99,9,78,34.147699175644675,3.8452212983161036e-08,9.999000099990002e-05,0.1756704872986048,7.690442596632207e-08,0.00019998000199980003
M34,strict_canine_weighted_z,186,99,9,78,73.32469102591574,1.196039850688326e-16,9.999000099990002e-05,0.3897524099776816,4.784159402753304e-16,0.00019998000199980003
M11,strict_canine_weighted_z,186,99,9,78,16.91374420147929,0.0002124355094207281,0.00019998000199980003,0.08149586995343874,0.0002832473458943041,0.00026664000266640004
M24,strict_canine_weighted_z,186,99,9,78,0.703653485264681,0.7034019809951834,0.7058294170582942,0.0,0.7034019809951834,0.7058294170582942
M40,strict_canine_weighted_z,186,99,9,78,31.9162151363289,1.1734968861041952e-07,9.999000099990002e-05,0.16347658544442023,2.3469937722083903e-07,0.00019998000199980003
