analysis_set,module_label,n_ranks,median_max_absolute_cosine,minimum_max_absolute_cosine,maximum_max_absolute_cosine,median_random_percentile,fraction_ranks_global_q_lt_0_05
four_cohort_detection_aware_variable_only_700,M11,3,0.18746156782524412,0.09949893175646994,0.21563053266427723,0.9995,0.6666666666666666
four_cohort_detection_aware_variable_only_700,M34,3,0.47738735196152354,0.4682074843406851,0.4807197074065861,1.0,1.0
four_cohort_detection_aware_variable_only_700,M40,3,0.5083697637239805,0.501283459829438,0.5097355569888915,1.0,1.0
four_cohort_variable_only_1500,M11,3,0.11487990746679785,0.10702823794654526,0.13078477656303242,1.0,1.0
four_cohort_variable_only_1500,M34,3,0.5341508505776682,0.5284865882066404,0.5446789731193109,1.0,1.0
four_cohort_variable_only_1500,M40,3,0.548216312531256,0.5315382441902388,0.5692063917121486,1.0,1.0
three_cohort_no_ffpe_variable_only_1500,M11,3,0.11628137020477188,0.10509809385321109,0.15413602120340583,0.999,1.0
three_cohort_no_ffpe_variable_only_1500,M34,3,0.5026384176549471,0.501677370677194,0.5277230172906021,1.0,1.0
three_cohort_no_ffpe_variable_only_1500,M40,3,0.5554830217597746,0.541518626202659,0.5633189566110827,1.0,1.0
