module_label,primary_p,q_within_gse39055,permutation_c_index_p_two_sided,permutation_c_index_q_bh
M34,0.359483695206541,0.5204923846692838,0.7212278772122788,0.7212278772122788
M11,0.3813516794449209,0.5204923846692838,0.36396360363963604,0.7212278772122788
M24,0.607888962456079,0.607888962456079,0.40475952404759524,0.7212278772122788
M40,0.39036928850196284,0.5204923846692838,0.5728427157284272,0.7212278772122788
