gene,gene_symbol_clean,n,events,coef,hr_per_sd,se_coef,z,p,ci_lower,ci_upper,c_index,error,q
XK_3,XK,186,124,0.04946542568203345,1.050709264030632,0.09243745995552345,0.5351231600893608,0.5925646958873482,0.8765963396278313,1.2594051647403675,0.4946829775325818,,0.7832840410780098
FAIM2_3,FAIM2,186,124,-0.05134133969088298,0.9499543580582834,0.09597257200365471,-0.5349584638507746,0.5926785795142393,0.7870652499180247,1.1465545994921191,0.5199088510434157,,0.7832840410780098
PCSK5_3,PCSK5,186,124,-0.04670182477035889,0.9543719252366853,0.0873260587137865,-0.5347982659268452,0.5927893622878377,0.8042398328176316,1.1325300420509203,0.49572239545854324,,0.7832840410780098
LOC610614_3,LOC610614,186,124,0.047141501418456015,1.048270330324241,0.08824224521013914,0.5342282634150315,0.5931836170047899,0.8817822627272428,1.2461927755718551,0.5132725673622771,,0.783597908857054
KCNV1_3,KCNV1,186,124,0.04532147904891437,1.046364190008902,0.08497339184428374,0.5333608329059917,0.5937838246789164,0.8858361226710313,1.2359825820058425,0.4968417686095786,,0.7841836036435769
WDR90_3,WDR90,186,124,0.050613705697226063,1.0519164654502822,0.09496688603503206,0.5329616228393055,0.5940601464313491,0.8732634696706215,1.267118445596695,0.5011593507635724,,0.7842516349940538
PI15_3,PI15,186,124,-0.04950043163716529,0.9517047473452342,0.09291210415009765,-0.5327662320207315,0.5941954117826309,0.7932595500098165,1.1417976954809403,0.5158711121771807,,0.7842516349940538
PTPRT_3,PTPRT,186,124,0.053924394672225,1.055404804912359,0.10124618868482707,0.5326066627563454,0.594305888998494,0.8654423731583315,1.2870635143124798,0.4627008875029983,,0.7842516349940538
MYO5B_3,MYO5B,186,124,-0.045271715100200775,0.9557377581685507,0.08521294940562656,-0.5312774104872318,0.595226556810055,0.8087333449481716,1.1294633368277713,0.5181898137043256,,0.7850637659387705
SUPT3H_3,SUPT3H,186,124,-0.04746149993179698,0.9536471879076371,0.08933681806368572,-0.5312647233301168,0.5952353473347758,0.8004682213534281,1.1361387432301335,0.5105141120972255,,0.7850637659387705
MMP8_3,MMP8,186,124,-0.044112997637189934,0.9568458300461395,0.08310684080148874,-0.5307986347665343,0.5955583262313658,0.8130201276554455,1.1261147311529949,0.5007595746382026,,0.7852826031531722
ZDHHC14_3,ZDHHC14,186,124,0.04889803435002195,1.0501132697987263,0.09221297267739595,0.5302728339654564,0.5959227790100766,0.8764846645534045,1.258137106105845,0.5172303510034381,,0.7854906268871248
PYGO1_3,PYGO1,186,124,0.04475729302942609,1.045774012462221,0.08445297763690487,0.5299670216703848,0.5961347960343357,0.8862399850857057,1.2340261143098508,0.5214679779323579,,0.7854906268871248
STYXL1_3,STYXL1,186,124,-0.048881684372696334,0.9522937942710302,0.09224853471874553,-0.5298911741170805,0.5961873858073277,0.7947835305288611,1.1410194546981547,0.5249060526105381,,0.7854906268871248
ST6GAL2_3,ST6GAL2,186,124,-0.04523288442591681,0.9557748708306891,0.08543467348753543,-0.529444107169393,0.596497407754128,0.8084133596966533,1.1299981534869756,0.5132325897497402,,0.7856920544706638
MAP2_3,MAP2,186,124,0.04727550886771253,1.048410815770177,0.08947557394588888,0.5283621750926437,0.5972479853422697,0.8797712103403597,1.2493762306664375,0.5229071719836891,,0.7864735124338553
KCNK17_3,KCNK17,186,124,-0.05112073930806172,0.9501639414695743,0.0969300054185485,-0.5273984984042853,0.5979168860614661,0.785762999834298,1.1489616027471157,0.5360997841208923,,0.7871470327296816
SBK2_3,SBK2,186,124,-0.04702559355851058,0.9540629794112121,0.08931354432312814,-0.5265225326673447,0.5985252004951109,0.8008537572801724,1.1365822541362691,0.5023187015271448,,0.7877084019122284
LOC102156563_3,LOC102156563,186,124,-0.04576351434542175,0.9552678426219812,0.08694819719764699,-0.5263308017921758,0.5986583854532935,0.8055912095053347,1.1327539828891482,0.5221076197329495,,0.7877084019122284
MRAP_3,MRAP,186,124,0.047004735068957866,1.0481269720213948,0.08947927566581626,0.5253142106839279,0.5993647802056743,0.8795266423984844,1.2490470402157665,0.49892060446150155,,0.7884303870108843
CD24_3,CD24,186,124,0.04859942752786936,1.0497997456248898,0.09265078515594398,0.5245441519580202,0.5999001191494739,0.8754714177896425,1.2588412180223685,0.5260254257615735,,0.7889156360942421
ALOX15_3,ALOX15,186,124,-0.04741528810085898,0.9536912587085477,0.09043028989753588,-0.5243297146850239,0.6000492328132806,0.7987914353354254,1.1386289044964144,0.517430239066123,,0.7889156360942421
CCBE1_3,CCBE1,186,124,-0.04599738902757181,0.955044455782201,0.08782843121038798,-0.5237186682452257,0.6004742293083305,0.8040145193939071,1.1344445784485326,0.503877828416087,,0.7889884063049439
FABP3_3,FABP3,186,124,0.04808028868058501,1.0492548952338054,0.09185038482640398,0.5234631163653383,0.6006520117163312,0.8763908098684623,1.2562156320846676,0.5303430079155673,,0.7889884063049439
SLC20A2_3,SLC20A2,186,124,-0.0480943852755183,0.9530438295278065,0.09187810341802463,-0.5234586205670757,0.6006551395675215,0.7959872117219958,1.1410893637801989,0.5007595746382026,,0.7889884063049439
SHISAL1_3,SHISAL1,186,124,0.048845983064614816,1.0500586114757406,0.09333459806933259,0.5233427268667307,0.6007357725605843,0.8745144441139514,1.2608403382651117,0.5009994403134245,,0.7889884063049439
CNTN4_3,CNTN4,186,124,0.048547672465153846,1.0497454145791818,0.0929535779339253,0.5222786851697442,0.6014763076020468,0.8749067300632862,1.2595233269611583,0.4997601343247781,,0.7897535551497463
LOC486353_3,LOC486353,186,124,0.046558712438437115,1.0476595879119073,0.08925741419819526,0.5216229134204351,0.6019329063998445,0.8795168074595302,1.247947285185055,0.5089150075957464,,0.7900073759631904
GOLPH3L_3,GOLPH3L,186,124,-0.046747436087407085,0.9543283960689404,0.08963222187923937,-0.5215472193737365,0.6019856204839511,0.8005763583097508,1.1376087715934537,0.5370592468217799,,0.7900073759631904
LOC119876640_1,LOC119876640,186,124,0.04926647426688132,1.050500244728672,0.09453939308012933,0.5211211185280641,0.6022824001591538,0.8728187768992195,1.2643526850963036,0.4982809626609099,,0.7901894517963183
ADAMTSL4_3,ADAMTSL4,186,124,0.04679641809682834,1.0479086521248355,0.08991010133909208,0.5204800951156496,0.6027289977656163,0.8786012344921353,1.2498417940794722,0.5167506196529943,,0.7905679404061073
