cohort,module_label,gene,frozen_risk_loading,frozen_risk_sign,cohort_pc1_loading_aligned,cohort_pc1_sign,loading_sign_concordant
CANINE_DOG2,M34,HACD4_3,-0.0664152283253819,-1.0,-0.0793408052157444,-1.0,True
CANINE_DOG2,M34,HCLS1_3,-0.0827925186446711,-1.0,-0.09961212170011319,-1.0,True
CANINE_DOG2,M34,HNMT_3,-0.0621685428304926,-1.0,-0.07442397936627733,-1.0,True
CANINE_DOG2,M34,IFI30_3,-0.0579779739923923,-1.0,-0.07025034453665409,-1.0,True
CANINE_DOG2,M34,IFI35_3,-0.06057165481638,-1.0,-0.0711056590843555,-1.0,True
CANINE_DOG2,M34,IL18_3,-0.077388291222115,-1.0,-0.09287315308754945,-1.0,True
CANINE_DOG2,M34,IL1RN_3,-0.0683757645236215,-1.0,-0.08225184467743982,-1.0,True
CANINE_DOG2,M34,IL34_3,-0.0468521286242338,-1.0,-0.056266828714265235,-1.0,True
CANINE_DOG2,M34,INPP5D_3,-0.0774976740389577,-1.0,-0.09395882105867527,-1.0,True
CANINE_DOG2,M34,IRF5_3,-0.0794607074542069,-1.0,-0.09516732823103971,-1.0,True
CANINE_DOG2,M34,JAML_3,-0.0726809452399857,-1.0,-0.08713641049488415,-1.0,True
CANINE_DOG2,M34,JCHAIN_3,-0.0519498414004262,-1.0,-0.06175675255116583,-1.0,True
CANINE_DOG2,M34,KBTBD12_3,-0.0341395803619888,-1.0,-0.04048542867328054,-1.0,True
CANINE_DOG2,M34,KCNQ1_3,-0.0760476523483408,-1.0,-0.09159442715863103,-1.0,True
CANINE_DOG2,M34,KIAA0040_3,-0.0452741957951717,-1.0,-0.055201769410370596,-1.0,True
CANINE_DOG2,M34,LAMA3_3,-0.0282191257459631,-1.0,-0.033887072698631344,-1.0,True
CANINE_DOG2,M34,LAPTM5_3,-0.0771987842497218,-1.0,-0.09360770627272404,-1.0,True
CANINE_DOG2,M34,LCP1_3,-0.0767748487395036,-1.0,-0.09317127381673378,-1.0,True
CANINE_DOG2,M34,LPAR5_3,-0.0634392126082228,-1.0,-0.07586528963071106,-1.0,True
CANINE_DOG2,M34,LY96_3,-0.0612541816679478,-1.0,-0.0730628780576256,-1.0,True
CANINE_DOG2,M34,MARCHF1_3,-0.0753902088117608,-1.0,-0.09070266991635759,-1.0,True
CANINE_DOG2,M34,MCTP1_3,-0.0599621281460907,-1.0,-0.07194396526734471,-1.0,True
CANINE_DOG2,M34,MILR1_3,-0.0833096055971545,-1.0,-0.1002294349078166,-1.0,True
CANINE_DOG2,M34,MOSPD2_3,-0.0546431510383963,-1.0,-0.06522347899416328,-1.0,True
CANINE_DOG2,M34,MS4A7_3,-0.0668744323308811,-1.0,-0.08012875212614944,-1.0,True
CANINE_DOG2,M34,MYO1G_3,-0.07965617441524,-1.0,-0.09593688879550881,-1.0,True
CANINE_DOG2,M34,NCF4_3,-0.0736391294141049,-1.0,-0.08915415022818106,-1.0,True
CANINE_DOG2,M34,NCKAP1L_3,-0.0783489270680713,-1.0,-0.09507421678394257,-1.0,True
CANINE_DOG2,M34,NFAM1_3,-0.0801343362400604,-1.0,-0.09690251346019478,-1.0,True
CANINE_DOG2,M34,OAS1_3,-0.0501462176992563,-1.0,-0.058381416115780474,-1.0,True
CANINE_DOG2,M34,OAS2_3,-0.0576348378012267,-1.0,-0.06715175674494603,-1.0,True
CANINE_DOG2,M34,OSBPL3_3,-0.0513227367327572,-1.0,-0.06244835087003524,-1.0,True
CANINE_DOG2,M34,PAG1_3,-0.048240223164409,-1.0,-0.0585664433599043,-1.0,True
CANINE_DOG2,M34,PAPPA_3,-0.0272872558002062,-1.0,-0.033213760805347194,-1.0,True
CANINE_DOG2,M34,PARP12_3,-0.0723426847606341,-1.0,-0.08584777130969537,-1.0,True
CANINE_DOG2,M34,PARP14_3,-0.0596084179076502,-1.0,-0.07027737734690778,-1.0,True
CANINE_DOG2,M34,PARP15_3,-0.073353478892924,-1.0,-0.08716992237119423,-1.0,True
CANINE_DOG2,M34,PARP9_3,-0.0575304459487458,-1.0,-0.06760748137570498,-1.0,True
CANINE_DOG2,M34,PARVG_3,-0.0835820736904279,-1.0,-0.10068816520580676,-1.0,True
CANINE_DOG2,M34,PID1_3,-0.0356422230606891,-1.0,-0.04337778612129652,-1.0,True
CANINE_DOG2,M34,PIK3AP1_3,-0.0789578866168171,-1.0,-0.09510752100409917,-1.0,True
CANINE_DOG2,M34,PIK3CG_3,-0.0673864115594216,-1.0,-0.08213981322304904,-1.0,True
CANINE_DOG2,M34,PIK3IP1_3,-0.0401798883740388,-1.0,-0.047581823955311096,-1.0,True
CANINE_DOG2,M34,PRDM1_3,-0.0609033465587401,-1.0,-0.0745483982354253,-1.0,True
CANINE_DOG2,M34,PRKAR2B_3,-0.0582071961869443,-1.0,-0.06987194159966344,-1.0,True
CANINE_DOG2,M34,PTAFR_3,-0.0776773936324589,-1.0,-0.09355034519073506,-1.0,True
CANINE_DOG2,M34,PTK2B_3,-0.0746715198228609,-1.0,-0.09055509759414805,-1.0,True
CANINE_DOG2,M34,PTPN6_3,-0.0838995626139224,-1.0,-0.10106199917343861,-1.0,True
CANINE_DOG2,M34,PTPRC_4,-0.0840791735623078,-1.0,-0.10135724900719872,-1.0,True
CANINE_DOG2,M34,PTPRJ_3,-0.0733645623920716,-1.0,-0.08902880631361677,-1.0,True
CANINE_DOG2,M34,PTPRO_3,-0.0711420146491507,-1.0,-0.08520429880367945,-1.0,True
CANINE_DOG2,M34,PYCARD_3,-0.0821541154173578,-1.0,-0.09866555620525354,-1.0,True
CANINE_DOG2,M34,RAB29_3,-0.0574199066024839,-1.0,-0.06863413368950196,-1.0,True
CANINE_DOG2,M34,RASSF5_3,-0.0510319109699295,-1.0,-0.06164095353971222,-1.0,True
CANINE_DOG2,M34,RETSAT_3,-0.0456181341754507,-1.0,-0.054753947085678045,-1.0,True
CANINE_DOG2,M34,RGS18_3,-0.0767613703808162,-1.0,-0.0920435676160439,-1.0,True
CANINE_DOG2,M34,RNASEL_3,-0.05270917252062,-1.0,-0.062137422388312324,-1.0,True
CANINE_DOG2,M34,RNF213_3,-0.0606680467022342,-1.0,-0.0712024462196857,-1.0,True
CANINE_DOG2,M34,SAMD9L_3,-0.0726233770662706,-1.0,-0.0858262942111035,-1.0,True
CANINE_DOG2,M34,SAMSN1_3,-0.0749294360441245,-1.0,-0.08962053293469999,-1.0,True
CANINE_DOG2,M34,SASH3_3,-0.0786452864304232,-1.0,-0.09415826173220063,-1.0,True
CANINE_DOG2,M34,SCTR_3,-0.0516283072028297,-1.0,-0.062198630925460886,-1.0,True
CANINE_DOG2,M34,SERPINB8_3,-0.0433657798653345,-1.0,-0.052740353443406225,-1.0,True
CANINE_DOG2,M34,SERPINB9_3,-0.0556612443928295,-1.0,-0.06630580290227817,-1.0,True
CANINE_DOG2,M34,SERPING1_3,-0.05333564533607,-1.0,-0.06313473632247352,-1.0,True
CANINE_DOG2,M34,SH3TC1_3,-0.0724732901771042,-1.0,-0.0872773478882461,-1.0,True
CANINE_DOG2,M34,SIRPB2_3,-0.0761401507157501,-1.0,-0.09121929303347201,-1.0,True
CANINE_DOG2,M34,SLC43A2_3,-0.075843929132934,-1.0,-0.09166195983895584,-1.0,True
CANINE_DOG2,M34,SLC6A6_3,-0.0593747875535671,-1.0,-0.07192329364267361,-1.0,True
CANINE_DOG2,M34,SLC8A1_3,-0.0435954749062708,-1.0,-0.05261400074441436,-1.0,True
CANINE_DOG2,M34,SLCO2B1_3,-0.0774471410675742,-1.0,-0.09292818747785349,-1.0,True
CANINE_DOG2,M34,SLCO3A1_3,-0.0466026915248996,-1.0,-0.056400351117593985,-1.0,True
CANINE_DOG2,M34,SP100_3,-0.0652815611407066,-1.0,-0.0769802660043447,-1.0,True
CANINE_DOG2,M34,SRM_3,0.0362904911182836,1.0,0.04353055031549385,1.0,True
CANINE_DOG2,M34,SUSD1_3,-0.0475599886530273,-1.0,-0.05720811026164028,-1.0,True
CANINE_DOG2,M34,SYK_3,-0.0704306618827598,-1.0,-0.08572888195734228,-1.0,True
CANINE_DOG2,M34,SYTL1_3,-0.0534127627684756,-1.0,-0.06503363008231017,-1.0,True
CANINE_DOG2,M34,TAGAP_3,-0.0807821565775036,-1.0,-0.09725494519065425,-1.0,True
CANINE_DOG2,M34,TAPBPL_3,-0.0648038541444955,-1.0,-0.07696861254510987,-1.0,True
CANINE_DOG2,M34,TBC1D9_3,-0.0630470967948235,-1.0,-0.07688359699645045,-1.0,True
CANINE_DOG2,M34,TLR1_3,-0.0744723565785727,-1.0,-0.08950831793991651,-1.0,True
CANINE_DOG2,M34,TLR3_3,-0.0621373845623098,-1.0,-0.07379481677165702,-1.0,True
CANINE_DOG2,M34,TLR7_3,-0.0780384374715623,-1.0,-0.09392996807950199,-1.0,True
CANINE_DOG2,M34,TLR8_3,-0.0724358482580339,-1.0,-0.08739440410291996,-1.0,True
CANINE_DOG2,M34,TMEM123_3,-0.0367638815766869,-1.0,-0.044219576748344716,-1.0,True
CANINE_DOG2,M34,TMEM140_3,-0.0683808710238255,-1.0,-0.08114629371523542,-1.0,True
CANINE_DOG2,M34,TMEM144_3,-0.0776263801710967,-1.0,-0.09327384568295259,-1.0,True
CANINE_DOG2,M34,TMEM86A_3,-0.073207126555748,-1.0,-0.08829453765437593,-1.0,True
CANINE_DOG2,M34,TNFAIP8_3,-0.0668094954601034,-1.0,-0.08060243453045195,-1.0,True
CANINE_DOG2,M34,TNFAIP8L2_3,-0.0768608462098133,-1.0,-0.09209031275229244,-1.0,True
CANINE_DOG2,M34,TNFSF8_3,-0.0720137561848778,-1.0,-0.08612490684256625,-1.0,True
CANINE_DOG2,M34,TRANK1_3,-0.0563699560584323,-1.0,-0.06719655054338984,-1.0,True
CANINE_DOG2,M34,TRIM14_3,-0.0650251168776304,-1.0,-0.07752637319309842,-1.0,True
CANINE_DOG2,M34,TRIM22_3,-0.0722067296280384,-1.0,-0.08561326959878265,-1.0,True
CANINE_DOG2,M34,VAV1_3,-0.0828691717953871,-1.0,-0.10001050623023865,-1.0,True
CANINE_DOG2,M34,VWA5A_3,-0.0751139723749701,-1.0,-0.08976436148737668,-1.0,True
CANINE_DOG2,M34,ZMAT1_3,-0.0540908834787659,-1.0,-0.06546640486794619,-1.0,True
CANINE_DOG2,M11,ADAMTS1_3,0.3586103080948711,1.0,0.38519916621870026,1.0,True
CANINE_DOG2,M11,ADAMTS4_3,0.355362764730042,1.0,0.37868010692706144,1.0,True
CANINE_DOG2,M11,ANGPT2_3,0.3223309477092098,1.0,0.3497125572507402,1.0,True
CANINE_DOG2,M11,DRD1_3,0.2832379650829795,1.0,0.3088477011885735,1.0,True
CANINE_DOG2,M11,IGFBP3_3,0.4110996652244612,1.0,0.43549318163765205,1.0,True
CANINE_DOG2,M11,MCAM_3,0.3739169431489546,1.0,0.3861625048202731,1.0,True
CANINE_DOG2,M11,STC1_3,0.3730624327290713,1.0,0.38956567142377363,1.0,True
CANINE_DOG2,M24,CHST2_3,0.3259893162878125,1.0,0.3259893162878126,1.0,True
