endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,score_type,score_column,gene_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,gene_proliferation_correlation,gene_only_p,gene_plus_proliferation_p,gene_plus_proliferation_q,gene_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
DFI,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,residual_after_proliferation,candidate_2__residual_after_proliferation,-0.016057727236130612,-2.0704159107874536e-17,186,143,-0.2782123055545804,0.7571360602585196,0.0011530400358487531,0.08559722831343783,0.5788887238151835,,-0.0160577272361306,0.000930935600899,0.000599911227469,0.0038994229785485,0.6315554895260734,1.0170616333430016,0.005148592933711141
DFI,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,residual_after_proliferation_and_weight,candidate_2__residual_after_proliferation_and_weight,-0.016057727236130612,-1.3474151029561668e-17,185,142,-0.28577390855545304,0.7514324891996805,0.000922631599691142,0.08625536428361541,0.5830136161889716,,-0.0160577272361306,0.000930935600899,0.000599911227469,0.0038994229785485,0.6315554895260734,1.0170616333430016,0.005997105397992424
OS,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,original,candidate_2__original,-0.016057727236130612,-0.016057727236130612,186,124,-0.2568930102213219,0.773450960685935,0.00502143561902809,0.0915625657200105,0.5814343967378268,,-0.0160577272361306,0.005021435619028,0.0032470752035862,0.0105529944116553,0.619732949548253,1.042567591029868,0.006871438215512124
OS,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,residual_after_proliferation,candidate_2__residual_after_proliferation,-0.016057727236130612,-2.0704159107874536e-17,186,124,-0.25216216343480297,0.7771187076115804,0.005797802167691686,0.09139612142554747,0.5804749340369393,,-0.0160577272361306,0.005021435619028,0.0032470752035862,0.0105529944116553,0.619732949548253,1.042567591029868,0.016340203997816185
OS,LAG3_3,LAG3,LAG3,strict_primary,high_rna_evidence,11.0,LAG3_3,residual_after_proliferation_and_weight,candidate_2__residual_after_proliferation_and_weight,-0.016057727236130612,-1.3474151029561668e-17,185,123,-0.2585251690305217,0.7721895955411008,0.0049579491648350845,0.09200991823075466,0.58377239199157,,-0.0160577272361306,0.005021435619028,0.0032470752035862,0.0105529944116553,0.619732949548253,1.042567591029868,0.014322964253968022
DFI,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,original,candidate_3__original,0.18268370447899504,0.1826837044789951,186,143,0.27350082132903936,1.314558438896635,0.0009472549845672888,0.08273509499730694,0.5895854999257168,,0.182683704478995,0.0009472549845672,0.0094692610421266,0.0151688060814522,0.6255385529638984,0.7916746980229465,0.0013682571999305284
DFI,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,residual_after_proliferation,candidate_3__residual_after_proliferation,0.18268370447899504,3.3606751015680416e-17,186,143,0.2237500841270272,1.250758395988798,0.006781843835114294,0.08264478376641618,0.5717575397414946,,0.182683704478995,0.0009472549845672,0.0094692610421266,0.0151688060814522,0.6255385529638984,0.7916746980229465,0.01469399497608097
DFI,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,residual_after_proliferation_and_weight,candidate_3__residual_after_proliferation_and_weight,0.18268370447899504,1.156217652592554e-16,185,142,0.23544952066935848,1.2654774991877604,0.004421882936475436,0.08271881673260102,0.5755660874144286,,0.182683704478995,0.0009472549845672,0.0094692610421266,0.0151688060814522,0.6255385529638984,0.7916746980229465,0.012774328483151258
OS,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,original,candidate_3__original,0.18268370447899504,0.1826837044789951,186,124,0.35567443185908504,1.427142840379546,0.00011750688352476054,0.09235250623837324,0.6238906212520988,,0.182683704478995,0.0001175068835247,0.00090497735663,0.0049578915303666,0.6429199648197009,0.8832102843303439,0.0006234045274662182
OS,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,residual_after_proliferation,candidate_3__residual_after_proliferation,0.18268370447899504,3.3606751015680416e-17,186,124,0.3186292366029901,1.3752413412188607,0.0006075275229672717,0.09294274663247205,0.6116574718157831,,0.182683704478995,0.0001175068835247,0.00090497735663,0.0049578915303666,0.6429199648197009,0.8832102843303439,0.00718518013403257
