module_label,n_common_genes,edge_spearman,edge_permutation_p,loading_spearman,loading_permutation_p,external_pc1_variance_explained,pc1_orientation_correlation_with_frozen_score,split_half_median,split_half_q05,split_half_q95,split_half_valid_repeats,estimable,nonestimable_reason
M34,154,0.7055974664523376,0.0001999600079984003,0.788672301765281,0.0001999600079984003,0.3643890958337415,0.993199675920197,0.9763585386030782,0.955490861993235,0.986617868309453,2000,True,
M11,6,0.37857142857142856,0.16676664667066587,-0.2,0.7160567886422715,0.66170055030378,0.9998648143561049,0.8210980489257454,0.6611843690762179,0.8869892007430143,2000,True,
M24,6,0.42499999999999993,0.3059388122375525,0.6,0.23515296940611877,0.4569051643617763,0.9863095865384315,0.6093400315461812,0.5271157805554552,0.6675211780306396,2000,True,
M40,106,0.9337953649214813,0.0001999600079984003,0.9193087638864398,0.0001999600079984003,0.5225148425679813,0.9969810168828332,0.982008221526298,0.9700597490649022,0.9887214569059773,2000,True,
