module_label,n_module_genes,n_random_panels,observed_edge_spearman,random_edge_median,random_edge_q05,random_edge_q95,random_panel_empirical_p
M34,154,1000,0.7055974664523376,0.4282788489177475,0.3799302275909817,0.4753342802490133,0.000999000999000999
M11,6,1000,0.37857142857142856,0.42857142857142855,-0.09303571428571426,0.7892857142857141,0.5834165834165834
M24,6,1000,0.42499999999999993,0.4142857142857142,-0.08232142857142855,0.7857142857142856,0.48951048951048953
M40,106,1000,0.9337953649214813,0.4236980455455563,0.37587078186390416,0.4826066831020402,0.000999000999000999
