endpoint,module_label,score_column,n_genes_used,module_pc1_explained_variance,module_proliferation_correlation,module_only_coef,module_only_hr,module_only_p,module_only_c_index,module_plus_proliferation_coef,module_plus_proliferation_hr,module_plus_proliferation_p,module_plus_proliferation_c_index,module_plus_proliferation_proliferation_p,module_plus_proliferation_weight_coef,module_plus_proliferation_weight_hr,module_plus_proliferation_weight_p,module_plus_proliferation_weight_c_index,module_plus_proliferation_weight_proliferation_p,module_plus_proliferation_weight_weight_p,abs_coef_ratio_after_proliferation_adjustment,retains_nominal_p05_after_proliferation,module_only_error,module_plus_proliferation_error,module_plus_proliferation_weight_error,module_transfer_qc_tier,transfer_priority_score,n_module_genes,fraction_strict_symbol_concordant,fraction_broad_transferable,n_high_or_medium_rna_evidence,dfi_full_module_p,dfi_full_module_c_index,os_full_module_p,os_full_module_c_index,strict_human_symbols,module_only_q,module_plus_proliferation_q,module_plus_proliferation_weight_q
DFI,M11,module_M11_score,8,0.49449542756390563,0.10123328410559211,0.33438776327833714,1.397084776728134,1.680461601153752e-05,0.6192987668994205,0.3298606290302044,1.3907742813954023,5.317860197526649e-05,0.6427722478086466,0.0010425325856443998,0.32415465312668107,1.3828611543842706,9.847089617039778e-05,0.6623034679906717,0.002840212106781874,0.01197347573034861,0.9864614236964035,True,,,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,1.680461601153752e-05,0.6192987668994205,0.0074059287612412,0.5759174862077237,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,2.9625078940792195e-05,0.0003456609128392322,0.0010006839844155693
DFI,M17,module_M17_score,5,0.5229397637600028,0.25964049457441846,0.31883396117130114,1.3755229157303919,0.00015469585881257343,0.5990194621898678,0.2518642502995533,1.2864213941123306,0.0038327683632092004,0.6360867627395632,0.005520977849750327,0.2536096991443981,1.2886687375896444,0.0043240258658925,0.647107500188069,0.015211039038578783,0.008629336194738418,0.7899542739245184,True,,,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,0.0001546958588125,0.5990194621898678,9.636421703937366e-05,0.6148556808187415,P4HA1;CIRBP,0.0001675871803802879,0.004529635338338145,0.00562123362566025
DFI,M20,module_M20_score,4,0.6027393079486077,0.10173516110581457,0.1896527608998003,1.2088297718092373,0.008979437007616489,0.5716832565740603,0.207595649688751,1.2307154287581503,0.01101712694342897,0.6152874758579706,0.0003540456978616272,0.18568503954659785,1.2040429747295387,0.026542476588637506,0.6389829233431129,0.0015349339381967447,0.01572698820303733,1.0946091620486902,True,,,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,0.0089794370076164,0.5716832565740603,0.000530652845532,0.5976653074278404,VGLL2;RRAD,0.008979437007616489,0.011935220855381385,0.02875434963769063
DFI,M23,module_M23_score,4,0.5696919728493952,0.4032636461012663,0.2902565818168072,1.33677043501348,0.00013078296934607332,0.6206358639132372,0.19438454832429714,1.2145632514275964,0.02101867390304666,0.6342296835537067,0.025018502853309258,0.17333604665746014,1.1892656867000861,0.04424363399868987,0.6444745354697962,0.03738055502114182,0.016833019510285742,0.6696990197692784,True,,,,low_transfer_readiness,2.0,4,0.5,0.5,0,0.000130782969346,0.6206358639132372,0.0149589492416532,0.5807947549372352,RBM44;SYCE2,0.0001545616910453594,0.02101867390304666,0.04424363399868987
DFI,M24,module_M24_score,7,0.4433167275165085,0.38834755867836485,0.352881819907843,1.423162943967011,4.804690131708406e-06,0.6262071014708067,0.2837252174832014,1.3280679507560418,0.0008623957015157264,0.630589808349428,0.044872392132202885,0.25424963440800413,1.2894936660801983,0.0032964168861174315,0.6540284360189573,0.05478022409921028,0.02693295502201267,0.8040233343766413,True,,,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,4.804690131708406e-06,0.6262071014708067,0.0001800039846212,0.6063004717358279,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,2.6425323353562583e-05,0.002242228823940889,0.004779932312431483
DFI,M25,module_M25_score,6,0.5040150084188719,-0.27511300106719366,-0.31888219337711,0.7269611851041964,1.4739471228528685e-05,0.626578517307978,-0.2729869976568057,0.7611026836828976,0.00042885658605869244,0.6425493983063438,0.01049801881698963,-0.27056742988016724,0.7629464528738114,0.00048715069451518895,0.6590686827653652,0.020866775766509058,0.008412558735139672,0.8560747615467237,True,,,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,1.4739471228528751e-05,0.626578517307978,0.0004782701902201,0.6036619493083873,STK39;SERTM1;KCTD12;ENC1,2.9625078940792195e-05,0.0018583785395876672,0.0021109863428991522
DFI,M27,module_M27_score,8,0.439051918494457,0.29832212360607696,0.31481938017664474,1.3700118373122965,3.6408476427399506e-05,0.6167731392066558,0.2693143011336226,1.3090665174854728,0.000813920228013851,0.6354182142326549,0.0076255161948695065,0.23428432034437188,1.2640038231250903,0.004925025431692549,0.6503422854133755,0.013809093755893362,0.04572727542845286,0.8554565509356847,True,,,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,3.640847642739951e-05,0.6167731392066558,0.0003954035117097,0.5999040537299113,CA14;LEPR;HK2;DLG2,4.733101935561936e-05,0.002242228823940889,0.005820484601091194
DFI,M28,module_M28_score,13,0.42996516044714445,-0.4061816214816431,-0.42326141590699773,0.6549074075182986,4.512375081507734e-07,0.6337097013816669,-0.3659815569191463,0.693515591655938,5.269112509492332e-05,0.6485663348685188,0.0803911490264751,-0.3501158443122552,0.7046064603398464,0.00015395138221777988,0.6617768750470172,0.12032743491044448,0.025006044036443374,0.8646702561699189,True,,,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,4.512375081507706e-07,0.6337097013816669,3.887779093565021e-05,0.6192532181978092,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,5.8660876059600545e-06,0.0003456609128392322,0.0010006839844155693
DFI,M30,module_M30_score,7,0.7391307731564378,-0.3293555890050054,-0.3258383346097161,0.7219218877820005,3.4078118296247175e-05,0.5768087951270242,-0.25035541706028536,0.7785240331702691,0.0023334907127339965,0.620264448076066,0.008607355226197775,-0.25824822746817255,0.7724034765490229,0.0019250753545710906,0.6367260964417363,0.024540697254647168,0.005075148648016644,0.7683424277261821,True,,,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,3.407811829624717e-05,0.5768087951270242,5.698782529143232e-05,0.5980650835532102,PTEN;RNLS;ATAD1,4.733101935561936e-05,0.0032120696060035725,0.004779932312431483
DFI,M34,module_M34_score,238,0.5131680876321663,-0.3588699959310087,-0.3358056476024469,0.7147620080275712,1.8230817809718274e-05,0.6348239488931808,-0.2617340768689934,0.7697156816987851,0.001911776385120696,0.6461892735106225,0.031728122338154474,-0.24986003823418135,0.7789097930326598,0.0033091839086064117,0.6559091251034379,0.057914303900115933,0.015606122287204186,0.7794213073475607,True,,,,medium_primary_transfer_readiness,8.0,238,0.680672268907563,0.8151260504201681,9,1.8230817809718274e-05,0.6348239488931808,0.0001040208204505,0.6349244423123052,CYP4V2;FAM107A;ALOX5;RETSAT;BTK;LY96;BLNK;EGR1;CBX7;TLR3;ADGRF1;TLR7;HACD4;SAMD9L;BATF2;ACOD1;PARP15;GPSM3;RGS18;IL34;CARD9;INPP5D;TMEM140;PRKAR2B;RASSF5;SLC6A6;TRIM14;PAG1;PAPPA;OSBPL3;CD86;F5;OAS1;PID1;ZMAT1;ENPP5;MOSPD2;TNFAIP8L2;TBC1D9;PIK3IP1;CSF1R;EPAS1;CTSH;PYCARD;ADGRG6;TAGAP;GPR183;TMEM86A;ABCC3;GSAP;SCTR;NCKAP1L;DENND1C;PTPN6;CBLN3;PIK3AP1;PRDM1;B2M;HNMT;VWA5A;PARP12;CYTH4;GMFG;ARRB1;LAPTM5;RNASEL;NCF4;PARP9;ANXA3;PTK2B;PTPRC;DTX3L;ANKRD22;PTPRJ;EVI2A;ARHGDIB;IFI35;CD244;JAML;SYK;GAB2;PIK3CG;FERMT3;DOCK2;DRAM1;MYO1G;PTAFR;DAPP1;VAV1;PTPRO;PARVG;CASP8;TNFSF8;IRF5;CLEC12A;GIMAP6;CSF2RB;NFAM1;MARCHF1;RNF213;LCP1;SP100;SLC8A1;IL18;TMEM144;DOK2;MILR1;SERPINB8;FGR;ARHGAP30;SLC43A2;SASH3;CD80;SIRPB2;HCLS1;TRIM22;CD74;SAMSN1;PARP14;MS4A7;C3AR1;ADCY7;FYB1;SLCO2B1;OAS2;TLR1;DNASE1L3;TLR8;FCER1G;TNFAIP8;KCNQ1;IL1RN;SH3TC1;CCR2;KBTBD12;JCHAIN;TMEM123;GLUL;CYSLTR2;EPHB3;CAPG;ADGRE3;ATF7IP2;TAPBPL;KIAA0040;SERPING1;IFI30;SRM;SUSD1;TRANK1;FAXDC2;SYTL1;LAMA3;RAB29;GBP1;MCTP1;EHD3;SLCO3A1;ATP8A1;SERPINB9;LPAR5;DHX58,2.9625078940792195e-05,0.003106636625821131,0.004779932312431483
