analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,interpretable,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_variable_only_1500,8,M11,7,6,0.8571428571428571,True,Factor7,0.1148799074667978,0.1148799074667978,0.013197393139580025,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor1,-0.0007159432570796946,0.0007159432570796946,5.125747473578816e-07,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor2,0.038596846624270646,0.038596846624270646,0.0014897165693374724,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor3,-0.0030433586139098287,0.0030433586139098287,9.262031652859154e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor4,0.052464599609066936,0.052464599609066936,0.0027525342121397065,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor5,0.04623448714275738,0.04623448714275738,0.0021376278013537976,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor6,0.031337725072691835,0.031337725072691835,0.0009820530127316186,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M24,7,3,0.42857142857142855,False,Factor7,0.04010382648496515,0.04010382648496515,0.0016083168987361918,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor1,-0.06588337690006053,0.06588337690006053,0.00434061935175543,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor2,-0.06478212505273741,0.06478212505273741,0.004196723726348508,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor3,-0.1000338008503023,0.1000338008503023,0.010006761312557943,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor4,0.5315382441902388,0.5315382441902388,0.28253290503684186,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor5,0.04271712170591842,0.04271712170591842,0.0018247524868382464,3,DOG2;TARGET_OS;GSE21257,partially_shared
