module_label,n_loo_fits,auc_min,auc_max,auc_median,fraction_auc_above_0_50,fraction_auc_above_0_60
M34,53,0.7663398692810457,0.8006535947712419,0.7767145135566188,1.0,1.0
M11,53,0.6683006535947713,0.7205882352941175,0.6842105263157895,1.0,1.0
M24,53,0.6683006535947713,0.7017543859649124,0.6778309409888357,1.0,1.0
M40,53,0.6437908496732025,0.6944444444444444,0.6618819776714514,1.0,1.0
