endpoint,step,phase,gene,gene_symbol_clean,p,c_index,selected_before
DFI,1,forward,PIK3IP1_3,PIK3IP1,0.00021165905488586403,0.5912940127767048,0
DFI,1,forward,SCML2_3,SCML2,0.00022023141282466894,0.5978309315109196,0
DFI,1,forward,SERPING1_3,SERPING1,0.00021208359606923234,0.6164017233694845,0
DFI,1,forward,LOC487476_3,LOC487476,0.00022056843605783584,0.5956024364878918,0
DFI,1,forward,LHX2_3,LHX2,0.00022940861913985674,0.6043678502451345,0
DFI,1,forward,MYBL2_3,MYBL2,0.0002227988105840756,0.606522062100728,0
DFI,1,forward,EPAS1_3,EPAS1,0.00020911613142361613,0.6132075471698113,0
DFI,1,forward,CA14_3,CA14,0.0002459796390427679,0.5906997474372307,0
DFI,1,forward,CSF1R_3,CSF1R,0.00023559095984078925,0.5976823651760511,0
DFI,1,forward,IFIT3_3,IFIT3,0.0002392211115794842,0.6187416431436636,0
DFI,1,forward,CTSH_3,CTSH,0.0002363319554526181,0.6060763630961225,0
DFI,1,forward,DLGAP5_3,DLGAP5,0.00024122962292612936,0.6070420442727678,0
DFI,1,forward,TTC39B_3,TTC39B,0.00025736677953261714,0.6097905214678354,0
DFI,1,forward,MIS18A_3,MIS18A,0.00026070274991367047,0.6013222403803298,0
DFI,1,forward,CDCA5_3,CDCA5,0.0002584407306220778,0.6009508245431585,0
DFI,1,forward,FANCD2_3,FANCD2,0.00026022418051811595,0.5994651611944734,0
DFI,1,forward,PYCARD_3,PYCARD,0.0002605159251509965,0.6152874758579706,0
DFI,1,forward,GPSM3_3,GPSM3,0.00025142822238743826,0.6109047689793493,0
DFI,1,forward,PARP15_3,PARP15,0.00026448395700186033,0.608527707621453,0
DFI,1,forward,ADGRG6_3,ADGRG6,0.000294608520444105,0.6080077254494132,0
DFI,1,forward,CDCA8_3,CDCA8,0.0002803691760974912,0.6094933887980983,0
DFI,1,forward,ASAH1_3,ASAH1,0.00029594061076946963,0.6158817411974447,0
DFI,1,forward,RGS18_3,RGS18,0.0002906062061283897,0.6259842519685039,0
DFI,1,forward,SPC25_3,SPC25,0.0002957313747564597,0.5980537810132224,0
DFI,1,forward,CENPK_3,CENPK,0.00030654032132273806,0.5738374684296539,0
DFI,1,forward,POLE_3,POLE,0.00031133494747383184,0.6080820086168475,0
DFI,1,forward,SELENOP_3,SELENOP,0.00033615415860466707,0.5923339771207844,0
DFI,1,forward,BUB1_3,BUB1,0.0003083375562074261,0.5993165948596049,0
DFI,1,forward,CA5B_3,CA5B,0.00032105542260065764,0.5963452681622344,0
DFI,1,forward,SELPLG_3,SELPLG,0.00032824862477839634,0.6143960778487595,0
DFI,1,forward,IL34_3,IL34,0.00036415611593948943,0.6213044124201456,0
DFI,1,forward,RBMS3_3,RBMS3,0.00037402637016680976,0.5935225077997326,0
DFI,1,forward,LURAP1L_3,LURAP1L,0.0003396400935108459,0.60080225820829,0
DFI,1,forward,ADORA2B_3,ADORA2B,0.0003837519089317529,0.59679096716684,0
DFI,1,forward,PLK4_3,PLK4,0.0003847062337704207,0.5949338879809835,0
DFI,1,forward,NETO1_3,NETO1,0.000383371773522786,0.606522062100728,0
DFI,1,forward,TAGAP_3,TAGAP,0.0003665697541295786,0.6123904323280345,0
DFI,1,forward,OLFML1_3,OLFML1,0.0003672974184226036,0.5991680285247363,0
DFI,1,forward,NR2F1_3,NR2F1,0.0003996709694935581,0.5862427573911752,0
DFI,1,forward,IFI30_3,IFI30,0.00038985127434745906,0.60080225820829,0
DFI,1,forward,FAM180A_3,FAM180A,0.0003754423296279988,0.5848313772099243,0
DFI,1,forward,E2F7_3,E2F7,0.0004095070087574496,0.6014708067151984,0
DFI,1,forward,SGMS1_3,SGMS1,0.0004942316244213754,0.5647749220026742,0
DFI,1,forward,MPIG6B_3,MPIG6B,0.00039516209842345397,0.5791115733174863,0
DFI,1,forward,SMO_3,SMO,0.00043980646021650005,0.5883226860793345,0
DFI,1,forward,CARD9_3,CARD9,0.0004329780018074934,0.5983509136829595,0
DFI,1,forward,GPR183_3,GPR183,0.0004534742757511539,0.5970138166691428,0
DFI,1,forward,TMEM86A_3,TMEM86A,0.0004562915961138493,0.6111276184816521,0
DFI,1,forward,ABCC3_3,ABCC3,0.00045202510953913736,0.594785321646115,0
DFI,1,forward,LOC102154334_3,LOC102154334,0.0005460029241041369,0.5917768533650275,0
DFI,1,forward,DSN1_3,DSN1,0.00046159762697658795,0.5937453573020354,0
DFI,1,forward,ORC6_3,ORC6,0.0004969199737481079,0.5907740306046649,0
DFI,1,forward,GSAP_3,GSAP,0.0005075111365484015,0.6019165057198039,0
DFI,1,forward,SCTR_3,SCTR,0.0004361592313046912,0.5780716089734066,0
DFI,1,forward,PSAT1_3,PSAT1,0.0005137703773155383,0.6074134601099391,0
DFI,1,forward,SRM_3,SRM,0.0005211727180614272,0.6057049472589511,0
DFI,1,forward,TMEM59L_3,TMEM59L,0.0005233412917240138,0.5995394443619075,0
DFI,1,forward,SULT1C4_3,SULT1C4,0.0005458610946191421,0.5987223295201307,0
DFI,1,forward,XG_3,XG,0.0005279098757803383,0.6025850542267123,0
DFI,1,forward,LMO2_3,LMO2,0.0005459952092312466,0.6092705392957956,0
DFI,1,forward,LOC119875957_1,LOC119875957,0.0005394159348200756,0.6065963452681622,0
DFI,1,forward,INPP5D_3,INPP5D,0.0005278631950643114,0.6012479572128956,0
DFI,1,forward,NCKAP1L_3,NCKAP1L,0.0005418116154293955,0.5964938344971029,0
DFI,1,forward,LOC119877532,LOC119877532,0.0005263945610560515,0.5895854999257168,0
DFI,1,forward,UHRF1_3,UHRF1,0.0005665888880637219,0.589065517753677,0
DFI,1,forward,CDT1_3,CDT1,0.0005509659864913603,0.5960481354924974,0
DFI,1,forward,DENND1C_3,DENND1C,0.0005489177417750193,0.5994651611944734,0
DFI,1,forward,FAM107A_3,FAM107A,0.0005555470188467041,0.5909225969395335,0
DFI,1,forward,SKA3_3,SKA3,0.0005885619457332405,0.5972366661714456,0
DFI,1,forward,PTPN6_3,PTPN6,0.0005782916035239759,0.5982766305155252,0
DFI,1,forward,STX3_3,STX3,0.000588743997099251,0.5965681176645372,0
DFI,1,forward,OSR2_3,OSR2,0.0006033655470172974,0.6104219283910266,0
DFI,1,forward,MCM2_3,MCM2,0.0006122022832671662,0.598796612687565,0
DFI,1,forward,LOC119866898_3,LOC119866898,0.0005973065353699303,0.6117961669885604,0
DFI,1,forward,JCHAIN_3,JCHAIN,0.0005522632512821213,0.6246471549546873,0
DFI,1,forward,CCNA2_3,CCNA2,0.0006312619153841736,0.5959738523250632,0
DFI,1,forward,GTSE1_3,GTSE1,0.0006156610265886611,0.6038478680730947,0
DFI,1,forward,KLHL9_3,KLHL9,0.0007069894573819307,0.5984251968503937,0
DFI,1,forward,RBM44_3,RBM44,0.000640760414037726,0.5930396672114099,0
DFI,1,forward,SLC6A11_3,SLC6A11,0.0007265245773394943,0.5903283316000594,0
DFI,1,forward,FAM83D_3,FAM83D,0.0006006074284295383,0.5948596048135493,0
DFI,1,forward,AURKA_3,AURKA,0.0006468973527504871,0.5924082602882187,0
DFI,1,forward,TONSL_3,TONSL,0.0006452073428551416,0.5938196404694697,0
DFI,1,forward,UBE2C_3,UBE2C,0.0006408738124653426,0.5970138166691428,0
DFI,1,forward,STMN1_3,STMN1,0.0006720574663227441,0.5883226860793345,0
DFI,1,forward,SUSD1_3,SUSD1,0.0007128895801445434,0.595379586985589,0
DFI,1,forward,ELOVL4_3,ELOVL4,0.0006637532510616351,0.5964938344971029,0
DFI,1,forward,CBLN3_3,CBLN3,0.0006750616559815943,0.6021393552221067,0
DFI,1,forward,TRANK1_3,TRANK1,0.0006888920612281803,0.5990937453573021,0
DFI,1,forward,TMEM140_3,TMEM140,0.0006676721737770196,0.6016936562175011,0
DFI,1,forward,PIK3AP1_3,PIK3AP1,0.0006717061758713253,0.5970138166691428,0
DFI,1,forward,SPN_3,SPN,0.0006799435848248667,0.5806715198336057,0
DFI,1,forward,PRDM1_3,PRDM1,0.0007116673487124329,0.5981280641806567,0
DFI,1,forward,ITGBL1_3,ITGBL1,0.0007300920279703889,0.5911825880255535,0
DFI,1,forward,LDLRAD4_3,LDLRAD4,0.000799798328911268,0.5840885455355816,0
DFI,1,forward,STC1_3,STC1,0.0007351741427129354,0.6013965235477641,0
DFI,1,forward,RETSAT_3,RETSAT,0.0007360954719678286,0.598796612687565,0
DFI,1,forward,EPHA2_3,EPHA2,0.000780585655509447,0.6097162383004011,0
DFI,1,forward,HSP70_3,HSP70,0.0008604388733854247,0.5957510028227604,0
DFI,1,forward,IFIT2_3,IFIT2,0.0007826634956463126,0.5970880998365771,0
DFI,1,forward,LOC119874749_2,LOC119874749,0.0007525596139823944,0.5855742088842668,0
DFI,1,forward,B2M_3,B2M,0.0007879670360166581,0.6057049472589511,0
DFI,1,forward,SIVA1_3,SIVA1,0.0008464578740040207,0.5669291338582677,0
DFI,1,forward,PRKAR2B_3,PRKAR2B,0.0008069823522516422,0.6079334422819789,0
DFI,1,forward,RASSF5_3,RASSF5,0.0007960088249375681,0.588471252414203,0
DFI,1,forward,PARP4_3,PARP4,0.0008769308327803011,0.5647006388352399,0
DFI,1,forward,HNMT_3,HNMT,0.0008857705861178526,0.602807903729015,0
DFI,1,forward,DEPDC1_3,DEPDC1,0.0008493531802854378,0.5913682959441391,0
DFI,1,forward,RAB30_3,RAB30,0.0008412602425434132,0.5986480463526965,0
DFI,1,forward,VWA5A_3,VWA5A,0.0008373261396315435,0.603922151240529,0
DFI,1,forward,FCMR_3,FCMR,0.0008061531245531323,0.606522062100728,0
DFI,1,forward,TYMS_3,TYMS,0.0009218295174847862,0.5878769870747289,0
DFI,1,forward,PARP12_3,PARP12,0.0008641151914323263,0.5935967909671669,0
DFI,1,forward,TDRD7_3,TDRD7,0.001000031394310459,0.5863913237260436,0
DFI,1,forward,TMCC3_3,TMCC3,0.0009609941257660468,0.5658891695141881,0
DFI,1,forward,CYTH4_3,CYTH4,0.0009532426786982435,0.5824543158520279,0
DFI,1,forward,CDC6_3,CDC6,0.0009214601914608474,0.59679096716684,0
DFI,1,forward,PAPSS2_3,PAPSS2,0.001038483028569632,0.5620264448076066,0
DFI,1,forward,LAG3_3,LAG3,0.0009309356008990462,0.581042935670777,0
DFI,1,forward,LOC111091730_3,LOC111091730,0.0008825787680759536,0.594488188976378,0
DFI,1,forward,REXO5_3,REXO5,0.0009622486122599037,0.5874312880701233,0
DFI,1,forward,GMFG_3,GMFG,0.0009382817476441765,0.5862427573911752,0
DFI,1,forward,GPRC5C_3,GPRC5C,0.0009472549845672893,0.5895854999257168,0
DFI,1,forward,ARRB1_3,ARRB1,0.0010515644216616234,0.5800772544941316,0
DFI,1,forward,SERTM1_3,SERTM1,0.00095869579703351,0.5997622938642103,0
DFI,1,forward,LAPTM5_3,LAPTM5,0.0009699152827159838,0.5969395335017085,0
DFI,1,forward,RNASEL_3,RNASEL,0.0009788239844626464,0.599390878027039,0
DFI,1,forward,E2F8_3,E2F8,0.001052295029827566,0.5958252859901946,0
DFI,1,forward,LOC106559420_3,LOC106559420,0.0009683875426043858,0.5915911454464419,0
DFI,1,forward,NCF4_3,NCF4,0.001029042195962532,0.6077105927796761,0
DFI,1,forward,ATP8B4_3,ATP8B4,0.001010295591296258,0.5843856782053187,0
DFI,1,forward,TROAP_3,TROAP,0.0010248391041345994,0.593076808795127,0
DFI,1,forward,LOC106557828_3,LOC106557828,0.0010109704512323483,0.5875055712375575,0
DFI,1,forward,HELLS_3,HELLS,0.0010613163659457293,0.5933739414648641,0
DFI,1,forward,TNFRSF14_3,TNFRSF14,0.0010417089979871488,0.6143960778487595,0
DFI,1,forward,STING1_3,STING1,0.0010724546229025887,0.6020650720546724,0
DFI,1,forward,RRM2_3,RRM2,0.0010995973460818163,0.5909225969395335,0
DFI,1,forward,UBE2T_3,UBE2T,0.0011300396410771955,0.5851285098796613,0
DFI,1,forward,PBK_3,PBK,0.0011462232875626623,0.5826771653543307,0
DFI,1,forward,TAF9B_3,TAF9B,0.0012788707728009366,0.6059277967612539,0
DFI,1,forward,LOC106559497_3,LOC106559497,0.001134903105663365,0.5837171296984104,0
DFI,1,forward,FAXDC2_3,FAXDC2,0.0011367073952269166,0.5941167731392066,0
DFI,1,forward,LOC119878234,LOC119878234,0.0010518388701221462,0.5672634081117219,0
DFI,1,forward,PTK2B_3,PTK2B,0.0011764705390310743,0.5817114841776854,0
DFI,1,forward,ANXA3_3,ANXA3,0.0011600747723709277,0.5973109493388798,0
DFI,1,forward,ADA2_3,ADA2,0.0011385470843330741,0.6038478680730947,0
DFI,1,forward,PARP9_3,PARP9,0.001191493605916572,0.5976080820086168,0
DFI,1,forward,SLC13A5_3,SLC13A5,0.0012021132293020228,0.5873941464864062,0
DFI,1,forward,SLC6A6_3,SLC6A6,0.0011665693527872763,0.5802258208290001,0
DFI,1,forward,ORC1_3,ORC1,0.0012490899485898437,0.6030307532313178,0
DFI,1,forward,SYTL1_3,SYTL1,0.0012345935960183815,0.6060020799286882,0
DFI,1,forward,BIRC5_3,BIRC5,0.0012440828734830431,0.5724260882484029,0
DFI,1,forward,KIF22_3,KIF22,0.0012581815296672293,0.5979794978457882,0
DFI,1,forward,NCAPG_3,NCAPG,0.0012775498564271638,0.5893626504234141,0
DFI,1,forward,DBF4B_3,DBF4B,0.0013586197991088537,0.5947110384786807,0
DFI,1,forward,GBP6_3,GBP6,0.0012580095995703,0.6090476897934928,0
DFI,1,forward,FN1_3,FN1,0.0013912786592000387,0.5735403357599168,0
DFI,1,forward,RENBP_3,RENBP,0.0013529113875304288,0.5915168622790076,0
DFI,1,forward,PIANP_3,PIANP,0.0013140705849974583,0.5791858564849205,0
DFI,1,forward,ANKRD22_3,ANKRD22,0.001291664351593694,0.5940424899717724,0
DFI,1,forward,PTPRJ_3,PTPRJ,0.0013690686631091023,0.5992423116921706,0
DFI,1,forward,CCNB3_3,CCNB3,0.001401850490414126,0.5949338879809835,0
DFI,1,forward,IGFBP5_3,IGFBP5,0.001360535607826759,0.5866141732283464,0
DFI,1,forward,CSRP2_3,CSRP2,0.001328413198147662,0.5809686525033427,0
DFI,1,forward,TOP2A_3,TOP2A,0.0014131281334661377,0.5941167731392066,0
DFI,1,forward,PTPRC_4,PTPRC,0.0013632469476697782,0.6046649829148715,0
DFI,1,forward,DTX3L_3,DTX3L,0.001415202538040899,0.5941167731392066,0
DFI,1,forward,ATAD2_3,ATAD2,0.0014751008900261806,0.5802258208290001,0
DFI,1,forward,KIF15_3,KIF15,0.001406583121025289,0.593076808795127,0
DFI,1,forward,APOBR_3,APOBR,0.0014259508174690068,0.5826771653543307,0
DFI,1,forward,H2AX_3,H2AX,0.001495704375596148,0.5624721438122121,0
DFI,1,forward,LOC119879410,LOC119879410,0.0014890968161367366,0.5834942801961076,0
DFI,1,forward,CHST2_3,CHST2,0.0015905477536332247,0.5782201753082752,0
DFI,1,forward,ADAM19_3,ADAM19,0.0015378238305253286,0.6006536918734214,0
DFI,1,forward,NCAPH_3,NCAPH,0.001430413892827883,0.5920368444510474,0
DFI,1,forward,POLQ_3,POLQ,0.0014372054258002312,0.5733917694250483,0
DFI,1,forward,SLC5A6_3,SLC5A6,0.0014943647213403017,0.5924082602882187,0
DFI,1,forward,MTFR2_3,MTFR2,0.0014662458580513421,0.5898826325954538,0
DFI,1,forward,TYROBP_3,TYROBP,0.0014784255049708768,0.598202347348091,0
DFI,1,forward,TRIM14_3,TRIM14,0.0015080271008939062,0.5857227752191353,0
DFI,1,forward,CDC20_3,CDC20,0.0014541926670517532,0.5864656068934779,0
DFI,1,forward,ST8SIA5_3,ST8SIA5,0.0014334010703909547,0.5983509136829595,0
DFI,1,forward,CDCA7_3,CDCA7,0.0015508889362796552,0.5803001039964344,0
DFI,1,forward,HSD11B1_3,HSD11B1,0.001470618491336198,0.5768087951270242,0
DFI,1,forward,ADAMTS1_3,ADAMTS1,0.0014831680489335412,0.5882484029119002,0
DFI,1,forward,LPXN_3,LPXN,0.0014570812959292276,0.612538998662903,0
DFI,1,forward,ARL4D_3,ARL4D,0.0015514302181871874,0.5958995691576289,0
DFI,1,forward,TMEM178A_3,TMEM178A,0.0022518676163944657,0.5225820829000148,0
DFI,1,forward,MAP1LC3C_3,MAP1LC3C,0.0015638714207015757,0.5835685633635418,0
DFI,1,forward,KIF18B_3,KIF18B,0.001629580189932031,0.6021393552221067,0
DFI,1,forward,LOC119876044,LOC119876044,0.0015573591653248802,0.5929653840439756,0
DFI,1,forward,CENPT_3,CENPT,0.0016074843812103458,0.5985737631852622,0
DFI,1,forward,EVI2A_3,EVI2A,0.0016273095689994291,0.6006536918734214,0
DFI,1,forward,ARHGDIB_3,ARHGDIB,0.0016415515382421256,0.5863170405586094,0
DFI,1,forward,NMRAL1_3,NMRAL1,0.0016674353518459333,0.5829742980240677,0
DFI,1,forward,SPAG5_3,SPAG5,0.0016776647450665594,0.5843856782053187,0
DFI,1,forward,HSP90AA1_3,HSP90AA1,0.0017872457818451468,0.5854256425493983,0
DFI,1,forward,GPRIN1_3,GPRIN1,0.0018273031579861048,0.5837171296984104,0
DFI,1,forward,LOC489911_3,LOC489911,0.0017834582632496568,0.5652206210072798,0
DFI,1,forward,CLTCL1_3,CLTCL1,0.001711584683005006,0.594785321646115,0
DFI,1,forward,CENPI_3,CENPI,0.0017274834531986146,0.5862427573911752,0
DFI,1,forward,IFI35_3,IFI35,0.0018210471752339898,0.595082454315852,0
DFI,1,forward,LAMA3_3,LAMA3,0.001795379443343452,0.5859456247214381,0
DFI,1,forward,FGL2_3,FGL2,0.0018255241615438653,0.6100133709701382,0
DFI,1,forward,ITGAX_3,ITGAX,0.0018405668057177131,0.5788887238151835,0
DFI,1,forward,TK1_3,TK1,0.0018836580550430182,0.5723518050809686,0
DFI,1,forward,KIF4A_3,KIF4A,0.0018742772605288911,0.6028821868964492,0
DFI,1,forward,CD244_3,CD244,0.0016331690667745452,0.5969766750854256,0
DFI,1,forward,TRIM34_3,TRIM34,0.0017901426651691621,0.6180359530530382,0
DFI,1,forward,PID1_3,PID1,0.0018240672776201898,0.5860941910563067,0
DFI,1,forward,HSPH1_3,HSPH1,0.002017406234671953,0.5886198187490714,0
DFI,1,forward,ZBED2_3,ZBED2,0.001916746026135372,0.571311840736889,0
DFI,1,forward,SYK_3,SYK,0.0019285820573773213,0.5903283316000594,0
DFI,1,forward,JAML_3,JAML,0.0018503798629216695,0.6064477789332937,0
DFI,1,forward,CCNB2_3,CCNB2,0.0019216034207920694,0.5803743871638687,0
DFI,1,forward,PAG1_3,PAG1,0.0018748828855106082,0.5681919477046501,0
DFI,1,forward,LOC111090004_3,LOC111090004,0.0019482865232949612,0.5786658743128807,0
DFI,1,forward,PLCXD2_3,PLCXD2,0.0018901943180980464,0.5664834348536621,0
DFI,1,forward,GAB2_3,GAB2,0.0019730644337273414,0.5849799435447928,0
DFI,1,forward,BTK_3,BTK,0.0019847999173878534,0.594488188976378,0
DFI,1,forward,UBA7_3,UBA7,0.0019864284954673626,0.601099390878027,0
DFI,1,forward,MCAM_3,MCAM,0.0019579754521672995,0.5862427573911752,0
DFI,1,forward,PAPPA_3,PAPPA,0.002040322238992984,0.5728717872530085,0
DFI,1,forward,PIK3CG_3,PIK3CG,0.0020330401871662372,0.5897340662605853,0
DFI,1,forward,RAB29_3,RAB29,0.0019643322905550887,0.5936710741346011,0
DFI,1,forward,GBP1_3,GBP1,0.0019618329060305415,0.6149903431882335,0
DFI,1,forward,PRKX_3,PRKX,0.002188708573781809,0.5637349576585946,0
DFI,1,forward,SH3D19_3,SH3D19,0.0020606356784218832,0.5781458921408409,0
DFI,1,forward,STK39_3,STK39,0.002023098552910926,0.5863913237260436,0
DFI,1,forward,PGAP1_3,PGAP1,0.0022172763661689734,0.5866141732283464,0
DFI,1,forward,CEP72_3,CEP72,0.002198618633134844,0.5821571831822909,0
DFI,1,forward,KIF23_3,KIF23,0.0021806480425250415,0.5938939236369039,0
DFI,1,forward,MCTP1_3,MCTP1,0.0021540166626448864,0.6104590699747438,0
DFI,1,forward,NSMCE2_3,NSMCE2,0.0023174959834583947,0.5782944584757094,0
DFI,1,forward,FERMT3_3,FERMT3,0.0021982374283039162,0.5929282424602585,0
DFI,1,forward,IGFBP3_3,IGFBP3,0.0021971346326786177,0.5857227752191353,0
DFI,1,forward,DOCK2_3,DOCK2,0.0021200778996278593,0.5953053038181548,0
DFI,1,forward,EHD3_3,EHD3,0.002151160331571616,0.5701233100579409,0
DFI,1,forward,OSBPL3_3,OSBPL3,0.0021768767028163835,0.5972366661714456,0
DFI,1,forward,SLCO3A1_3,SLCO3A1,0.00229725044958599,0.5814143515079483,0
DFI,1,forward,C1S_3,C1S,0.002307370786889924,0.5834199970286733,0
DFI,1,forward,DRAM1_3,DRAM1,0.002267663150453984,0.5988708958549993,0
DFI,1,forward,CDCA2_3,CDCA2,0.00226994327266897,0.5861684742237409,0
DFI,1,forward,MYO1G_3,MYO1G,0.0021916408216124308,0.5946367553112465,0
DFI,1,forward,LOC488622_3,LOC488622,0.0022946110814486133,0.5984994800178279,0
DFI,1,forward,PTAFR_3,PTAFR,0.002285972795616626,0.5831971475263705,0
DFI,1,forward,FAS_3,FAS,0.002501107391094811,0.5660377358490566,0
DFI,1,forward,TIMD4_3,TIMD4,0.002471604916430596,0.6030307532313178,0
DFI,1,forward,CLSPN_3,CLSPN,0.0025184426244749553,0.5863913237260436,0
