gene,gene_symbol_clean,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score
PSMB10_3,PSMB10,-0.0445227136323924,0.9564538753051732,0.5657456631991579,0.743423998947645,0.5349130886941019,-0.0339155429671096,0.9666531418462344,0.687199812991111,0.838253004380472,0.5339409930438954,True,7904.0
CGNL1_3,CGNL1,0.0491478943573308,1.0503756838900218,0.5668830334231962,0.7445224741266033,0.5160451641658,-0.0498807842922213,0.9513428327497038,0.5812150361058058,0.7761412360236601,0.5198688734308787,False,7548.0
SNRPN_3,SNRPN,-0.0517441895238879,0.949571746176518,0.5670174868666957,0.7445224741266033,0.494280196107562,-0.1218247229230384,0.8853035283189178,0.1787912985646318,0.4510343461303126,0.5153913808267371,True,5787.0
MYLK2_3,MYLK2,0.0473788795566763,1.04851919632011,0.5670283162948211,0.7445224741266033,0.4815406328925865,0.0926158845126957,1.097040264170812,0.2575400556447245,0.5294646180876158,0.4904853282161989,True,6240.0
CAP2_3,CAP2,0.0485172542656856,1.0497134836994126,0.5684405694500564,0.7457261495023983,0.5026370524439162,0.1487493850731309,1.160382143679414,0.0976044528214271,0.3374981079579086,0.5265451347245542,True,5255.0
PDE1A_3,PDE1A,-0.0483383056291404,0.952811391089276,0.5685162104427042,0.7457261495023983,0.5238448967463972,-0.0325184567802685,0.9680045834185332,0.726199959016155,0.8561659502666292,0.523187015271448,True,8051.0
DACT1_3,DACT1,0.0540124147594292,1.0554977058238364,0.5685310344717176,0.7457261495023983,0.5033427425345417,-0.039565875070175,0.9612066323506036,0.6909556374053067,0.8397752945708655,0.5258655153114256,False,7924.0
LOC119878754,LOC119878754,-0.0478521738368337,0.9532746956029592,0.5686248833835948,0.7457261495023983,0.5089139800921111,-0.0706103660539309,0.9318248920141814,0.4338388063527453,0.6752951025420304,0.5345006796194132,True,7023.0
FBXO32_3,FBXO32,0.0506435407784866,1.0519478499316852,0.568690761610529,0.7457261495023983,0.5130738374684296,0.117134659089113,1.124270812781319,0.1883576674506462,0.4600822360787647,0.5194690973055089,True,5860.0
LRATD2_3,LRATD2,-0.0551061113390266,0.946384720475407,0.5693510365463088,0.7462671973866069,0.5196850393700787,-0.0593357735052588,0.9423902863370348,0.5127527780577859,0.7320164653506155,0.4998800671623891,True,7315.0
PAK3_3,PAK3,-0.0482520004799262,0.9528936271672044,0.5694018716059811,0.7462671973866069,0.5132966869707324,-0.0705235762821963,0.9319057683934264,0.4349234226892314,0.6754358632158218,0.5241065003597986,True,7034.0
USP53_3,USP53,-0.0478300415856698,0.9532957939514268,0.5697003773389407,0.7463511427111569,0.5320903283316001,-0.0563080688934975,0.9452478895593148,0.538601268906515,0.7476419612805595,0.5398576796993684,True,7418.0
PNCK_3,PNCK,-0.0482592777115039,0.9528866927648424,0.5697644623456971,0.7463511427111569,0.5279676125389987,-0.0427015625550847,0.9581973093571264,0.6490624208481159,0.8188131353355609,0.5300631646278084,True,7778.0
ADGRD1_3,ADGRD1,-0.0467004014477254,0.954373283616814,0.5701710023273105,0.7466109546927273,0.5074283167434259,-0.0347031778778093,0.9658920718471744,0.6942094880073418,0.8424872427273566,0.4978811865355401,True,7938.0
ABCA5_3,ABCA5,0.0465543741790275,1.0476550429027007,0.5702614471943052,0.7466109546927273,0.5184222255236963,0.0333181794883265,1.0338794461459817,0.7098966932335351,0.8478338271907001,0.5155512912768849,True,8004.0
IGSF10_3,IGSF10,0.0476659557326058,1.048820244411178,0.5704445697569951,0.7466551960170094,0.5110681919477047,-0.0425279159885725,0.958363711477098,0.6306987671334869,0.8106161463003144,0.5206684256816183,False,7709.0
SLC5A3_3,SLC5A3,-0.0489568958845458,0.9522221735084248,0.5708124675289032,0.7469412032568742,0.5161194473332343,0.0146133131047991,1.0147206095799848,0.8756282717778625,0.9433616373387876,0.5067562165187495,False,8462.0
LOC119877901,LOC119877901,0.048370565180475,1.049559513481907,0.5712103709723093,0.7472663147204465,0.5065369187342148,0.1208607278546813,1.128467737299847,0.1565352137507631,0.423159748278258,0.5124730151115375,True,5671.0
BDKRB2_3,BDKRB2,-0.0484697881141636,0.9526861213153884,0.5713636610954158,0.7472713328477841,0.5337245580151537,-0.0808485922868539,0.9223333292533612,0.3828054030168155,0.6346243418713785,0.5399376349244424,True,6839.0
DLX4_3,DLX4,0.0494099568864534,1.050650984069626,0.5716879573996477,0.7473706937205578,0.5195364730352102,0.0951301251281243,1.0998019576859368,0.3199299478584803,0.5812680738707854,0.5435356200527705,True,6576.0
PPBP_3,PPBP,-0.0499421051982526,0.9512844973338618,0.5717767684247554,0.7473706937205578,0.5002228495023028,-0.1123997402535032,0.8936869434433848,0.2417615772087221,0.5135261013661917,0.5217877988326537,True,6178.0
LOC119877044,LOC119877044,0.0463030215039772,1.0473917450968273,0.5719711677448953,0.7473706937205578,0.5239191799138315,0.1459185359534627,1.157101922006379,0.0960740217713199,0.3352477461231317,0.5575277844407132,True,5258.0
GCLM_3,GCLM,0.0478360338566775,1.0489986409610812,0.5720375289737148,0.7473706937205578,0.5118110236220472,-0.0650545874832053,0.9370163126190922,0.4572132942346163,0.6896128118169175,0.5237866794595026,False,7142.0
SYT8_3,SYT8,0.0475288521266082,1.0486764572307217,0.5722111875998038,0.7474022826538712,0.5175679690982024,0.0637938261400713,1.0658726210336018,0.4542044731742721,0.6863179488852637,0.5319820900295834,True,7136.0
SORBS2_3,SORBS2,-0.0444854085732281,0.9564895565391206,0.572818892138278,0.7477431671937976,0.5176051106819195,-0.0653062016808007,0.9367805756700842,0.4562641427205681,0.6885599981009272,0.5377788438474455,True,7142.0
STON2_3,STON2,0.0468087744958298,1.0479216005822565,0.5728890056346383,0.7477431671937976,0.5230277819046204,0.0960968342537842,1.1008656603375424,0.2789335676494773,0.5508166817722695,0.5295434556648277,True,6362.0
AUTS2_3,AUTS2,-0.0451884386688053,0.9558173519124962,0.5729208147038878,0.7477431671937976,0.5055712375575695,-0.0685083663919211,0.9337856476541432,0.4218820703592187,0.6662698521150012,0.513472455424962,True,6997.0
MYOT_3,MYOT,0.0481001867154149,1.0492757735519742,0.5732299321544397,0.7479513728528703,0.4943173376912791,0.1099910995741018,1.1162681351528376,0.2214085363207705,0.494075441926205,0.5049572239545854,True,6072.0
