module_label,TARGET_OS_HR_per_SD,TARGET_OS_CI_low,TARGET_OS_CI_high,TARGET_OS_primary_p,TARGET_OS_projectwide_q12,TARGET_OS_fixed_direction_C_index,GSE21257_AUC,GSE21257_AUC_CI_low,GSE21257_AUC_CI_high,GSE21257_primary_p,GSE21257_projectwide_q12,GSE21257_average_precision,GSE39055_RFS_HR_per_SD,GSE39055_RFS_CI_low,GSE39055_RFS_CI_high,GSE39055_RFS_primary_p,GSE39055_RFS_projectwide_q12,GSE39055_fixed_direction_C_index,n_projectwide_fdr_supported_settings
M34,1.4673526696093713,1.006753384555201,2.138680524983813,0.0460449626795332,0.1262434734855854,0.6407766990291263,0.7786377708978328,0.6470588235294118,0.8947368421052632,0.0008709092010055,0.010450910412066,0.8772848407004674,0.8064440624284793,0.5090348336254141,1.277617920947089,0.359483695206541,0.4704245712962115,0.4702970297029702,1
M11,1.1843931528098284,0.7771118142123961,1.805129087947958,0.4312225236881939,0.4704245712962115,0.5315533980582524,0.6857585139318886,0.5185758513931888,0.8359133126934984,0.0266650807633984,0.1228603358844324,0.7705028496522314,1.2131747420362171,0.787093286474147,1.8699091708781648,0.3813516794449209,0.4704245712962115,0.5717821782178217,0
M24,0.8360308932203917,0.5767025238321625,1.2119725951161269,0.3445295979336989,0.4704245712962115,0.4089805825242718,0.6811145510835914,0.5356037151702786,0.8173374613003097,0.0307150839711081,0.1228603358844324,0.8425040506146054,0.88617265418597,0.5585244107375134,1.4060298134329368,0.607888962456079,0.607888962456079,0.4356435643564356,0
M40,1.184486091591679,0.7906861811853468,1.7744173789288076,0.4116158015361447,0.4704245712962115,0.5625,0.6625386996904026,0.5061919504643964,0.8095975232198143,0.0526014472856606,0.1262434734855854,0.776095357392547,0.7834323625032519,0.448881882533127,1.3673224304661735,0.3903692885019628,0.4704245712962115,0.4554455445544554,0
