,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
100_0514_tumor,-16.879887489208265,5.0240683949096,4.061961091015826,6.478398913076859,19.16030738825354,-8.778166270692306,-6.604317582540415,4.8311268187384355,-0.5779306930899153,4.9752781898759455
101_0518_tumor,18.424865361091268,13.669264410767434,4.258945162236888,-9.958042798417866,21.45500631013724,-7.08661745419798,5.271081605416949,7.758794080531986,-1.4126862613764364,6.557548376146803
102_0619_tumor,34.315755494441,13.156070057685104,5.803416686490164,-16.781111566653156,16.702498839975835,-7.336344773383123,0.6749750435476174,-5.121928683087036,-0.899283543788099,11.696653740780416
103_0639_tumor,3.45874779595862,-18.239023093679396,-0.665871143586972,-15.938104724307097,-4.379313515972395,-0.9776199187758166,-17.66683819126495,-12.203985783948301,-1.8000155991674256,4.949041699785852
104_0702_tumor,-6.5076351300654585,-11.538722270447186,-8.216562583060758,-6.137164122653575,9.40239033184396,-8.986794692570278,10.161147555473965,7.436329007376323,-1.022238456725804,6.576407280177476
105_0710_tumor,-5.529323625283191,-1.8704200559795756,1.411987357286459,-0.5909636413027065,1.3348105404605703,0.39135528849863144,-23.97564899376748,-10.035495951488732,15.600579368471893,13.096897411627102
106_0716_tumor,-28.821902630839258,13.537323925490082,-4.7297810260056705,9.702998339023397,-15.231183931028406,-17.565069329637407,-11.41533590739933,13.46767366623528,-5.664840403268138,-0.06721413427159922
107_0719_tumor,-35.521068162530234,0.22047711623179841,3.744838207935173,-5.742683487930152,14.078641641845346,6.983467008462214,7.654253428951935,-8.731985701325677,-0.7240381017096912,-12.336061520111945
108_0720_tumor,-15.621942149786747,-21.864979160414634,1.775417488620575,-13.957791604757956,5.100647571524441,13.13534384949141,9.817353801079218,11.508137034433956,7.870313862646889,-16.694553299681736
109_0721_tumor,-2.8082945265882207,-30.839296971334605,-6.0533297414819955,3.148570399931227,-4.878457913499202,-6.178651708690294,1.9646108549564736,9.0646572963723,9.903157358088281,8.298085862088662
10_0512__Tumor,-9.102576219782915,-1.0664188009528885,-8.366806678723668,11.115138009836006,16.479017942453453,-16.639894591185055,6.504129041431559,-2.231524927456128,25.925781704341077,-17.516288985246895
110_0522_tumor,15.183681569503051,-3.673058286427865,34.08658122603788,4.471740265794461,12.653379958799583,-4.4089111290615035,-18.25413852160574,-0.9439274454535556,-3.6747291317325144,-2.9116163915052073
111_1708_tumor,-11.78532179651584,33.7818091287364,3.2439480190125387,13.668726851739248,-11.723969821581399,-8.767930609178238,-7.095456150671758,-4.9445470732481365,-1.9626157960232067,2.6723120983043867
112_0502_tumor,1.7388988202832432,-9.713112455834485,-11.917331432760674,-16.854402172221878,8.633807786203986,9.236161261556935,-24.557215767426054,-17.033959988868446,7.565295137361214,-6.836972324871388
113_1010_tumor,0.8808384840613329,-9.679844476736188,23.34313380394544,-40.57774282051804,-16.933730138436914,11.81540267272158,4.357651864892521,24.087140967398792,21.279162327968702,19.052400082395675
114_1704_tumor,26.25964473602174,30.47080113010796,-14.720737298253335,-4.074658232658869,4.204630873931046,-11.550888432096041,14.919567043921372,-5.5080212860703,-7.328316974068082,1.4553347271237402
115_2318_tumor,-8.140618633308163,-29.581501354331323,-12.034184835430835,3.963775220325019,-10.922393583405144,-0.258117007170127,19.081511272968598,7.675486567941433,10.63219016914208,1.0070047568718794
116_0506_tumor,-1.0990206275518948,6.424169960127889,1.047136633260283,-15.100245211077622,-0.7320607867292834,-7.861509882916164,-14.859496189994342,11.56894410352373,9.147769777938258,3.869181919965236
117_1011_tumor,-45.82450996569922,3.865071416646187,23.075516095761515,35.08807379122055,6.769049668036046,1.03569877103766,-0.28541808072846264,13.591668506178587,3.7668150163604337,-29.400399149806653
118_2304_tumor,-20.576824620296854,8.202443778450437,-11.978887763602666,2.7367505341077116,5.804483589876191,1.822706476786338,-29.824853249467882,-8.157727110483616,1.8244289245619014,-8.52703600377691
119_0516_tumor,-19.62073989745176,12.925632450349005,-5.16270672046688,26.19627168784146,-5.441505162746392,11.58989698027385,-17.360086019007603,-3.1986729263254445,16.188264719800383,-3.1104064191611966
11_0602__Tumor,-20.26499237148551,1.7586733295105625,13.733326666525253,-14.329372214842294,3.9240195203461856,4.2547405540623675,-3.412924906747125,-11.981224607056328,1.780095289227495,8.947994401342484
120_2306_tumor,1.1603185042582769,8.572582180150944,14.287696072662099,-12.442471533625502,2.498986158010233,1.6540269039208948,-14.366178232800381,-8.527407622659057,11.185357583997469,10.081924849008605
121_2322_tumor,-15.508038824807635,-24.507521415838145,-17.47639954662178,2.0963047703982336,-4.87416371306615,5.598329710687918,8.206012694512566,-12.59870857469296,0.06952996875502673,-1.9935766298553508
122_0504_tumor,-29.266156879682022,-2.4992057331437576,12.869695049209225,-23.711024981509254,23.4472702312705,-0.330878498310083,-6.455178041841774,-3.004387286724134,-0.30900267126304193,-7.713897264921712
123_2316_tumor,10.588853705255403,-14.523092022492373,23.75916321199524,-0.5938894253299757,10.247312168362237,-6.1316633384645876,7.636368424982719,-12.735476992746047,-2.137033454378067,2.4154773081458223
125_2004_tumor,-1.6429772619089538,10.985172599497341,-1.7568955539855076,23.502746114357357,1.614943814731977,-4.385313768474967,2.9388276014493013,-10.34896592214288,26.515093944004285,-2.3819642045270903
126_0228_tumor,-21.55885035282975,21.039655496508825,-4.733903402513801,-13.047168022917019,-26.911928693696,-3.0867135391738585,6.559368835693223,15.542761334644048,-2.2436055897321467,12.249436769006186
127_2010_tumor,-15.929089197726679,4.222339638286751,9.099457561117884,2.5505050539904497,0.15405421921230064,35.337450998471176,4.0414736507694204,-0.6246204806389618,16.10035462242026,11.862444538478298
128_1023_tumor,45.04286586623348,28.374146862471086,15.387036547345513,-29.465800682069695,14.945558973710604,1.3574358602655308,3.434157846546665,11.68096255261741,15.616192948583397,3.4721771737962888
129_1414_tumor,-3.095791874730217,-9.889564122637413,4.813039841890194,1.0751643026102984,13.551539256341457,4.45863966033142,3.5173688948324258,-1.21608427048371,8.527412846508199,7.844109721431507
12_0608__Tumor,-39.44033410446919,9.506913180156625,4.551987973539588,1.857970937646849,10.595777001591447,-3.866552735550497,2.4718574556336415,-5.024673028944309,-6.354760953085512,-0.24746617735316462
131_2012_tumor,-0.8805783037696489,-11.98936556133003,-24.45589769788786,12.574150489803445,-25.41945067691943,3.592205409144571,-14.001884955529984,-0.5733484107531065,-14.654426936313149,3.0476435021215966
132_1025_tumor,-36.10787463631754,39.670155735849576,-4.858468884728135,-7.55199129648803,-21.36818116881317,-2.911934038353289,1.1453432823183385,1.4822821812854705,2.2558061580032716,-7.313196817411152
133_0907_tumor,42.145697462799795,30.460908615606083,-27.314990136779258,27.952591233965315,2.4141042665127146,33.898887888129124,6.317423233847245,9.450133908699751,5.945001320850634,3.5830936721218363
134_2208_tumor,-8.148522280844965,1.9508639914038624,13.483776779308233,-7.286000937197384,4.29308586025854,9.442902040587395,-19.299688701284786,-13.379183722557762,23.88557806403533,5.75437405689089
135_0102_tumor,-29.623289182956754,-21.137220920486087,6.838720832088934,-13.273759739952562,16.368540105508952,6.932703703997559,-12.92976829644117,-2.374141360828429,-7.0694444335369635,-14.217110477139926
136_0105_tumor,-7.553174849918,-27.417246731580295,9.011755281856525,1.7523537576533181,-3.4004298088107205,8.10707644764786,3.509527519334403,-1.6895670558586116,-3.3175416630253065,11.512571017037839
137_0106_tumor,32.2668839845067,-16.54104921447378,-12.885016983166528,-10.810499089704726,-5.7491477272955445,6.426685851552321,-22.466844660622613,0.8266316854138587,14.996685614983463,5.753359379627177
138_0314_tumor,-8.282357030125823,17.26006920788554,-20.840190866956675,-25.942039175003405,-24.964671486554856,-1.9072336027231975,-22.192661214567977,2.0532287014356276,9.522323809987558,-0.008375576203034132
139_0733_tumor,5.794147676919316,15.873247156964492,3.3724527940509543,-46.4658324551136,7.685210411273462,10.415067740428318,-12.666786742341136,1.5482192369717027,1.4787535918805508,-21.108521758005388
13_0613__Tumor,-37.08570718729374,-0.5023857290452498,10.987774958282854,-25.631359773609514,4.608527195693139,10.020023512708459,17.895983383389517,-6.991741222476893,-12.015958806728715,-14.16365039923231
140_0905_tumor,41.99304377807855,45.35196711892161,-15.121276624708582,-10.146170456553769,-2.1922692093078426,3.0916364269723906,8.32221879310227,-6.626702267517358,3.2253550289538797,-3.115804877707714
141_1707_tumor,14.026688278126667,-8.118906436006077,-20.789390071326046,-5.333950245213319,14.192195791042062,4.152508387015978,-20.948767358921973,-19.04543259598094,-4.617302462610553,-1.1336792550311334
142_1710_tumor,-1.0003843925121851,5.811047095880423,-3.954894893415995,-7.5499431290273264,-9.330194221526705,-6.11920650730932,6.6753238576697145,1.9082313814185392,8.382132017537451,22.7322737963733
143_1916_tumor,29.299048095800355,24.093233044093928,1.3600721165097371,-21.00200580727872,12.647023335161032,-8.900564329406908,4.379010398580916,-4.934758065664412,11.11221013354754,1.3823792443751601
14_0614__Tumor,46.628864794063325,-17.073517499871073,32.73160118376482,-2.369815249628744,3.1880037513685173,-5.166914852063808,11.953509790425048,5.843278672930906,-1.307641029412387,8.197436403399214
