pc,explained_variance_ratio,cumulative_explained_variance
PC1,0.1275442672144485,0.1275442672144485
PC2,0.07987585372533487,0.20742012093978338
PC3,0.05982479611766143,0.2672449170574448
PC4,0.04562092679361132,0.3128658438510561
PC5,0.03502819465371091,0.347894038504767
PC6,0.032325466726629046,0.3802195052313961
PC7,0.026769363633517264,0.40698886886491337
PC8,0.024715362501264253,0.43170423136617764
PC9,0.021637849824339344,0.453342081190517
PC10,0.018655530554747196,0.4719976117452642
