analysis,module_label,endpoint,fold,n_module_genes,n_strict_symbol_concordant,n_strict_one_to_one,n_broad_transferable,n_manual_review,fraction_strict_symbol_concordant,fraction_strict_one_to_one,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,broad_human_symbols,module_transfer_qc_tier
nested_cv,M14,DFI,2.0,106,76,76,87,11,0.7169811320754716,0.7169811320754716,0.8207547169811321,5,CYP4V2;TLR3;SAMD9L;ALOX5;HACD4;ZMAT1;TLR7;TRANK1;ENPP5;TAPBPL;PARP15;TNFAIP8L2;RGS18;JCHAIN;MOSPD2;BATF2;CARD9;ACOD1;ABCC3;ADGRF1;TBC1D9;PAG1;PTPN6;CSF1R;KIAA0040;OSR2;TAGAP;PARP9;RASSF5;ATP8A1;NCKAP1L;PTPRJ;PIK3AP1;BLNK;HNMT;GSAP;JAML;RNASEL;GBP1;GMFG;PYCARD;CASP8;SCEL;IFI35;OAS3;GAB2;INPP5D;CD244;GPSM3;DTX3L;DENND1C;B2M;FLT3;SERPINB9;GPR183;NCF4;RNF213;TMEM140;TMEM86A;DHX58;CLEC12A;PTAFR;PTPRO;IRF1;DOCK2;ARRB1;BTK;AKNA;SP100;PIK3CG;CBLN3;APBB1IP;CTSH;MYO1G;LAPTM5;SCTR,CYP4V2;TLR3;FMO5;SAMD9L;APOBEC3H;ALOX5;HACD4;P2RX7;IFIT3;EVI2B;ZMAT1;TLR7;TRANK1;ENPP5;TAPBPL;PARP15;TNFAIP8L2;RGS18;JCHAIN;MOSPD2;BATF2;CARD9;ACOD1;PARP4;ABCC3;ADGRF1;TBC1D9;PAG1;PTPN6;CSF1R;KIAA0040;OSR2;TAGAP;PARP9;RASSF5;SELPLG;ATP8A1;NCKAP1L;PTPRJ;FCMR;PIK3AP1;BLNK;HNMT;ASAH1;GSAP;JAML;RNASEL;GBP1;GMFG;PYCARD;CASP8;SCEL;IFI35;OAS3;GAB2;INPP5D;CD244;GPSM3;DTX3L;DENND1C;B2M;FLT3;LMO2;SERPINB9;GPR183;NCF4;RNF213;TMEM140;TMEM86A;DHX58;CLEC12A;PTAFR;PTPRO;IRF1;DOCK2;ARRB1;BTK;AKNA;SP100;PIK3CG;CBLN3;APBB1IP;CTSH;MYO1G;LAPTM5;SCTR;CASP12,medium_primary_transfer_readiness
nested_cv,M12,DFI,1.0,62,44,44,49,5,0.7096774193548387,0.7096774193548387,0.7903225806451613,7,MEX3A;TRIP13;TSPAN33;STUM;PRRT4;LHX2;DNA2;MAP1LC3C;EPHA2;SCML2;SPC24;POLE2;ITGBL1;MCM5;E2F1;PGAP1;ST6GALNAC3;EVA1C;FANCM;IRX1;RELN;CLCN5;TYMS;POLE;DNPH1;LGR4;SULT1C4;SMO;MIS18A;ARL4D;TONSL;ORC6;SLC9A2;SCTR;RECQL4;MYOF;FAM81A;RAB30;ECT2;POLQ;FANCA;E2F7;BUB1;FAM131C,MEX3A;TRIP13;TSPAN33;STUM;PRRT4;LHX2;CSRP1;DNA2;MAP1LC3C;EPHA2;SCML2;SPC24;POLE2;ITGBL1;MCM5;E2F1;PGAP1;ST6GALNAC3;EVA1C;FANCM;IRX1;RELN;CLCN5;TYMS;MCM4;POLE;DNPH1;LGR4;SULT1C4;SHCBP1;SMO;MIS18A;ARL4D;TONSL;ORC6;SERF1A;SLC9A2;PPP1R1B;SCTR;RECQL4;MYOF;FAM81A;RAB30;ECT2;POLQ;FANCA;E2F7;BUB1;FAM131C,medium_primary_transfer_readiness
nested_cv,M10,DFI,1.0,195,135,137,160,25,0.6923076923076923,0.7025641025641025,0.8205128205128205,13,CYP4V2;IL34;GPSM3;SPSB4;PTK2B;SYTL1;CBX7;ZMAT1;RCOR2;TAPBPL;ENPP5;OSBPL3;NIBAN1;MOSPD2;HNMT;ADGRF1;TNFAIP8L2;BLNK;IFI30;RETSAT;ADGRG6;VWA5A;PRDM1;ACOD1;ANXA3;BATF2;TLR3;ANKRD22;DENND1C;SLAMF7;PIANP;ACSS3;TMEM86A;TLR7;PYCARD;NCKAP1L;LAPTM5;PIK3AP1;SERPING1;PID1;PARP15;DAPP1;GRAP2;GPR183;BTK;HACD4;TBC1D9;TMEM140;INPP5D;B2M;SLC6A6;CSF1R;BIRC3;CASP8;TAGAP;PTPRC;SAMD9L;CYTH4;KIAA0040;NCF4;RAB29;GNA15;PAG1;TRANK1;ARHGDIB;JCHAIN;RAC2;PTPN6;SLCO3A1;RGS18;CARD9;DOK2;PTAFR;EPAS1;CSF2RB;CTSH;ARRB1;PARP12;MCTP1;SMIM22;FERMT3;SPI1;SUSD1;TBC1D10C;ALOX5;VAV1;TFEC;MARCHF1;LCP1;MYO1G;EPHB3;ELOVL4;GSC;CYSLTR2;SLC13A5;SYK;SERPINB8;CYTIP;SELL;GMFG;GIMAP6;PIK3CG;CCR2;CRLF2;YIF1B;DOK3;CFB;RGS10;PARVG;PTPRJ;GBP1;EVI2A;ARHGAP45;LY96;FGR;MILR1;ARHGAP9;TNFSF10;GPRC5C;CD244;C2;IL18;DOCK5;HCLS1;ABCA3;TLR2;P2RY14;SLC43A2;DOCK2;MCOLN2;TNFAIP8;SIT1;SHTN1;ATP8B4;JAML,FMO5;CYP4V2;APOBEC3H;IL34;GPSM3;SPSB4;PTK2B;SYTL1;CBX7;ZMAT1;RCOR2;TAPBPL;ENPP5;OSBPL3;NIBAN1;MOSPD2;HNMT;ADGRF1;TNFAIP8L2;EVI2B;BLNK;IFI30;RETSAT;ADGRG6;ASAH1;VWA5A;PRDM1;ACOD1;ANXA3;BATF2;TLR3;ANKRD22;DENND1C;SLAMF7;PIANP;ACSS3;TMEM86A;TLR7;PYCARD;LMO2;NCKAP1L;LAPTM5;PIK3AP1;SERPING1;PID1;PARP15;P2RX7;DAPP1;GRAP2;TYROBP;GPR183;BTK;HACD4;TBC1D9;SELENOP;TMEM140;INPP5D;B2M;TNFRSF14;SLC6A6;CSF1R;BIRC3;CASP8;TAGAP;PTPRC;SAMD9L;CYTH4;KIAA0040;NCF4;RAB29;GNA15;PAG1;TRANK1;ARHGDIB;SELPLG;JCHAIN;RAC2;PTPN6;SLCO3A1;RGS18;CARD9;FCMR;DOK2;PTAFR;EPAS1;CSF2RB;CTSH;LAT;ARRB1;PARP12;CST7;MCTP1;SMIM22;FERMT3;SPI1;IFIT3;WAS;SUSD1;TBC1D10C;ALOX5;VAV1;TFEC;MARCHF1;LCP1;C17orf99;MYO1G;EPHB3;ELOVL4;GSC;CYSLTR2;SLC13A5;SYK;SERPINB8;CYTIP;SELL;GMFG;GIMAP6;PIK3CG;CCR2;CRLF2;YIF1B;DOK3;UPP1;CFB;GLIPR1;RGS10;PARVG;PTPRJ;GBP1;TDRD7;EVI2A;NEURL3;ARHGAP45;TNFAIP3;LY96;FGR;MILR1;ARHGAP9;TNFSF10;GPRC5C;CD244;PARP4;C2;IL18;PIM1;DOCK5;HCLS1;ABCA3;TLR2;P2RY14;SLC43A2;DOCK2;XCR1;MCOLN2;TNFAIP8;SIT1;HLA-DOA;SHTN1;ATP8B4;JAML,medium_primary_transfer_readiness
nested_cv,M28,DFI,5.0,33,22,24,26,4,0.6666666666666666,0.7272727272727273,0.7878787878787878,3,CA14;RBMS3;TTC39B;MPIG6B;MAB21L2;CD200;C1QTNF1;DLG2;PIK3IP1;TMCC3;KCTD12;PAPPA;DLEC1;LAMA3;MCF2L;FAM107A;CABCOCO1;SRM;SOCS2;SPHKAP;AMOTL2;PDE7B,LDLRAD4;CA14;RBMS3;TTC39B;MPIG6B;LURAP1L;MAB21L2;CD200;C1QTNF1;DLG2;TTC19;PIK3IP1;TMCC3;KCTD12;PAPPA;DLEC1;LAMA3;MCF2L;FAM107A;SYT9;CABCOCO1;SRM;SOCS2;SPHKAP;AMOTL2;PDE7B,medium_primary_transfer_readiness
nested_cv,M15,DFI,3.0,9,6,7,8,2,0.6666666666666666,0.7777777777777778,0.8888888888888888,1,KCTD12;MAB21L2;CA14;ZBED2;TAF9B;RBMS3,KCTD12;MAB21L2;CA14;SYT9;ZBED2;TAF9B;LURAP1L;RBMS3,medium_primary_transfer_readiness
nested_cv,M11,DFI,3.0,142,93,95,112,19,0.6549295774647887,0.6690140845070423,0.7887323943661971,4,HACD4;CYP4V2;CTSH;ACOD1;BLNK;TLR7;PYCARD;PARP9;ALOX5;TBC1D9;RNF213;SAMD9L;SCTR;DTX3L;ADGRF1;TLR3;BATF2;CBLN3;DHX58;ATP8B4;PARP15;INPP5D;PARP14;TAPBPL;B2M;TAGAP;CSF1R;ABCC3;PRKAR2B;TNFAIP8L2;TRIM22;LPAR5;DENND1C;SERPINB9;CYTH4;NCKAP1L;PARP12;CARD9;ST14;RGS18;GPR183;C3AR1;GPSM3;KIAA0040;NCF4;PTPN6;GMFG;IL34;LAPTM5;PRDM1;JCHAIN;PIK3CG;DOCK2;ENPP5;SUSD1;ADGRG6;ARRB1;PTPRC;PTPRO;VWA5A;TMEM86A;CD244;PIK3AP1;PARVG;SULT1C4;MARCHF1;MOSPD2;OAS3;VAV1;SIRPB2;SYK;RAB29;OAS1;RNASEL;IL18;NFAM1;TMEM140;CARD11;SIT1;ANXA3;LY96;SYTL1;CLEC12A;IFI35;MYO1G;FERMT3;TNFSF8;ANKRD22;MS4A7;DAPP1;GBP1;SEMA4A;TFEC,HACD4;CYP4V2;APOBEC3H;EVI2B;CTSH;ACOD1;BLNK;TLR7;PYCARD;PARP9;ALOX5;TBC1D9;RNF213;SAMD9L;SELPLG;SCTR;DTX3L;ADGRF1;TLR3;BATF2;CBLN3;ASAH1;IFIT3;DHX58;ATP8B4;PARP15;INPP5D;PARP14;P2RX7;TAPBPL;B2M;TAGAP;CSF1R;FCMR;ABCC3;PRKAR2B;TNFAIP8L2;TDRD7;TRIM22;LPAR5;DENND1C;SERPINB9;CYTH4;TNFRSF14;NCKAP1L;PARP12;CARD9;ST14;RGS18;GPR183;HLA-DOA;LMO2;C3AR1;GPSM3;KIAA0040;NCF4;PTPN6;GMFG;IL34;LAPTM5;PRDM1;JCHAIN;PIK3CG;DOCK2;ENPP5;PRKX;SUSD1;ADGRG6;ARRB1;PTPRC;PTPRO;VWA5A;TMEM86A;CD244;PIK3AP1;DDX60;PARVG;SULT1C4;MARCHF1;MOSPD2;OAS3;CASP12;TAP1;VAV1;SIRPB2;SYK;RAB29;ZBP1;OAS1;RNASEL;IL18;NFAM1;TMEM140;CARD11;SIT1;ANXA3;LY96;SYTL1;CLEC12A;LIPA;IFI35;MYO1G;FERMT3;TNFSF8;TYROBP;ANKRD22;MS4A7;OASL;DAPP1;GBP1;SEMA4A;TFEC,medium_primary_transfer_readiness
nested_cv,M24,DFI,5.0,81,48,48,60,12,0.5925925925925926,0.5925925925925926,0.7407407407407407,3,CYP4V2;ZMAT1;TLR3;EGR1;TBC1D9;ADGRF1;ENPP5;GSAP;MOSPD2;SAMD9L;BLNK;GPSM3;IL34;BATF2;HACD4;PRKAR2B;TNFAIP8L2;KIAA0040;TAPBPL;ABCC3;ADGRG6;RGS18;CSF1R;TLR7;GPR183;B2M;RNASEL;SUSD1;ACOD1;TRANK1;CTSH;ANXA3;PARP15;TAGAP;PYCARD;DENND1C;JCHAIN;TMEM123;DHX58;PRDM1;TMEM86A;CARD9;IFI30;IFI35;GMFG;ARRB1;VWA5A;SERPINB9,CYP4V2;APOBEC3H;ZMAT1;FMO5;TLR3;EVI2B;EGR1;TBC1D9;ADGRF1;ENPP5;GSAP;MOSPD2;SAMD9L;BLNK;GPSM3;SELENOP;IFIT3;IL34;BATF2;HACD4;PRKAR2B;TNFAIP8L2;KIAA0040;TAPBPL;ABCC3;ADGRG6;RGS18;CSF1R;TLR7;TDRD7;GPR183;B2M;RNASEL;SUSD1;ACOD1;TRANK1;CTSH;ANXA3;PARP15;TAGAP;PYCARD;DENND1C;ASAH1;JCHAIN;TMEM123;DHX58;P2RX7;PRDM1;TMEM86A;CARD9;IFI30;IFI35;GMFG;LMO2;ARRB1;VWA5A;SERPINB9;IFI44;SELPLG;TNFRSF14,medium_sensitivity_transfer_readiness
nested_cv,M17,DFI,4.0,12,7,8,8,1,0.5833333333333334,0.6666666666666666,0.6666666666666666,2,STUM;NR2F1;ST6GALNAC3;CHST2;RBM44;PODXL2;HHIP,STUM;NR2F1;ST6GALNAC3;TTC19;CHST2;RBM44;PODXL2;HHIP,medium_sensitivity_transfer_readiness
nested_cv,M12,DFI,2.0,38,22,23,28,6,0.5789473684210527,0.6052631578947368,0.7368421052631579,3,CBX7;PIK3IP1;SUSD1;ACSS3;TTC39B;KCTD12;SCRN2;MPIG6B;FAXDC2;EPAS1;SERPING1;LAMA3;EHD3;CA14;AMOTL2;KBTBD12;LEPR;TMEM123;GRK7;FAM107A;EGR1;RBMS3,CBX7;PIK3IP1;SUSD1;ACSS3;TTC39B;KCTD12;SCRN2;MPIG6B;PRKX;FAXDC2;EPAS1;SERPING1;SYT9;LAMA3;EHD3;STX3;CA14;AMOTL2;LURAP1L;DNAH10;KBTBD12;LEPR;TMEM123;GRK7;FAM107A;EGR1;LDLRAD4;RBMS3,medium_sensitivity_transfer_readiness
nested_cv,M10,DFI,4.0,14,7,7,10,3,0.5,0.5,0.7142857142857143,0,SCRN2;NETO1;MPIG6B;TTC39B;ATP8B4;ZBED2;TRABD2A,SCRN2;LURAP1L;NETO1;STX3;MPIG6B;TTC39B;ATP8B4;ZBED2;ANKH;TRABD2A,medium_sensitivity_transfer_readiness
nested_cv,M9,DFI,2.0,7,2,2,5,3,0.2857142857142857,0.2857142857142857,0.7142857142857143,0,PTEN;ATAD1,PTEN;ATAD1;MINPP1;SELENOP;SGMS1,medium_sensitivity_transfer_readiness
nested_cv,M17,OS,1.0,23,23,23,23,0,1.0,1.0,1.0,1,GPRC5C;TSPAN33;PTPRZ1;STUM;CASP8;RCOR2;MSI1;MBOAT2;SMO;CD44;SLC6A6;MYOF;SCML2;SLC36A2;SLIT1;PAQR9;SLC25A10;IFITM5;SDK2;GRID2IP;SLC12A8;ST6GALNAC3;FAM131C,GPRC5C;TSPAN33;PTPRZ1;STUM;CASP8;RCOR2;MSI1;MBOAT2;SMO;CD44;SLC6A6;MYOF;SCML2;SLC36A2;SLIT1;PAQR9;SLC25A10;IFITM5;SDK2;GRID2IP;SLC12A8;ST6GALNAC3;FAM131C,high_primary_transfer_readiness
nested_cv,M22,OS,2.0,5,5,5,5,0,1.0,1.0,1.0,1,ADAMTS4;STC1;ADAMTS1;IGFBP5;HIC1,ADAMTS4;STC1;ADAMTS1;IGFBP5;HIC1,high_primary_transfer_readiness
nested_cv,M4,OS,4.0,8,8,8,8,0,1.0,1.0,1.0,1,PTPRZ1;GPRC5C;TSPAN33;AMBN;SLC13A5;ADSS1;PAQR9;RCOR2,PTPRZ1;GPRC5C;TSPAN33;AMBN;SLC13A5;ADSS1;PAQR9;RCOR2,high_primary_transfer_readiness
nested_cv,M5,OS,5.0,17,16,16,16,0,0.9411764705882353,0.9411764705882353,0.9411764705882353,3,GPRC5C;RYR2;ELOVL4;NETO1;STUM;SDK2;RCOR2;CSDC2;SLC36A2;TSPAN33;IFITM5;GABRA2;GLI1;CPE;RGS6;TENT5A,GPRC5C;RYR2;ELOVL4;NETO1;STUM;SDK2;RCOR2;CSDC2;SLC36A2;TSPAN33;IFITM5;GABRA2;GLI1;CPE;RGS6;TENT5A,high_primary_transfer_readiness
nested_cv,M16,OS,3.0,41,34,34,37,3,0.8292682926829268,0.8292682926829268,0.9024390243902439,7,TSPAN33;SULT1C4;SLC7A5;MIS18A;PLK4;CCNB3;TRIP13;FANCM;DNA2;GPRIN1;ECT2;RECQL4;MEX3A;MYOF;GPRC5C;DNPH1;ELOVL4;EPHA2;SKA3;SPC25;CCNA2;UBE2S;LHX2;FAM131C;DLGAP5;POLE2;CDCA2;RCOR2;TONSL;GINS4;GTSE1;KIF15;MYBL2;DPF1,TSPAN33;SULT1C4;SLC7A5;MIS18A;PLK4;CCNB3;CSRP1;TRIP13;FANCM;DNA2;GPRIN1;ECT2;RECQL4;MEX3A;SELENOP;MYOF;GPRC5C;DNPH1;ELOVL4;CENPW;EPHA2;SKA3;SPC25;CCNA2;UBE2S;LHX2;FAM131C;DLGAP5;POLE2;CDCA2;RCOR2;TONSL;GINS4;GTSE1;KIF15;MYBL2;DPF1,high_primary_transfer_readiness
nested_cv,M6,OS,5.0,66,53,53,56,3,0.803030303030303,0.803030303030303,0.8484848484848485,7,SULT1C4;NIBAN1;CBX7;ADGRG6;DSCC1;CXCL14;SUGCT;ATAD2;SCML2;MYOF;CDCA8;DNA2;LIMS2;EPHA2;ACSS3;ITGBL1;SFRP4;TRIP13;RAB30;TONSL;CRYBG1;CALHM5;CCNB3;DNPH1;STK39;POLE2;FOXM1;ESPL1;SCTR;FANCA;ECT2;CDCA3;KIF18B;SPC25;FGD4;GPRC5A;NDUFB9;FNDC1;FAM180A;BUB1;MIS18A;RECQL4;CASP8;PTGFR;CENPA;KIF4A;GTSE1;PLK4;FANCD2;GAS6;NSMCE2;CDCA2;PGAP1,SULT1C4;NIBAN1;CBX7;CSRP1;ADGRG6;DSCC1;CXCL14;SUGCT;ATAD2;SCML2;MYOF;CDCA8;DNA2;LIMS2;EPHA2;ACSS3;ITGBL1;SFRP4;TRIP13;RAB30;TONSL;CRYBG1;CALHM5;CCNB3;DNPH1;STK39;POLE2;FOXM1;ADAMTSL3;ESPL1;SCTR;FANCA;ECT2;CDCA3;KIF18B;SPC25;FGD4;GPRC5A;NDUFB9;FNDC1;FAM180A;BUB1;MIS18A;RECQL4;CASP8;PTGFR;CENPA;KIF4A;GTSE1;SLC5A6;PLK4;FANCD2;GAS6;NSMCE2;CDCA2;PGAP1,high_primary_transfer_readiness
nested_cv,M3,OS,5.0,5,4,4,4,0,0.8,0.8,0.8,1,DNASE1L3;EPAS1;CA14;BARX1,DNASE1L3;EPAS1;CA14;BARX1,high_primary_transfer_readiness
nested_cv,M13,OS,2.0,82,63,63,68,5,0.7682926829268293,0.7682926829268293,0.8292682926829268,8,NIBAN1;TONSL;RECQL4;ACSS3;ALOX5;CCNB3;SULT1C4;STON1;TRIP13;MAP1LC3C;RAB30;SH3D19;UBE2S;JAZF1;SLC8A1;MTURN;FAM180A;SIVA1;DNPH1;TRIB3;EPHA2;ECT2;POLE2;CDCA8;MIS18A;PLK4;DLGAP5;SPC25;MYBL2;KIF18B;ESPL1;GALNT15;DSN1;PID1;TMCC3;MXRA5;CEP72;ORC6;RBM44;FANCA;CALD1;DNA2;PTGFR;SPAG5;ATAD2;NDUFB9;NSMCE2;GTSE1;CCNA2;FN1;KIF4A;LAMA3;FANCD2;PSAT1;CXCL14;UHRF1;PAPPA;UBE2T;ITGBL1;CDCA3;E2F8;BUB1;POLQ,NIBAN1;TONSL;CSRP1;RECQL4;ACSS3;ALOX5;CCNB3;SULT1C4;STON1;TRIP13;MAP1LC3C;RAB30;SH3D19;UBE2S;JAZF1;SLC8A1;MTURN;FAM180A;ADAMTSL3;SIVA1;DNPH1;TRIB3;EPHA2;ECT2;POLE2;CDCA8;MIS18A;PLK4;DLGAP5;CDT1;SPC25;MYBL2;KIF18B;ESPL1;NCAPH;GALNT15;DSN1;PID1;TMCC3;MXRA5;CEP72;ORC6;RBM44;FANCA;CALD1;DNA2;PTGFR;SPAG5;ATAD2;NDUFB9;NSMCE2;GTSE1;CCNA2;FN1;KIF4A;LAMA3;FANCD2;PSAT1;CXCL14;UHRF1;PAPPA;UBE2T;GASK1A;ITGBL1;CDCA3;E2F8;BUB1;POLQ,high_primary_transfer_readiness
nested_cv,M19,OS,1.0,43,33,33,37,4,0.7674418604651163,0.7674418604651163,0.8604651162790697,9,NIBAN1;TRIP13;ALOX5;ACSS3;SULT1C4;ANXA3;DSCC1;CBX7;SUGCT;FAM180A;CCNB3;ST8SIA5;ITGBL1;MAP1LC3C;PTGFR;ELOVL4;EPAS1;CXCL14;SCTR;TONSL;RAB30;NOD2;DNA2;UBE2S;EPHA2;MXRA5;RECQL4;ECT2;DNPH1;FANCA;ATAD2;CRYBG1;DSN1,NIBAN1;SELENOP;TRIP13;ALOX5;CSRP1;ACSS3;SULT1C4;ANXA3;DSCC1;CBX7;SUGCT;FAM180A;CCNB3;ST8SIA5;ITGBL1;MAP1LC3C;PTGFR;ADAMTSL3;ELOVL4;EPAS1;CXCL14;SCTR;CENPW;TONSL;RAB30;NOD2;DNA2;UBE2S;EPHA2;MXRA5;RECQL4;ECT2;DNPH1;FANCA;ATAD2;CRYBG1;DSN1,high_primary_transfer_readiness
nested_cv,M10,OS,4.0,120,92,92,99,7,0.7666666666666667,0.7666666666666667,0.825,13,NIBAN1;MEX3A;RECQL4;SULT1C4;TONSL;ALOX5;MIS18A;BARX1;FANCD2;CCNB3;SH3D19;ATAD2;FAM180A;PRKAR2B;SKA3;DSCC1;CBX7;GAREM2;POLQ;KCTD12;SCML2;KIF1A;LIMS2;DNA2;DSN1;NETO1;ELOVL4;GAS6;TRIB3;GTSE1;PLPP1;SIM2;CDCA8;BMP7;DUSP9;EPAS1;CXCL14;CDC45;FAM241A;UHRF1;RAB30;TRIP13;UBE2S;CIRBP;GAB2;MYBL2;PCBP3;SMO;DLGAP5;ECT2;MAP1LC3C;CDC6;USP46;MACROH2A2;DEPDC1;ST6GALNAC3;SFRP4;PSAT1;KIF4A;BUB1;CDCA2;ACSS3;POLE2;SLC25A10;NSMCE2;CLTCL1;PALMD;ITGBL1;KIF18B;LGR4;SPAG5;TOP2A;FANCM;BCL11A;PTGFR;UBE2T;PLK4;E2F1;SPC25;CALHM5;MYOF;EPHA2;KIF15;MBOAT2;B4GALNT1;POLE;FOXF1;FANCA;CENPT;JAZF1;CLSPN;DNPH1,CSRP1;NIBAN1;MEX3A;RECQL4;SULT1C4;TONSL;ALOX5;MIS18A;BARX1;FANCD2;CCNB3;SH3D19;ATAD2;SELENOP;FAM180A;PRKAR2B;SKA3;DSCC1;CBX7;GAREM2;POLQ;CENPW;KCTD12;SCML2;NCAPH;KIF1A;LIMS2;DNA2;DSN1;NETO1;ELOVL4;GAS6;TRIB3;GTSE1;PLPP1;SIM2;CDCA8;BMP7;DUSP9;EPAS1;CXCL14;CDC45;FAM241A;UHRF1;RAB30;TRIP13;UBE2S;CIRBP;GAB2;MYBL2;PCBP3;SMO;DLGAP5;ECT2;MAP1LC3C;CDC6;USP46;MACROH2A2;DEPDC1;ST6GALNAC3;CDT1;SFRP4;PSAT1;KIF4A;BUB1;CDCA2;ACSS3;POLE2;SLC25A10;NSMCE2;CLTCL1;PALMD;ITGBL1;KIF18B;LGR4;SPAG5;TOP2A;FANCM;BCL11A;PTGFR;UBE2T;PLK4;E2F1;SPC25;CALHM5;MYOF;EPHA2;CCNB2;KIF15;MBOAT2;B4GALNT1;POLE;FOXF1;FANCA;CENPT;JAZF1;CLSPN;DNPH1;GPR146,high_primary_transfer_readiness
nested_cv,M12,OS,2.0,4,3,3,3,0,0.75,0.75,0.75,1,CIRBP;PHLDB2;SCTR,CIRBP;PHLDB2;SCTR,high_primary_transfer_readiness
nested_cv,M7,OS,2.0,4,4,4,4,0,1.0,1.0,1.0,0,KCTD12;SERTM1;STUM;MAB21L2,KCTD12;SERTM1;STUM;MAB21L2,high_sensitivity_transfer_readiness
nested_cv,M9,OS,2.0,6,6,6,6,0,1.0,1.0,1.0,0,TSPAN33;SLC12A8;MGST2;SDK2;SLC36A2;SLC9A2,TSPAN33;SLC12A8;MGST2;SDK2;SLC36A2;SLC9A2,high_sensitivity_transfer_readiness
nested_cv,M9,OS,4.0,11,11,11,11,0,1.0,1.0,1.0,0,MSI1;FAM131C;ATF5;CADM4;LRRC4B;INPP4B;PLPPR2;EFNA3;NXPH4;SHANK1;KCNC3,MSI1;FAM131C;ATF5;CADM4;LRRC4B;INPP4B;PLPPR2;EFNA3;NXPH4;SHANK1;KCNC3,high_sensitivity_transfer_readiness
nested_cv,M5,OS,4.0,6,5,5,5,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,SDK2;RGS7;TFCP2L1;VANGL2;PLXNA3,SDK2;RGS7;TFCP2L1;VANGL2;PLXNA3,high_sensitivity_transfer_readiness
nested_cv,M15,OS,4.0,5,4,4,5,1,0.8,0.8,1.0,0,RRAD;VGLL2;PPP1R27;KLHL30,RRAD;SMTNL2;VGLL2;PPP1R27;KLHL30,high_sensitivity_transfer_readiness
nested_cv,M18,OS,3.0,5,4,4,4,0,0.8,0.8,0.8,0,PHLDB2;PAG1;VCAM1;SCTR,PHLDB2;PAG1;VCAM1;SCTR,high_sensitivity_transfer_readiness
nested_cv,M1,OS,2.0,8,6,6,7,1,0.75,0.75,0.875,0,VGLL2;PGAM2;KLHL30;RRAD;MYF6;KLHL40,VGLL2;PGAM2;KLHL30;RRAD;CHRNG;MYF6;KLHL40,high_sensitivity_transfer_readiness
nested_cv,M24,OS,3.0,10,7,8,9,2,0.7,0.8,0.9,0,ZBED2;FAM180A;STUM;TFPI2;RAB30;CALHM5;NEDD9,LURAP1L;ZBED2;FAM180A;STUM;TFPI2;RAB30;GALK2;CALHM5;NEDD9,high_sensitivity_transfer_readiness
nested_cv,M6,OS,4.0,7,4,4,7,3,0.5714285714285714,0.5714285714285714,1.0,0,PTEN;ATAD1;RNLS;STAMBPL1,PTEN;ATAD1;SGMS1;RNLS;FAS;STAMBPL1;MINPP1,high_sensitivity_transfer_readiness
nested_cv,M8,OS,5.0,7,4,4,7,3,0.5714285714285714,0.5714285714285714,1.0,0,PTEN;ATAD1;STAMBPL1;RNLS,SGMS1;PTEN;ATAD1;FAS;STAMBPL1;MINPP1;RNLS,high_sensitivity_transfer_readiness
nested_cv,M8,OS,2.0,9,5,5,9,4,0.5555555555555556,0.5555555555555556,1.0,1,PTEN;ATAD1;STAMBPL1;RNLS;CSTF2T,PTEN;ATAD1;SGMS1;FAS;MINPP1;STAMBPL1;RNLS;PAPSS2;CSTF2T,high_sensitivity_transfer_readiness
nested_cv,M13,OS,3.0,8,4,4,8,4,0.5,0.5,1.0,1,ATAD1;RNLS;PTEN;CSTF2T,ATAD1;RNLS;MINPP1;FAS;PTEN;PAPSS2;SGMS1;CSTF2T,high_sensitivity_transfer_readiness
nested_cv,M11,OS,1.0,4,2,2,4,2,0.5,0.5,1.0,0,ATAD1;PTEN,SGMS1;FAS;ATAD1;PTEN,high_sensitivity_transfer_readiness
nested_cv,M2,OS,1.0,4,2,2,3,1,0.5,0.5,0.75,0,MLIP;PGAM2,CASQ1;MLIP;PGAM2,high_sensitivity_transfer_readiness
nested_cv,M15,OS,3.0,4,1,1,3,2,0.25,0.25,0.75,1,PTGFR,ADAMTSL3;GASK1A;PTGFR,high_sensitivity_transfer_readiness
nested_cv,M16,OS,2.0,7,4,4,4,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1,TNFRSF6B;H2AX;ABHD2;GADD45GIP1,TNFRSF6B;H2AX;ABHD2;GADD45GIP1,low_transfer_readiness
nested_cv,M27,OS,1.0,4,2,2,2,0,0.5,0.5,0.5,2,H2AX;TNFRSF6B,H2AX;TNFRSF6B,low_transfer_readiness
nested_cv,M3,OS,2.0,4,2,2,2,0,0.5,0.5,0.5,1,CA14;HK2,CA14;HK2,low_transfer_readiness
nested_cv,M15,OS,2.0,4,0,0,1,1,0.0,0.0,0.25,0,,H2AC6,low_transfer_readiness
