probe_id,gene_symbol,probe_variance
9g8cQB1TZtuiix.ulU,15E1.2,0.10584824138920333
fJUdX0IAn_P9VLTgJU,2'-PDE,0.0757969909158257
WkXHGxfrHvQnuojEms,76P,0.0662147691456968
Ku8QhfS0n_hIOABXuE,7A5,0.001488913366024719
ckiehnugOno9d7vf1Q,A1BG,0.006273418010477908
TdSfOuLunqrkiJkag8,A2BP1,0.0071261443326604825
ZfoDn4IUQp4Auf56LU,A2M,2.4695400393267835
iqp3UiKIa6yKuByIIw,A2ML1,0.016274967676704076
r33p5EJWUK57ZWL3no,A3GALT2,0.031660507588833035
W38p0ogk.wIBVRXllY,A4GALT,0.17272658052577777
QUTgUoqmp7jyKCQRHo,A4GNT,0.004156608712798102
lhehl0Edel8XV_eBt0,AAA1,0.01813140251629696
6TheVd.HiE1UF3lX6g,AAAS,0.0684751432964226
QueXUXiL5yqvftiNO0,AACS,0.07894322508734535
xSoSAshSJ89KgqiIgo,AACSL,0.003266159639726587
WRWH2QR6r0rh0wU74o,AADAC,0.0018930806905618411
xpKvX0PpP9VIPuJQJc,AADACL1,0.19517662771495015
3lKHxISSJPFfvpQ490,AADACL2,0.0014876455360671456
WpeTkd6Xk6SBCFe3cA,AADAT,0.496125716758115
uy8FDV6oMleUVSCUKc,AAK1,0.0029534146597332716
9KKuqV6OH9SXfQeH50,AAMP,0.08681068074028225
9nTuYoZnrFfc4ivSfU,AANAT,0.002035421346086772
NIwad1IXif1m0kLKDY,AARS,0.18666068365328828
9HupjiArrod98ekqUU,AARSD1,0.16725164768551584
6pIQKnV6ceoIxIFNe4,AARSL,0.19639051259100926
Hekkk3HjqAu6N_g3SI,AASDH,0.1418535690851338
BgnCcruCDoPoJUeX1Q,AASDHPPT,0.19981066297029296
EW6rxUWU6SUA75_OuA,AASS,0.11981237929246612
fgexZ3f.pSdRXVhgpQ,AATF,0.1704892407729088
WSzete5VJ5QKIuqlOU,AATK,0.006384410081663174
TB0kgnrABOqJWihKec,ABAT,0.01642523487851398
ctKvvoE3he5NSiWKLQ,ABC1,0.11611877232660943
uud.vTT6V09Qkfxnt4,ABCA1,0.4156984421077388
inSONXXEOiU0y7euFI,ABCA10,0.008462229117669749
3uijtRXe3Sl.9A8Cks,ABCA11,0.03891240334225979
x5Qywnkq6BCA0fneqo,ABCA12,0.048524811387369624
0pf.QRwb4sWsn7jQKQ,ABCA13,0.05025830267336261
9qaJ6tLVs.P_f4ginU,ABCA2,0.1493308834198101
oS6Kgnnh7jyueq3ybU,ABCA3,0.3921573384509544
3WpTVHJJ.pdTPndP0I,ABCA4,0.4515102915757003
63Oiusg8JTF.19NHfo,ABCA5,0.11041445401145254
NXMJ5W6SG.FdzRIX9E,ABCA6,0.13341488292476245
BGm6KH.W4lIY56KKz0,ABCA7,0.21887396532059605
KlBdd0SXezd5KUx69Q,ABCA8,0.7136119556406981
oe5.ueJNeqBW0uufeg,ABCA9,0.06627002783768329
frS7Up6BAmUuB3h7OI,ABCB1,0.6213936567789221
cnvl0IALn.3U6OKchU,ABCB10,0.14081497143891675
TX03cKcKMqAq6Od0p4,ABCB11,0.002291509532103942
lldNIQXQNde_jgnE0k,ABCB4,0.6794167575617591
TpR9JXYw4S4grr0k5U,ABCB5,0.003591304642859998
HkkqEoIBd4IRwl0hTo,ABCB6,0.4922424177761701
QukxEiSW7kgU4wVQOo,ABCB7,0.19724122167635405
