endpoint,module_label,n_genes,n,events,coef,hr,p,c_index,module_pc1_explained_variance,genes,gene_symbols
DFI,M38,8,186,143,-0.20793213235762464,0.8122621611592034,8.137949615866122e-06,0.6060020799286882,0.4528041173359407,ACSS3_3;JAZF1_3;LDLRAD4_3;LOC119877191;MAOB_3;MTURN_3;STON1_3;TMCC3_3,ACSS3;JAZF1;LDLRAD4;LOC119877191;MAOB;MTURN;STON1;TMCC3
DFI,M39,5,186,143,0.21863662937234263,1.2443790237378891,1.016358590521632e-05,0.6150646263556678,0.49562689101106494,CLCN5_3;FAM81A_3;PGAP1_3;PRRT4_3;SPSB4_3,CLCN5;FAM81A;PGAP1;PRRT4;SPSB4
DFI,M40,144,186,143,0.04502164325222855,1.0460504995985245,6.446286154722608e-06,0.6334868518793642,0.5021573032723196,ARL4D_3;ATAD2_3;AURKA_3;AURKB_3;BARX1_3;BIRC5_3;BUB1_3;C1S_3;CALHM5_3;CCNA2_3;CCNB2_3;CCNB3_3;CDC20_3;CDC6_3;CDCA2_3;CDCA5_3;CDCA7_3;CDCA8_3;CDT1_3;CENPI_3;CENPK_3;CENPT_3;CENPV_3;CENPW_3;CEP72_3;CLSPN_3;CLTCL1_3;CRYBG1_3;CSRP1_3;CXCL14_3;DBF4B_3;DEPDC1_3;DLGAP5_3;DNA2_3;DNAJB1_3;DNPH1_3;DSCC1_3;DSN1_3;E2F1_3;E2F7_3;E2F8_3;ECT2_3;ELOVL4_3;EPHA2_3;ESPL1_3;EXO1_3;FAM131C_3;FAM180A_3;FAM83D_3;FANCA_3;FANCD2_3;FANCM_3;FN1_3;GAREM2_3;GAS6_3;GPRC5C_3;GPSM2_3;GTSE1_3;HELLS_3;HSP70_3;HSP90AA1_3;HSPH1_3;IFITM5_3;ITGBL1_3;KIF15_3;KIF18B_3;KIF22_3;KIF23_3;KIF4A_3;LGR4_3;LHX2_3;LIMS2_3;LOC100855995_3;LOC102155122_3;LOC102156428_3;LOC119863969_3;LOC119876044;LOC119877688;LOC487476_3;MACROH2A2_3;MAP1LC3C_3;MCM10_3;MCM2_3;MCM4_3;MCM5_3;MEX3A_3;MIS18A_3;MSI1_3;MTFR2_3;MXRA5_3;MYBL2_3;MYOF_3;NCAPG_3;NCAPH_3;NDUFB9_3;NIBAN1_3;NMRAL1_3;NSMCE2_3;ORC1_3;ORC6_3;PBK_3;PHGDH_2;PLK4_3;POLE2_3;POLE_3;POLQ_3;PTTG1_3;RAB30_3;RCOR2_3;RECQL4_3;RELN_3;REXO5_3;RRM2_3;SCML2_3;SERF1A_3;SFRP4_3;SH3D19_3;SHCBP1_3;SIM2_3;SIVA1_3;SKA3_3;SLC13A5_3;SLC5A6_3;SMO_3;SPAG5_3;SPC25_3;ST6GALNAC3_3;ST8SIA5_3;STMN1_3;STUM_3;SULT1C4_3;TK1_3;TONSL_3;TOP2A_3;TRIB3_3;TRIP13_3;TROAP_3;TSPAN33_3;TYMS_3;UBE2C_3;UBE2S_3;UBE2T_3;UHRF1_3;XG_3,ARL4D;ATAD2;AURKA;AURKB;BARX1;BIRC5;BUB1;C1S;CALHM5;CCNA2;CCNB2;CCNB3;CDC20;CDC6;CDCA2;CDCA5;CDCA7;CDCA8;CDT1;CENPI;CENPK;CENPT;CENPV;CENPW;CEP72;CLSPN;CLTCL1;CRYBG1;CSRP1;CXCL14;DBF4B;DEPDC1;DLGAP5;DNA2;DNAJB1;DNPH1;DSCC1;DSN1;E2F1;E2F7;E2F8;ECT2;ELOVL4;EPHA2;ESPL1;EXO1;FAM131C;FAM180A;FAM83D;FANCA;FANCD2;FANCM;FN1;GAREM2;GAS6;GPRC5C;GPSM2;GTSE1;HELLS;HSP70;HSP90AA1;HSPH1;IFITM5;ITGBL1;KIF15;KIF18B;KIF22;KIF23;KIF4A;LGR4;LHX2;LIMS2;LOC100855995;LOC102155122;LOC102156428;LOC119863969;LOC119876044;LOC119877688;LOC487476;MACROH2A2;MAP1LC3C;MCM10;MCM2;MCM4;MCM5;MEX3A;MIS18A;MSI1;MTFR2;MXRA5;MYBL2;MYOF;NCAPG;NCAPH;NDUFB9;NIBAN1;NMRAL1;NSMCE2;ORC1;ORC6;PBK;PHGDH;PLK4;POLE2;POLE;POLQ;PTTG1;RAB30;RCOR2;RECQL4;RELN;REXO5;RRM2;SCML2;SERF1A;SFRP4;SH3D19;SHCBP1;SIM2;SIVA1;SKA3;SLC13A5;SLC5A6;SMO;SPAG5;SPC25;ST6GALNAC3;ST8SIA5;STMN1;STUM;SULT1C4;TK1;TONSL;TOP2A;TRIB3;TRIP13;TROAP;TSPAN33;TYMS;UBE2C;UBE2S;UBE2T;UHRF1;XG
OS,M11,8,186,124,0.11319324189467062,1.119848313650878,0.007405928761241284,0.5759174862077237,0.49449542756390563,ADAMTS1_3;ADAMTS4_3;ANGPT2_3;DRD1_3;IGFBP3_3;MCAM_3;STC1_3;TSPAN15_3,ADAMTS1;ADAMTS4;ANGPT2;DRD1;IGFBP3;MCAM;STC1;TSPAN15
OS,M17,5,186,124,0.2181515069982683,1.2437754940363621,9.636421703937366e-05,0.6148556808187415,0.5229397637600028,ANKRD37_3;CIRBP_3;DDIT4_3;HILPDA_3;P4HA1_3,ANKRD37;CIRBP;DDIT4;HILPDA;P4HA1
OS,M20,4,186,124,0.1637607997323467,1.1779325196173192,0.0005306528455320784,0.5976653074278404,0.6027393079486077,C32H4orf54_3;RRAD_3;SMTNL2_3;VGLL2_3,C32H4orf54;RRAD;SMTNL2;VGLL2
OS,M23,4,186,124,0.13034938266268659,1.1392263397330176,0.01495894924165325,0.5807947549372352,0.5696919728493952,LOC102154334_3;LOC475831_3;RBM44_3;SYCE2_3,LOC102154334;LOC475831;RBM44;SYCE2
OS,M24,7,186,124,0.17589177135299458,1.192309009676468,0.00018000398462129252,0.6063004717358279,0.4433167275165085,CHST2_3;GABRA2_3;HHIP_3;NETO1_3;NR2F1_3;OSR2_3;RYR2_3,CHST2;GABRA2;HHIP;NETO1;NR2F1;OSR2;RYR2
OS,M25,6,186,124,-0.15785717414535025,0.8539717425026854,0.00047827019022018367,0.6036619493083873,0.5040150084188719,ENC1_3;KCTD12_3;LOC106559497_3;SERTM1_3;STK39_3;WNT5B_3,ENC1;KCTD12;LOC106559497;SERTM1;STK39;WNT5B
OS,M27,8,186,124,-0.16132792843455893,0.8510129539986401,0.000395403511709792,0.5999040537299113,0.439051918494457,ADORA2B_3;CA14_3;DLG2_3;HK2_3;LEPR_3;LOC119878351;PPA1_3;ZNF608_3,ADORA2B;CA14;DLG2;HK2;LEPR;LOC119878351;PPA1;ZNF608
