analysis_set,module_label,subspace_name,n_ranks,median_capture,minimum_capture,maximum_capture,median_random_percentile,maximum_empirical_q_global,fraction_ranks_global_q_lt_0_05,median_module_coverage_fraction
four_cohort_core_plus_frozen,M11,all_retained,3,0.043121080531784844,0.01238087030784814,0.11346979267986256,1.0,0.8014629049111808,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M11,gse39055_shared,3,0.008806447301855062,0.007481873290303906,0.013019275605216754,0.5125,0.8014629049111808,0.0,1.0
four_cohort_core_plus_frozen,M11,partially_shared,3,0.03686076079045409,0.0030102579364024496,0.11043583755444247,0.9995,0.8028485757121439,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M11,shared_non_ffpe_only,3,0.03686076079045409,0.0030102579364024496,0.10395867630744995,0.9995,0.8028485757121439,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M11,shared_two_or_more,3,0.043121080531784844,0.01238087030784814,0.11346979267986256,1.0,0.8014629049111808,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M11,ubiquitous_all_groups,3,0.007481873290303906,0.004588404027842178,0.008806447301855062,0.324,0.9231036655585252,0.0,1.0
four_cohort_core_plus_frozen,M24,all_retained,3,0.05484537277384542,0.032146413735404555,0.05795283332768692,0.991,0.12550313990291675,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M24,gse39055_shared,3,0.003444844585238149,0.003204944873528217,0.022292901217865316,0.1205,0.9749017706715504,0.0,1.0
four_cohort_core_plus_frozen,M24,partially_shared,3,0.03691685760547054,0.027644746007404387,0.05378275311447676,0.9705,0.10914542728635682,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M24,shared_non_ffpe_only,3,0.03691685760547054,0.027644746007404387,0.05271137173566037,0.9705,0.10914542728635682,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M24,shared_two_or_more,3,0.05484537277384542,0.032146413735404555,0.05795283332768692,0.991,0.12550313990291675,0.6666666666666666,1.0
four_cohort_core_plus_frozen,M24,ubiquitous_all_groups,3,0.003204944873528217,0.0028116783668106116,0.022292901217865316,0.1205,0.9749017706715504,0.0,1.0
four_cohort_core_plus_frozen,M34,all_retained,3,0.6201956809010909,0.6124609383399372,0.6461472143241483,1.0,0.0009281073748839865,1.0,0.8024691358024691
four_cohort_core_plus_frozen,M34,gse39055_shared,3,0.5993621652754275,0.5853106749392992,0.6042410565003046,1.0,0.0009281073748839865,1.0,0.8024691358024691
four_cohort_core_plus_frozen,M34,partially_shared,3,0.07358070848909147,0.06503375371755862,0.11062930672145377,0.0,1.0,0.0,0.8024691358024691
four_cohort_core_plus_frozen,M34,shared_non_ffpe_only,3,0.07358070848909147,0.06503375371755862,0.11062785355551757,0.0,1.0,0.0,0.8024691358024691
four_cohort_core_plus_frozen,M34,shared_two_or_more,3,0.6201956809010909,0.6124609383399372,0.6461472143241483,1.0,0.0009281073748839865,1.0,0.8024691358024691
four_cohort_core_plus_frozen,M34,ubiquitous_all_groups,3,0.5993621652754275,0.5853106749392992,0.6041522144525552,1.0,0.0009281073748839865,1.0,0.8024691358024691
four_cohort_core_plus_frozen,M40,all_retained,3,0.624596310639023,0.6206324542389882,0.627911291140015,1.0,0.0009281073748839865,1.0,0.7027027027027027
four_cohort_core_plus_frozen,M40,gse39055_shared,3,0.011093827699720176,0.010147279794412175,0.018172859396808957,0.0,1.0,0.0,0.7027027027027027
four_cohort_core_plus_frozen,M40,partially_shared,3,0.6095698992284119,0.6068405549329164,0.6196647520784262,1.0,0.0009281073748839865,1.0,0.7027027027027027
four_cohort_core_plus_frozen,M40,shared_non_ffpe_only,3,0.6095698992284119,0.6068405549329164,0.617454018942619,1.0,0.0009281073748839865,1.0,0.7027027027027027
four_cohort_core_plus_frozen,M40,shared_two_or_more,3,0.624596310639023,0.6206324542389882,0.627911291140015,1.0,0.0009281073748839865,1.0,0.7027027027027027
four_cohort_core_plus_frozen,M40,ubiquitous_all_groups,3,0.011093827699720176,0.004531705120029743,0.018172859396808957,0.0,1.0,0.0,0.7027027027027027
four_cohort_detection_aware,M11,all_retained,3,0.11613416735501307,0.020584671005751985,0.12148707060136499,1.0,0.5772827871778395,0.6666666666666666,0.7142857142857143
