endpoint,model,n,events,proliferation_coef,proliferation_hr,proliferation_p,c_index,error,weight_p
DFI,proliferation_only,186,143,0.3051909121685984,1.3568840239518614,0.0003202382719792207,0.6053335314217798,,
DFI,proliferation_plus_weight,185,142,0.2693659468375211,1.3091341268930707,0.0013749208413517122,0.6246896863010607,,0.006288616523209019
OS,proliferation_only,186,124,0.23376156937491196,1.263343236577323,0.006981752016081682,0.6005436955305029,,
OS,proliferation_plus_weight,185,123,0.21301331974958135,1.2374011330070573,0.01445514584247104,0.5999837886033882,,0.2301947438263025
