analysis_set,initial_factors,module_label,subspace_name,n_random_valid,random_mean_capture,random_q95_capture,observed_capture,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_core_plus_frozen,8,M34,all_retained,2000,0.24219707860869855,0.2763778865788961,0.6124609383399372,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M34,shared_two_or_more,2000,0.24219707860869855,0.2763778865788961,0.6124609383399372,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M34,ubiquitous_all_groups,2000,0.041322772987376445,0.05387987839034304,0.5853106749392992,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M34,partially_shared,2000,0.20159237604291858,0.24186222266283972,0.06503375371755862,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,8,M34,shared_non_ffpe_only,2000,0.20159237604291858,0.24186222266283972,0.06503375371755862,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,8,M34,gse39055_shared,2000,0.041322772987376445,0.05387987839034304,0.5853106749392992,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M11,all_retained,2000,0.01509440857632371,0.02486430172019699,0.01238087030784814,0.322,0.6781609195402298,0.6781609195402298,0.8014629049111808
four_cohort_core_plus_frozen,8,M11,shared_two_or_more,2000,0.01509440857632371,0.02486430172019699,0.01238087030784814,0.322,0.6781609195402298,0.6781609195402298,0.8014629049111808
four_cohort_core_plus_frozen,8,M11,ubiquitous_all_groups,2000,0.00919600731340609,0.017652007326230672,0.008806447301855062,0.5125,0.4877561219390305,0.975512243878061,0.5957826455899567
four_cohort_core_plus_frozen,8,M11,partially_shared,2000,0.006140710044900177,0.01599711139325913,0.0030102579364024496,0.312,0.6881559220389805,0.9175412293853072,0.8028485757121439
four_cohort_core_plus_frozen,8,M11,shared_non_ffpe_only,2000,0.006140710044900177,0.01599711139325913,0.0030102579364024496,0.312,0.6881559220389805,0.9175412293853072,0.8028485757121439
four_cohort_core_plus_frozen,8,M11,gse39055_shared,2000,0.00919600731340609,0.017652007326230672,0.008806447301855062,0.5125,0.4877561219390305,0.975512243878061,0.5957826455899567
four_cohort_core_plus_frozen,8,M24,all_retained,2000,0.021464100875526432,0.03647499973565301,0.032146413735404555,0.9115,0.08895552223888056,0.11860736298517409,0.12550313990291675
four_cohort_core_plus_frozen,8,M24,shared_two_or_more,2000,0.021464100875526432,0.03647499973565301,0.032146413735404555,0.9115,0.08895552223888056,0.11860736298517409,0.12550313990291675
four_cohort_core_plus_frozen,8,M24,ubiquitous_all_groups,2000,0.009617846110826157,0.020748975129564876,0.003204944873528217,0.1205,0.879560219890055,1.0,0.9723865340057244
four_cohort_core_plus_frozen,8,M24,partially_shared,2000,0.012187761166593102,0.030552571186343733,0.027644746007404387,0.9255,0.07496251874062969,0.14992503748125938,0.10914542728635682
four_cohort_core_plus_frozen,8,M24,shared_non_ffpe_only,2000,0.012187761166593102,0.030552571186343733,0.027644746007404387,0.9255,0.07496251874062969,0.14992503748125938,0.10914542728635682
four_cohort_core_plus_frozen,8,M24,gse39055_shared,2000,0.009617846110826157,0.020748975129564876,0.003204944873528217,0.1205,0.879560219890055,1.0,0.9723865340057244
four_cohort_core_plus_frozen,8,M40,all_retained,2000,0.07491436780245535,0.09488599144513822,0.624596310639023,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,shared_two_or_more,2000,0.07491436780245535,0.09488599144513822,0.624596310639023,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,ubiquitous_all_groups,2000,0.0688589579178818,0.08796368221490712,0.018172859396808957,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,8,M40,partially_shared,2000,0.008241896145557747,0.017236542548399413,0.6068405549329164,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,shared_non_ffpe_only,2000,0.008241896145557747,0.017236542548399413,0.6068405549329164,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,8,M40,gse39055_shared,2000,0.0688589579178818,0.08796368221490712,0.018172859396808957,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M34,all_retained,2000,0.25965050063266176,0.2937456632959312,0.6201956809010909,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M34,shared_two_or_more,2000,0.25965050063266176,0.2937456632959312,0.6201956809010909,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M34,ubiquitous_all_groups,2000,0.048581576157762436,0.06292614429515206,0.5993621652754275,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M34,partially_shared,2000,0.22998745878855043,0.26829561532690355,0.07358070848909147,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M34,shared_non_ffpe_only,2000,0.22998745878855043,0.26829561532690355,0.07358070848909147,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M34,gse39055_shared,2000,0.048581576157762436,0.06292614429515206,0.5993621652754275,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M11,all_retained,2000,0.017559232629497473,0.027540505309443308,0.043121080531784844,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M11,shared_two_or_more,2000,0.017559232629497473,0.027540505309443308,0.043121080531784844,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M11,ubiquitous_all_groups,2000,0.010074651705233507,0.018751566595918857,0.007481873290303906,0.324,0.6761619190404797,0.9015492253873063,0.8014629049111808
four_cohort_core_plus_frozen,12,M11,partially_shared,2000,0.008612646725314458,0.018926345230188102,0.03686076079045409,0.9995,0.0009995002498750624,0.001999000499750125,0.0018190904547726137
four_cohort_core_plus_frozen,12,M11,shared_non_ffpe_only,2000,0.008612646725314458,0.018926345230188102,0.03686076079045409,0.9995,0.0009995002498750624,0.001999000499750125,0.0018190904547726137
four_cohort_core_plus_frozen,12,M11,gse39055_shared,2000,0.010074651705233507,0.018751566595918857,0.007481873290303906,0.324,0.6761619190404797,0.9015492253873063,0.8014629049111808
four_cohort_core_plus_frozen,12,M24,all_retained,2000,0.023954781070718332,0.03751337368310592,0.05795283332768692,0.9955,0.004997501249375313,0.004997501249375313,0.008745627186406797
four_cohort_core_plus_frozen,12,M24,shared_two_or_more,2000,0.023954781070718332,0.03751337368310592,0.05795283332768692,0.9955,0.004997501249375313,0.004997501249375313,0.008745627186406797
four_cohort_core_plus_frozen,12,M24,ubiquitous_all_groups,2000,0.009856974648680057,0.020592284739437063,0.022292901217865316,0.9615,0.038980509745127435,0.07796101949025487,0.0576784778342536
four_cohort_core_plus_frozen,12,M24,partially_shared,2000,0.01563126632833509,0.03326304630880517,0.03691685760547054,0.9705,0.029985007496251874,0.0399800099950025,0.04585942322956169
four_cohort_core_plus_frozen,12,M24,shared_non_ffpe_only,2000,0.01563126632833509,0.03326304630880517,0.03691685760547054,0.9705,0.029985007496251874,0.0399800099950025,0.04585942322956169
four_cohort_core_plus_frozen,12,M24,gse39055_shared,2000,0.009856974648680057,0.020592284739437063,0.022292901217865316,0.9615,0.038980509745127435,0.07796101949025487,0.0576784778342536
four_cohort_core_plus_frozen,12,M40,all_retained,2000,0.07858540300448338,0.09792539430588776,0.6206324542389882,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,shared_two_or_more,2000,0.07858540300448338,0.09792539430588776,0.6206324542389882,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,ubiquitous_all_groups,2000,0.06529716985343663,0.08738611943451782,0.011093827699720176,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,12,M40,partially_shared,2000,0.023918291224096385,0.04077592088802829,0.6095698992284119,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,shared_non_ffpe_only,2000,0.023918291224096385,0.04077592088802829,0.6095698992284119,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,12,M40,gse39055_shared,2000,0.06529716985343663,0.08738611943451782,0.011093827699720176,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,16,M34,all_retained,2000,0.2650958307842889,0.29837523982640185,0.6461472143241483,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M34,shared_two_or_more,2000,0.2650958307842889,0.29837523982640185,0.6461472143241483,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M34,ubiquitous_all_groups,2000,0.037759811927865004,0.049573395393287055,0.6041522144525552,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,16,M34,partially_shared,2000,0.24844725858589636,0.2856498580278,0.11062930672145377,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,16,M34,shared_non_ffpe_only,2000,0.2466822614389628,0.2840049141505381,0.11062785355551757,0.0,1.0,1.0,1.0
four_cohort_core_plus_frozen,16,M34,gse39055_shared,2000,0.0400617504308617,0.05106562459648826,0.6042410565003046,1.0,0.0004997501249375312,0.001999000499750125,0.0009281073748839865
four_cohort_core_plus_frozen,16,M11,all_retained,2000,0.021842684691861222,0.03318331102411393,0.11346979267986256,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M11,shared_two_or_more,2000,0.021842684691861222,0.03318331102411393,0.11346979267986256,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M11,ubiquitous_all_groups,2000,0.008680830699163363,0.01745384621120042,0.004588404027842178,0.1835,0.816591704147926,1.0,0.9231036655585252
four_cohort_core_plus_frozen,16,M11,partially_shared,2000,0.014603741296174913,0.026769622702170173,0.11043583755444247,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,16,M11,shared_non_ffpe_only,2000,0.013525354413745888,0.025438720239944163,0.10395867630744995,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,16,M11,gse39055_shared,2000,0.009816969608687736,0.01941965890495877,0.013019275605216754,0.78,0.22038980509745126,0.4407796101949025,0.2906590183169285
four_cohort_core_plus_frozen,16,M24,all_retained,2000,0.028141741353184428,0.04235909126246369,0.05484537277384542,0.991,0.009495252373813094,0.009495252373813094,0.015027268974208549
