endpoint,module_label,model,n_valid_folds,mean_c_index,std_c_index,median_c_index,q25_c_index,q75_c_index,min_c_index,max_c_index,fraction_above_0_50,fraction_above_0_55,mean_train_module_original_proliferation_correlation,mean_train_module_disjoint_proliferation_correlation,mean_n_module_genes_used,mean_n_disjoint_proliferation_genes_used,mean_c_index__disjoint_proliferation_only,mean_c_index__module_only,mean_c_index__module_plus_disjoint_proliferation,mean_c_index__module_plus_original_proliferation,mean_c_index__original_proliferation_only,mean_c_index__residual_to_disjoint_proliferation,mean_c_index__residual_to_disjoint_proliferation_and_weight,mean_c_index__residual_to_original_proliferation,delta_disjoint_residual_vs_original_residual,delta_joint_module_vs_disjoint_proliferation_only
DFI,M11,disjoint_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,module_only,100,0.6185646868310735,0.05253405407277457,0.6225349473580009,0.5850122825785491,0.6603979339558761,0.4198019801980198,0.7312614259597806,0.99,0.92,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,module_plus_disjoint_proliferation,100,0.6406628931488894,0.05779051888893422,0.6478654612087895,0.6043627689402609,0.6802126636915182,0.42376237623762375,0.7323688969258589,0.97,0.93,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,module_plus_original_proliferation,100,0.6406628931488894,0.05779051888893422,0.6478654612087895,0.6043627689402609,0.6802126636915182,0.42376237623762375,0.7323688969258589,0.97,0.93,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,original_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,residual_to_disjoint_proliferation,100,0.609822772492757,0.053143991615746275,0.6127903488133399,0.5724852071005917,0.652301575722206,0.4316831683168317,0.7276051188299817,0.99,0.84,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,residual_to_disjoint_proliferation_and_weight,100,0.5982525458390444,0.05457692600061423,0.6024530013742678,0.561649871961156,0.6379724796067138,0.41386138613861384,0.7294332723948812,0.98,0.77,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M11,residual_to_original_proliferation,100,0.609822772492757,0.053143991615746275,0.6127903488133399,0.5724852071005917,0.652301575722206,0.4316831683168317,0.7276051188299817,0.99,0.84,0.10131507564697888,0.10131507564697888,8.0,251.0,0.607753071873709,0.6185646868310735,0.6406628931488894,0.6406628931488894,0.607753071873709,0.609822772492757,0.5982525458390444,0.609822772492757,0.0,0.032909821275180384
DFI,M17,disjoint_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,module_only,100,0.6003221908374102,0.053924943673597764,0.6054877286553606,0.5653473003374578,0.6444919036083132,0.46596858638743455,0.7030411449016101,0.96,0.81,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,module_plus_disjoint_proliferation,100,0.632048969491794,0.05516633539212463,0.6301310911016949,0.5959375243058256,0.6743078057494185,0.5119266055045871,0.7732142857142857,1.0,0.91,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,module_plus_original_proliferation,100,0.632048969491794,0.05516633539212463,0.6301310911016949,0.5959375243058256,0.6743078057494185,0.5119266055045871,0.7732142857142857,1.0,0.91,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,original_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,residual_to_disjoint_proliferation,100,0.5770524228887701,0.05740522484148978,0.5753163839673605,0.5337301587301587,0.6184850501740733,0.45200698080279234,0.7018181818181818,0.91,0.7,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,residual_to_disjoint_proliferation_and_weight,100,0.5767839378829048,0.05843866566297216,0.5796078276961847,0.531082251082251,0.6210150375939849,0.44153577661431065,0.7018181818181818,0.89,0.7,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M17,residual_to_original_proliferation,100,0.5770524228887701,0.05740522484148978,0.5753163839673605,0.5337301587301587,0.6184850501740733,0.45200698080279234,0.7018181818181818,0.91,0.7,0.2597409773261458,0.2597409773261458,5.0,251.0,0.607753071873709,0.6003221908374102,0.632048969491794,0.632048969491794,0.607753071873709,0.5770524228887701,0.5767839378829048,0.5770524228887701,0.0,0.02429589761808504
DFI,M20,disjoint_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M20,module_only,100,0.5732035960505318,0.052517746266621146,0.5775898712654846,0.5467151534526855,0.6049761662752795,0.43775100401606426,0.6817325800376648,0.91,0.74,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
