initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
8,M40,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.018172859396808957,0.48579192073369193,-0.46761906133688297
12,M34,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6201956809010909,0.5235802618914179,0.09661541900967296
12,M34,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6201956809010909,0.6198683645218509,0.0003273163792399947
12,M34,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.5235802618914179,0.6198683645218509,-0.09628810263043297
12,M34,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6201956809010909,0.5114450619819702,0.10875061891912075
12,M34,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6201956809010909,0.6198683645218509,0.0003273163792399947
12,M34,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.5114450619819702,0.6198683645218509,-0.10842330253988075
12,M34,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.5993621652754275,0.44365982993681186,0.15570233533861566
12,M34,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.5993621652754275,0.6019499649205723,-0.0025877996451447727
12,M34,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.44365982993681186,0.6019499649205723,-0.15829013498376043
12,M34,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.07358070848909147,0.05490575139737141,0.01867495709172006
12,M34,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.07358070848909147,0.04721150274863313,0.02636920574045834
12,M34,partially_shared,four_cohort_detection_aware,three_cohort_no_ffpe,0.05490575139737141,0.04721150274863313,0.007694248648738279
12,M34,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.07358070848909147,0.05490575139737141,0.01867495709172006
12,M34,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.07358070848909147,0.6198683645218509,-0.5462876560327594
12,M34,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.05490575139737141,0.6198683645218509,-0.5649626131244795
12,M34,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.5993621652754275,0.44365982993681186,0.15570233533861566
12,M11,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.043121080531784844,0.11613416735501307,-0.07301308682322823
12,M11,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.043121080531784844,0.0804820191585559,-0.03736093862677106
12,M11,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.11613416735501307,0.0804820191585559,0.035652148196457165
12,M11,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.043121080531784844,0.11514547680084947,-0.07202439626906462
12,M11,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.043121080531784844,0.0804820191585559,-0.03736093862677106
12,M11,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.11514547680084947,0.0804820191585559,0.03466345764229356
12,M11,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.007481873290303906,0.017572767468183894,-0.010090894177879988
12,M11,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.007481873290303906,0.07931300629545349,-0.07183113300514958
12,M11,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.017572767468183894,0.07931300629545349,-0.06174023882726959
12,M11,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.03686076079045409,0.09633266180622026,-0.05947190101576617
12,M11,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.03686076079045409,0.0017297431952187218,0.03513101759523537
12,M11,partially_shared,four_cohort_detection_aware,three_cohort_no_ffpe,0.09633266180622026,0.0017297431952187218,0.09460291861100154
12,M11,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.03686076079045409,0.09633266180622026,-0.05947190101576617
12,M11,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.03686076079045409,0.0804820191585559,-0.043621258368101816
12,M11,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.09633266180622026,0.0804820191585559,0.01585064264766435
12,M11,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.007481873290303906,0.017572767468183894,-0.010090894177879988
12,M24,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.05795283332768692,0.05323791505749296,0.004714918270193963
12,M24,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.05795283332768692,0.05323791505749296,0.004714918270193963
12,M24,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.022292901217865316,0.04234829650424714,-0.02005539528638182
12,M24,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.03691685760547054,0.01334109080733284,0.0235757667981377
12,M24,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.03691685760547054,0.05323791505749296,-0.01632105745202242
12,M40,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6206324542389882,0.4867205857762865,0.13391186846270164
12,M40,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6206324542389882,0.6709598513864173,-0.050327397147429176
12,M40,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.4867205857762865,0.6709598513864173,-0.18423926561013082
12,M40,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6206324542389882,0.4782613869213124,0.14237106731767574
12,M40,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6206324542389882,0.6709598513864173,-0.050327397147429176
