endpoint,fold,method,method_c_index,method_n_genes,random_source,matched_random_panel_size,random_mean_c_index,random_median_c_index,random_q90_c_index,random_max_c_index,method_percentile_vs_random,method_minus_random_mean,method_minus_random_median
DFI,1,univariate_top10,0.563573883161512,10,train_variance_top5000,10,0.5527835051546393,0.5515463917525774,0.6240549828178694,0.6907216494845361,0.6,0.01079037800687277,0.012027491408934665
DFI,1,univariate_top10,0.563573883161512,10,train_screen_top1000,10,0.5682302405498281,0.5756013745704467,0.6168384879725086,0.6735395189003437,0.44,-0.004656357388316046,-0.012027491408934665
DFI,1,univariate_top10,0.563573883161512,10,train_screen_top500,10,0.567491408934708,0.5713058419243986,0.6309278350515464,0.6821305841924399,0.43,-0.003917525773195929,-0.0077319587628865705
DFI,1,conditional_cox_mb,0.6185567010309279,6,train_variance_top5000,6,0.5511683848797251,0.5575601374570447,0.6152920962199313,0.6752577319587629,0.91,0.06738831615120278,0.06099656357388317
DFI,1,conditional_cox_mb,0.6185567010309279,6,train_screen_top1000,6,0.567147766323024,0.5756013745704467,0.6238831615120275,0.6958762886597938,0.88,0.051408934707903864,0.04295532646048117
DFI,1,conditional_cox_mb,0.6185567010309279,6,train_screen_top500,6,0.5701890034364261,0.5773195876288659,0.6254295532646048,0.6718213058419243,0.84,0.04836769759450177,0.04123711340206193
DFI,1,conditional_cox_mb_plus_clinical,0.6254295532646048,6,train_variance_top5000,6,0.5511683848797251,0.5575601374570447,0.6152920962199313,0.6752577319587629,0.93,0.07426116838487973,0.06786941580756012
DFI,1,conditional_cox_mb_plus_clinical,0.6254295532646048,6,train_screen_top1000,6,0.567147766323024,0.5756013745704467,0.6238831615120275,0.6958762886597938,0.91,0.058281786941580815,0.04982817869415812
DFI,1,conditional_cox_mb_plus_clinical,0.6254295532646048,6,train_screen_top500,6,0.5701890034364261,0.5773195876288659,0.6254295532646048,0.6718213058419243,0.91,0.05524054982817872,0.04810996563573888
DFI,1,iamb_alpha0.10,0.5824742268041238,15,train_variance_top5000,15,0.5671993127147766,0.5678694158075601,0.6398625429553265,0.7061855670103093,0.63,0.015274914089347114,0.014604810996563633
DFI,1,iamb_alpha0.10,0.5824742268041238,15,train_screen_top1000,15,0.5664089347079038,0.5687285223367697,0.6135738831615121,0.6580756013745704,0.63,0.016065292096219985,0.013745704467354014
DFI,1,iamb_alpha0.10,0.5824742268041238,15,train_screen_top500,15,0.5794501718213058,0.584192439862543,0.634020618556701,0.6872852233676976,0.49,0.003024054982817992,-0.0017182130584192379
DFI,1,gsmb_alpha0.10,0.5859106529209622,13,train_variance_top5000,12,0.571082474226804,0.5756013745704467,0.6231958762886599,0.6786941580756014,0.61,0.0148281786941582,0.010309278350515538
DFI,1,gsmb_alpha0.10,0.5859106529209622,13,train_screen_top1000,12,0.5700859106529209,0.5695876288659794,0.6312714776632303,0.6701030927835051,0.64,0.015824742268041314,0.01632302405498287
DFI,1,gsmb_alpha0.10,0.5859106529209622,13,train_screen_top500,12,0.5755670103092784,0.5764604810996563,0.627319587628866,0.6563573883161512,0.62,0.010343642611683856,0.00945017182130592
DFI,1,elastic_net_cox,0.5515463917525774,25,train_variance_top5000,25,0.5776116838487972,0.5816151202749141,0.6443298969072165,0.7010309278350515,0.3,-0.026065292096219883,-0.030068728522336774
