endpoint,fold,method,observed_c_index,observed_n_modules,observed_n_module_genes,random_source,random_mean_c_index,random_median_c_index,random_q75_c_index,random_q90_c_index,random_q95_c_index,random_max_c_index,observed_percentile_vs_random,observed_minus_random_mean,observed_minus_random_median
DFI,1,observed_train_screened_modules,0.5962199312714777,5,275,train_variance_top5000,0.6127147766323024,0.6116838487972509,0.6310137457044673,0.6463917525773196,0.6608247422680411,0.6786941580756014,0.3,-0.016494845360824795,-0.015463917525773252
DFI,1,observed_train_screened_modules,0.5962199312714777,5,275,train_screen_top1000,0.5718213058419245,0.5687285223367697,0.5854810996563574,0.60893470790378,0.6170103092783505,0.6391752577319587,0.8,0.024398625429553178,0.027491408934707917
DFI,1,observed_train_screened_modules,0.5962199312714777,5,275,train_screen_top500,0.5875715922107675,0.5919243986254296,0.6056701030927835,0.6156357388316152,0.6221649484536083,0.6305841924398625,0.6333333333333333,0.008648339060710164,0.004295532646048095
DFI,2,observed_train_screened_modules,0.5510204081632653,9,287,train_variance_top5000,0.6218305504019789,0.6205936920222634,0.6437847866419295,0.6495361781076067,0.6563079777365491,0.660482374768089,0.03333333333333333,-0.07081014223871362,-0.06957328385899819
DFI,2,observed_train_screened_modules,0.5510204081632653,9,287,train_screen_top1000,0.5904143475572047,0.5862708719851577,0.5983302411873841,0.6207792207792209,0.6410018552875695,0.6512059369202227,0.0,-0.039393939393939426,-0.03525046382189245
DFI,2,observed_train_screened_modules,0.5510204081632653,9,287,train_screen_top500,0.5976499690785405,0.6001855287569573,0.6122448979591837,0.6233766233766234,0.625417439703154,0.6307977736549165,0.06666666666666667,-0.04662956091527526,-0.04916512059369205
DFI,3,observed_train_screened_modules,0.7064579256360078,6,273,train_variance_top5000,0.6370515329419438,0.636986301369863,0.6717221135029354,0.6876712328767124,0.6957925636007828,0.6966731898238747,1.0,0.06940639269406401,0.06947162426614484
DFI,3,observed_train_screened_modules,0.7064579256360078,6,273,train_screen_top1000,0.6587736464448792,0.6643835616438356,0.6819960861056752,0.6937377690802348,0.7165362035225048,0.7338551859099804,0.9333333333333333,0.04768427919112861,0.04207436399217224
DFI,3,observed_train_screened_modules,0.7064579256360078,6,273,train_screen_top500,0.6776908023483365,0.6810176125244618,0.6868884540117417,0.7033268101761253,0.7211350293542074,0.735812133072407,0.9,0.028767123287671392,0.025440313111546042
DFI,4,observed_train_screened_modules,0.5762004175365344,8,285,train_variance_top5000,0.507098121085595,0.5052192066805845,0.5156576200417536,0.5409185803757829,0.557724425887265,0.5887265135699373,0.9666666666666667,0.06910229645093935,0.07098121085594988
