endpoint,n_folds,mean_c_index,std_c_index,median_c_index,min_c_index,max_c_index,mean_n_modules,mean_n_module_genes
DFI,5,0.6293831782040573,0.07695643353573095,0.5962199312714777,0.5510204081632653,0.7170172084130019,7.6,278.4
OS,5,0.5813317534496639,0.09131827885070827,0.5632183908045977,0.4988814317673378,0.7366412213740458,7.8,275.6
