module_label,adjustment,n,positives,negatives,auc,average_precision,permutation_auc_p_two_sided,coef,or_per_sd,or_ci_low,or_ci_high,bootstrap_probability_coef_positive,bootstrap_valid,bootstrap_auc_median,permutation_auc_q_bh
M34,proliferation,53,34,19,0.7786377708978328,0.8772848407004674,0.0006999300069993001,1.090474165244902,2.9756847043669454,1.3635867623941775,12.894090166017191,0.9952,5000,0.7817337461300311,0.0020997900209979003
M11,proliferation,53,34,19,0.6857585139318886,0.7705028496522314,0.0245975402459754,0.6762252171080482,1.966440817535904,1.045136032064377,4.667337174970523,0.9804,5000,0.6873065015479877,0.029097090290970903
M24,proliferation,53,34,19,0.6811145510835914,0.8425040506146054,0.029097090290970903,0.9997241037812737,2.7175319682276986,1.431237524173171,13.311347312131002,0.9978,5000,0.6842105263157895,0.029097090290970903
