endpoint,pc,n,events,coef,hr,p,c_index,error,q
DFI,PC1,186,143,-0.009913372045893744,0.9901356034557024,0.0020641292653005125,0.6101619373050067,,0.04128258530601025
DFI,PC2,186,143,0.00961803161895016,1.009664433530768,0.013897683779266699,0.5621007279750408,,0.05559073511706679
DFI,PC3,186,143,0.005228565714946064,1.005242258518837,0.20175274615550426,0.5486554746694399,,0.3485929327628356
DFI,PC4,186,143,0.0007015071659977834,1.0007017532796965,0.8999677498367687,0.4857376318526222,,0.9279375560062114
DFI,PC5,186,143,0.015179220952854131,1.01529501045018,0.012646534576382838,0.5883226860793345,,0.05559073511706679
DFI,PC6,186,143,0.01105862044299394,1.0111199930093795,0.0711826702390372,0.5392957955727232,,0.20337905782582055
DFI,PC7,186,143,0.015476792961897122,1.0155971787824,0.03553711642910711,0.5603922151240529,,0.11845705476369038
DFI,PC8,186,143,-0.007043129769152499,0.9929816149418359,0.3180307499350731,0.5205021542118556,,0.4543296427643901
DFI,PC9,186,143,0.013125441089446438,1.0132119578002874,0.08541161940926774,0.5145595008171149,,0.21352904852316934
DFI,PC10,186,143,0.0007202188715805728,1.000720478291468,0.9279375560062113,0.48506908334571386,,0.9279375560062114
OS,PC1,186,124,-0.010121249404880472,0.9899297980732982,0.004131277522059952,0.613896218117854,,0.04131277522059952
OS,PC2,186,124,0.0060444220532076855,1.006062726433402,0.15319303092039144,0.5354601423203006,,0.3063860618407829
OS,PC3,186,124,0.004503524910532162,1.0045136810192148,0.3177635938496857,0.5357000079955225,,0.4543296427643901
OS,PC4,186,124,0.002472990769622173,1.002476051133526,0.6671090055152097,0.49628208203406093,,0.7848341241355408
OS,PC5,186,124,0.010268358750853532,1.010321259258658,0.1172800483940902,0.5795954265611257,,0.2606223297646449
OS,PC6,186,124,0.01613350090845988,1.0162643485640845,0.010075548802126723,0.5731190533301351,,0.05559073511706679
OS,PC7,186,124,0.009516204176778677,1.009561627218391,0.20915575965770136,0.52898376908931,,0.3485929327628356
OS,PC8,186,124,-0.0021810667377366,0.9978213100600217,0.7738953276865088,0.4995602462620932,,0.8598836974294541
OS,PC9,186,124,0.004462029232635042,1.0044719989078836,0.5875373799470174,0.49108499240425363,,0.7344217249337717
OS,PC10,186,124,-0.005947693697364149,0.9940699588182036,0.4791208162197578,0.5306628288158631,,0.6388277549596769
