analysis_set,initial_factors,factor,view,group,r2
four_cohort_core_plus_frozen,16,Factor1,RNA,GSE39055,1.6322314739227295
four_cohort_core_plus_frozen,16,Factor2,RNA,GSE39055,3.617990016937256
four_cohort_core_plus_frozen,16,Factor3,RNA,GSE39055,0.7232785224914551
four_cohort_core_plus_frozen,16,Factor4,RNA,GSE39055,1.383882761001587
four_cohort_core_plus_frozen,16,Factor5,RNA,GSE39055,1.4586210250854492
four_cohort_core_plus_frozen,16,Factor6,RNA,GSE39055,0.4984259605407715
four_cohort_core_plus_frozen,16,Factor7,RNA,GSE39055,0.9273886680603027
four_cohort_core_plus_frozen,16,Factor8,RNA,GSE39055,0.3668665885925293
four_cohort_core_plus_frozen,16,Factor9,RNA,GSE39055,0.3203153610229492
four_cohort_core_plus_frozen,16,Factor10,RNA,GSE39055,0.3109753131866455
four_cohort_core_plus_frozen,16,Factor11,RNA,GSE39055,0.16416311264038086
four_cohort_core_plus_frozen,16,Factor1,RNA,TARGET_OS,10.075753927230835
four_cohort_core_plus_frozen,16,Factor2,RNA,TARGET_OS,6.910383701324463
four_cohort_core_plus_frozen,16,Factor3,RNA,TARGET_OS,4.16904091835022
four_cohort_core_plus_frozen,16,Factor4,RNA,TARGET_OS,3.346526622772217
four_cohort_core_plus_frozen,16,Factor5,RNA,TARGET_OS,4.815936088562012
four_cohort_core_plus_frozen,16,Factor6,RNA,TARGET_OS,3.0455410480499268
four_cohort_core_plus_frozen,16,Factor7,RNA,TARGET_OS,3.0256271362304688
four_cohort_core_plus_frozen,16,Factor8,RNA,TARGET_OS,2.7975082397460938
four_cohort_core_plus_frozen,16,Factor9,RNA,TARGET_OS,1.897585391998291
four_cohort_core_plus_frozen,16,Factor10,RNA,TARGET_OS,1.9577741622924805
four_cohort_core_plus_frozen,16,Factor11,RNA,TARGET_OS,1.2951552867889404
four_cohort_detection_aware,8,Factor1,RNA,DOG2,14.183211326599121
four_cohort_detection_aware,8,Factor2,RNA,DOG2,10.824501514434814
four_cohort_detection_aware,8,Factor3,RNA,DOG2,5.232948064804077
four_cohort_detection_aware,8,Factor4,RNA,DOG2,4.834187030792236
four_cohort_detection_aware,8,Factor5,RNA,DOG2,4.086118936538696
four_cohort_detection_aware,8,Factor6,RNA,DOG2,4.702204465866089
four_cohort_detection_aware,8,Factor1,RNA,GSE21257,10.610681772232056
four_cohort_detection_aware,8,Factor2,RNA,GSE21257,8.56824517250061
four_cohort_detection_aware,8,Factor3,RNA,GSE21257,3.755563497543335
